address	encoding	type	constant	name	signature	input_names
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x06fdde03	function	1	name	name()	
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x18160ddd	function	1	totalSupply	totalSupply()	
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x313ce567	function	1	decimals	decimals()	
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x3bed33ce	function	0	withdrawEther	withdrawEther(uint256)	amount,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x42966c68	function	0	burn	burn(uint256)	_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x6623fc46	function	0	unfreeze	unfreeze(uint256)	_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x70a08231	function	1	balanceOf	balanceOf(address)	param_0,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x8da5cb5b	function	1	owner	owner()	
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x95d89b41	function	1	symbol	symbol()	
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xcd4217c1	function	1	freezeOf	freezeOf(address)	param_0,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xd7a78db8	function	0	freeze	freeze(uint256)	_value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xdd62ed3e	function	1	allowance	allowance(address,address)	param_0,param_1,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef	event	0	Transfer	Transfer(address,address,uint256)	from,to,value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xcc16f5dbb4873280815c1ee09dbd06736cffcc184412cf7a71a0fdb75d397ca5	event	0	Burn	Burn(address,uint256)	from,value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0xf97a274face0b5517365ad396b1fdba6f68bd3135ef603e44272adba3af5a1e0	event	0	Freeze	Freeze(address,uint256)	from,value,
0xb8c77482e45f1f44de1745f52c74426c631bdd52	0x2cfce4af01bcb9d6cf6c84ee1b7c491100b8695368264146a94d71e10a63083f	event	0	Unfreeze	Unfreeze(address,uint256)	from,value,
address	encoding	type	constant	name	signature	input_names
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x05d2035b	function	1	mintingFinished	mintingFinished()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x06fdde03	function	1	name	name()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x18160ddd	function	1	totalSupply	totalSupply()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x313ce567	function	1	decimals	decimals()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x3f4ba83a	function	0	unpause	unpause()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x40c10f19	function	0	mint	mint(address,uint256)	_to,_amount,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x5c975abb	function	1	paused	paused()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x70a08231	function	1	balanceOf	balanceOf(address)	_owner,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x7d64bcb4	function	0	finishMinting	finishMinting()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x8456cb59	function	0	pause	pause()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x8da5cb5b	function	1	owner	owner()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x95d89b41	function	1	symbol	symbol()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xa9059cbb	function	0	transfer	transfer(address,uint256)	_to,_value,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xc14a3b8c	function	0	mintTimelocked	mintTimelocked(address,uint256,uint256)	_to,_amount,_releaseTime,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xdd62ed3e	function	1	allowance	allowance(address,address)	_owner,_spender,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xf2fde38b	function	0	transferOwnership	transferOwnership(address)	newOwner,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x0f6798a560793a54c3bcfe86a93cde1e73087d944c0ea20544137d4121396885	event	0	Mint	Mint(address,uint256)	to,value,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xae5184fba832cb2b1f702aca6117b8d265eaf03ad33eb133f19dde0f5920fa08	event	0	MintFinished	MintFinished()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x6985a02210a168e66602d3235cb6db0e70f92b3ba4d376a33c0f3d9434bff625	event	0	Pause	Pause()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x7805862f689e2f13df9f062ff482ad3ad112aca9e0847911ed832e158c525b33	event	0	Unpause	Unpause()	
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925	event	0	Approval	Approval(address,address,uint256)	owner,spender,value,
0xd26114cd6ee289accf82350c8d8487fedb8a0c07	0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef	event	0	Transfer	Transfer(address,address,uint256)	from,to,value,
address	encoding	type	constant	name	signature	input_names
0xdac17f958d2ee523a2206206994597c13d831ec7	0x06fdde03	function	1	name	name()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x0753c30c	function	0	deprecate	deprecate(address)	_upgradedAddress,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x095ea7b3	function	0	approve	approve(address,uint256)	_spender,_value,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x0e136b19	function	1	deprecated	deprecated()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x0ecb93c0	function	0	addBlackList	addBlackList(address)	_evilUser,
0xdac17f958d2ee523a2206206994597c13d831ec7	0x18160ddd	function	1	totalSupply	totalSupply()	
0xdac17f958d2ee523a2206206994597c13d831ec7	0x23b872dd	function	0	transferFrom	transferFrom(address,address,uint256)	_from,_to,_value,
