pos ,name              ,type      ,strDefault       ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
 01 ,clientVersion     ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  1 ,     ,        ,the version string as reported by the rpcProvider
 02 ,clientIds         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  2 ,     ,        ,netword_id and chain_id from the rpcProvider
 03 ,trueblocksVersion ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  3 ,     ,        ,the TrueBlocks version string
 04 ,rpcProvider       ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  4 ,     ,        ,the current rpcProvider
 05 ,configPath        ,string    ,                 ,       ,      ,true    ,          ,        ,      ,         ,  5 ,     ,        ,the path to config files
 06 ,cachePath         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  6 ,     ,        ,the path to the local binary caches
 07 ,indexPath         ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  7 ,     ,        ,the path to the local binary indexes
 08 ,host              ,string    ,                 ,       ,      ,        ,          ,        ,      ,         ,  8 ,     ,        ,the host portion of the local API server
 09 ,isTesting         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         ,  9 ,     ,        ,`true` if the server is running in test mode
 10 ,isApi             ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 10 ,     ,        ,`true` if the server is running in API mode
 11 ,isScraping        ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 11 ,     ,        ,`true` if the index scraper is running
 12 ,isArchive         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 12 ,     ,        ,`true` if the rpcProvider is an archive node
 13 ,isTracing         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 13 ,     ,        ,`true` if the rpcProvider provides Parity traces
 14 ,hasEskey          ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 14 ,     ,        ,`true` if an EtherScan key is present
 15 ,hasPinkey         ,bool      ,                 ,       ,      ,        ,          ,        ,      ,         , 15 ,     ,        ,`true` if a Pinata API key is present
 16 ,ts                ,timestamp ,date_2_Ts(Now()) ,       ,      ,true    ,          ,        ,      ,         , 16 ,     ,        ,the timestamp when this status data was produced
 17 ,caches            ,cachePtr  ,                 ,true   ,true  ,true    ,          ,        ,      ,         , 18 ,     ,        ,a collection of information concerning the binary caches
 18 ,chains            ,Chain     ,                 ,true   ,true  ,true    ,          ,        ,      ,         , 17 ,     ,        ,
