num ,group       ,is_visible ,is_visible_docs ,api_group ,api_route    ,tool                     ,summary              ,capabilities                            ,description
 01 ,Accounts    ,false      ,true            ,          ,             ,                         ,                     ,                                        ,Access and cache transactional data
 01 ,Accounts    ,true       ,true            ,apps      ,list         ,acctExport --appearances ,List transactions    ,default                                 ,List every appearance of an address anywhere on the chain.
 01 ,Accounts    ,true       ,true            ,apps      ,export       ,acctExport               ,Export details       ,default|caching|ether                   ,Export full details of transactions for one or more addresses.
 01 ,Accounts    ,true       ,true            ,apps      ,monitors     ,acctExport --appearances ,Manage monitors      ,default|caching                         ,Add&#44; remove&#44; clean&#44; and list address monitors.
 01 ,Accounts    ,true       ,true            ,tools     ,names        ,ethNames                 ,Names                ,default                                 ,Query addresses or names of well-known accounts.
 01 ,Accounts    ,true       ,true            ,tools     ,abis         ,grabABI                  ,ABIs                 ,default|caching                         ,Fetches the ABI for a smart contract.
   
 02 ,Chain Data  ,false      ,true            ,          ,             ,                         ,                     ,                                        ,Access and cache blockchain-related data
 02 ,Chain Data  ,true       ,true            ,tools     ,blocks       ,getBlocks                ,Get blocks           ,default|caching|ether|raw               ,Retrieve one or more blocks from the chain or local cache.
 02 ,Chain Data  ,true       ,true            ,tools     ,transactions ,getTrans                 ,Get transactions     ,default|caching|ether|raw               ,Retrieve one or more transactions from the chain or local cache.
 02 ,Chain Data  ,true       ,true            ,tools     ,receipts     ,getReceipts              ,Get receipts         ,default|caching|raw                     ,Retrieve receipts for the given transaction(s).
 02 ,Chain Data  ,true       ,true            ,tools     ,logs         ,getLogs                  ,Get logs             ,default|caching|raw                     ,Retrieve logs for the given transaction(s).
 02 ,Chain Data  ,true       ,true            ,tools     ,traces       ,getTraces                ,Get traces           ,default|caching|ether|raw               ,Retrieve traces for the given transaction(s).
 02 ,Chain Data  ,true       ,true            ,tools     ,when         ,whenBlock                ,Get block dates      ,default|caching                         ,Find block(s) based on date&#44; blockNum&#44; timestamp&#44; or 'special'.
   
 03 ,Chain State ,false      ,true            ,          ,             ,                         ,                     ,                                        ,Access to account and token state
 03 ,Chain State ,true       ,true            ,tools     ,state        ,getState                 ,Get balance(s)       ,default|caching|ether                   ,Retrieve account balance(s) for one or more addresses at given block(s).
 03 ,Chain State ,true       ,true            ,tools     ,tokens       ,getTokens                ,Get token balance(s) ,default|caching                         ,Retrieve token balance(s) for one or more addresses at given block(s).
   
 04 ,Admin       ,false      ,true            ,          ,             ,                         ,                     ,                                        ,Control the scraper and build the index
 04 ,Admin       ,true       ,true            ,apps      ,config       ,config                   ,Manage config        ,default                                 ,Report on and edit the configuration of the TrueBlocks system.
 04 ,Admin       ,true       ,true            ,apps      ,status       ,cacheStatus              ,Get status on caches ,default                                 ,Report on the state of the internal binary caches.
 04 ,Admin       ,true       ,true            ,apps      ,daemon       ,flame                    ,                     ,verbose|version|noop|nocolor            ,Initialize and control long-running processes such as the API and the scrapers.
 04 ,Admin       ,true       ,true            ,apps      ,scrape       ,blockScrape              ,Scrape index         ,verbose|version|noop|nocolor|chain      ,Scan the chain and update the TrueBlocks index of appearances.
 04 ,Admin       ,true       ,true            ,apps      ,chunks       ,chunkMan                 ,Manage chunks        ,default                                 ,Manage&#44; investigate&#44; and display the Unchained Index.
 04 ,Admin       ,true       ,true            ,apps      ,init         ,init                     ,Initialize index     ,verbose|version|noop|nocolor|chain      ,Initialize the TrueBlocks system by downloading the Unchained Index from IPFS.
   
 05 ,Other       ,false      ,true            ,          ,             ,                         ,                     ,                                        ,Access to other and external data
 05 ,Other       ,true       ,true            ,apps      ,explore      ,fireStorm                ,Explore              ,verbose|version|noop|nocolor|chain|file ,Open a local or remote explorer for one or more addresses&#44; blocks&#44; or transactions.
 05 ,Other       ,true       ,true            ,tools     ,slurp        ,ethslurp                 ,Slurp Etherscan      ,default|caching|ether|raw               ,Fetch data from Etherscan for any address.
