"fromName","ethSpent","usdSpent"
"0x00555dc77a343e205cb1c7755407c93470db3f91 (anon)",0.00334512,13.19
"0x00d2432e6af76a8150a7609d7ff11dbe44de8e14 (anon)",0.00082145007693536,1.69
"0x016cb73dcd88e9cca61690e6dc5893f7409e3e18 (anon)",0.00113384,2.93
"0x018365374732403a5286de3ddc875f2fdaf00dfc (anon)",0.00311713086601002,6.13
"0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712 (anon)",0.130223324698465,514.41
"0x02eb89d2ff910989024e19673f8302a695bbd979 (anon)",0.0085083615,35.5
"0x03154b9e76b3e6eb27357ccfd638f9ac9085e8b3 (anon)",0.00109021509611684,2.21
"0x0325db65a18c98f1227ea14bcf05a4039ab36b29 (anon)",0.00578661262032962,17.83
"0x03652b73bee719a69544d3e8b4c0f856658dbbaa (anon)",0.00552044428962689,17.06
"0x0369098915a6bcd0c4181ca96b5179ca15b69779 (anon)",0.00857362868960323,35.29
"0x052cd92257aa17b3f965c4b0d3f51f0d223c6950 (anon)",0.000921245,1.9
"0x054b81d3f3a26df142bf3f60961483e14f3f5d59 (anon)",0.00545641554794997,16.86
"0x0585b28fd862d3bf033be20b178bdf01262b8424 (anon)",0.002763735,8.38
"0x0586cc847c82397c443992facdc8cae0dba46956 (anon)",0.00119497529523919,2.42
"0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c (willyogo)",0.00182414733706087,5.76
"0x05abc2cdbee2cd9be07433778f655da062d4c9ac (anon)",0.0044796460487541,13.85
"0x068db2a4655158bc61e6147c0015bd2c63b4cf08 (anon)",0.001149443806869,2.33
"0x06c4865ab16c9c760622f19a313a2e637e2e66a2 (anon)",0.0172487012172993,45.32
"0x06c7b32ab075bd756f7887b7c16c739621e90895 (anon)",0.00564822976490647,17.46
"0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01 (anon)",0.00213196635878367,5.5
"0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b (anon)",0.00298015054120175,5.87
"0x072c59b2284d6766a9b486cc69ccdc12a801dc59 (anon)",0.00494493594066626,15.23
"0x0765e6ced80f1ce50759cbe8aaf878d2417c9d73 (anon)",0.00113384,2.93
"0x088355a6cf3f2ea0ccf1832b3c3e377d96a5c9ca (anon)",0.00113384,2.93
"0x0897ad2a24f9f54e31af325744ff2e1f7d64bb44 (anon)",0.00438712346263238,13.51
"0x08db79911bb3215ca7406e2b4df23348ea33915a (anon)",0.00113384,2.93
"0x0a251df99a88a20a93876205fb7f5faf2e85a481 (anon)",0.00458740535375398,20.37
"0x0b722a091442551d5571d14083846e7c3873ded9 (anon)",0.00522526938055124,16.1
"0x0b8e5fd8815d5995a42cc6f5b652d183f4057f01 (anon)",0.00588436918352637,18.21
"0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1 (anon)",0.0197143090993549,47.79
"0x0d3da428dd261410aab95ef751ebb0b0f6f04c0d (anon)",0.00465371339210951,14.34
"0x0dee63f471f1c31d4d2fffde275f8a8f40f45d00 (anon)",0.00084727120503183,1.75
"0x0f0d49fd19ee4a83455d414f79de823bed0b4351 (anon)",0.00694143581066668,30.66
"0x0f0e7fb7a2ba4df8169e77cada55eb330d36f310 (anon)",0.00113384,2.93
"0x0f8361ef329b43fa48ac66a7cd8f619c517274f1 (anon)",0.0107827461205354,34.05
"0x0f87452a7eac3bcfe90fe4187d2f922d1d6699ae (anon)",0.00429512682187161,13.23
"0x10d6d2e343281d388291a3e02f3293aaeda67178 (Grant 1707 Llama - a Hub for Crypto Community Treasuries)",0.184290389380424,632.9
"0x115b463d167cf26acdb68a7d062d2c1188f44ff6 (anon)",0.00564430188944977,17.39
"0x128b7e7f0bfa7cda46bb4728a0da88dbaa095026 (anon)",0.00761807066227431,31.32
"0x13022056cfacee5b94a8226293fa4530447d5d64 (anon)",0.00673378865706476,20.74
"0x136d54e730ad568cf49f8d7b8d36e1b079f37e1e (anon)",0.00323687487618617,6.41
"0x13ac0d7bb293163922ca296a0c3fb1b236c815f0 (anon)",0.00093832475701068,1.9
"0x13dda63c28bb95fe9822fea43ad5feaa966636a9 (anon)",0.00236591701822383,4.65
"0x144ac9e3c06205220a7d40e88cc81912a34cc86d (anon)",0.00688791568890971,21.22
"0x14cc6134860c0877ed46f6096dbf81363f724041 (anon)",0.00113384,2.93
"0x1510180e8873b8ff89d3ecf3d6971a84faaf5848 (anon)",0.00084089335503183,1.73
"0x159b145e3b4a6e44c30ee2b310db3ad0716cfb8d (anon)",0.00432762455596573,13.38
"0x16151dacfa22e483412af76e6f9484c0161c9549 (anon)",0.00438420926458411,13.51
"0x16195ab399c18d608000011dc1b639b409a30b21 (anon)",0.00580816633203829,17.95
"0x1644621b1337676a1d2b0878c8d87148d960570b (anon)",0.00629359290501697,19.47
"0x1706585ae92ec81174818913ab1918c7fce3ddd0 (anon)",0.00113384,2.93
"0x17ea86b6baa237c01cc0af7595c931d6d5442cf9 (anon)",0.00440901244246698,13.58
"0x18016955798ff78bd167111674ae278d5320d62d (anon)",0.000921245,1.9
"0x1821d347c035ee39aa01bb048fb1e24e45dac5f1 (anon)",0.00113384,2.93
"0x18c94a19e091ab86c997edf2267a616072ceccfe (anon)",0.00113384,2.93
"0x196a37946c3d93e9a5309f539ae28b774a32411f (anon)",0.00165774395083491,2.42
"0x19b570af5dddb8f0f5a15c83d07a1c5153865188 (anon)",0.0138756394306422,44.37
"0x19e10e0bec9f9559444f33c1c8e39c5664eee47b (anon)",0.0181842627552399,58.57
"0x1b0a44958b9d970947a5c8fbbc6ddbe53325df76 (anon)",0.00535025632930474,16.55
"0x1b9f2c45d8d62e00d12c34ce1f9ba0232fa12b20 (anon)",0.00728450609933852,22.54
"0x1c750cbacea0d97dfa830014b927cc3d64b41b5c (anon)",0.00562819150030156,17.34
"0x1cd2ae4b77e27da7bbe8090fbf51c6c362a882e9 (anon)",0.00113384,2.93
"0x1da76d5b2dae08818047e20f10767a49685a4432 (anon)",0.00486888066837527,15.05
"0x1df4c04d9c4247bedf051e73730c46a03c3d3050 (anon)",0.00653157716592968,27.28
"0x1e5af7b64cecd78f0141450e942f19b1935c495e (anon)",0.00089414393123379,1.85
"0x1e661aae5ebf2d428c2bc7142a50382077637ce4 (anon)",0.00113384,2.93
"0x1ed2c3edaf1d4ce024cd6ec27b922d52294c49cb (anon)",0.00526728226994947,16.28
"0x1f9fbd2f6a8754cd56d4f56ed35338a63c5bfd1f (hjorthjort)",0.00533787228419876,16.95
"0x1fd8d513b0a485365066ac95bfd25ff37ddf84c2 (anon)",0.005842251550485,18.08
"0x1ff714337aaf68c7e9a513e47dcf6ce7c9d44cae (anon)",0.00084089335503183,1.73
"0x202d0b551f0e137efb419e70e1776b6d578bdbf3 (anon)",0.0024682339377044,6.77
"0x20316e8a4818326a504bbbf96d476d6c94b1c4b2 (anon)",0.00614509862604602,17.07
"0x224e69025a2f705c8f31efb6694398f8fd09ac5c (anon)",0.0334964749584543,107.13
