"blockNumber","transactionIndex","timestamp","tx_date","from","gasUsed","gasPrice","gasCost","etherGasCost","spotPrice","usdGasCost","hash","name","function","compressedTx"
"12497481","89","1621865893","2021-05-24 14:18:13","0x4110d47a5d67ecbdd21e5f97c07db16189670290","2545831","100000000000","254583100000000000","0.254583100000000000","2425.86","617.58","0x486a777f03cf2b00493d2edd46e06dac16897dca123717923d9a6c79957280bd","Gitcoin Governance Deployer","","Contract Deployment"
"13018595","74","1628881074","2021-08-13 18:57:54","0x34aa3f359a9d614239015126635ce7732c18fdf3","407969","69696969000","28434202745961000","0.028434202745961000","3214.54","91.40","0xea3c2ab68ac1969a88275db795ca7af91dc0d31a0a23682831e325374d0f4d63","austintgriffith","propose","{name:propose|type:function|signature:propose(address[]|uint256[]|string[]|bytes[]|string)|encoding:0xda95691a|inputs:{calldatas:[0x0000000000000000000000000000000000000000000000000000000000000020]|description:GTC Allocation to GR10 Grantees \nThis proposal looks to ratify the allocation of 20|000 GTC from the Community Treasury towards grant recipients in the Gitcoin builds GitcoinDAO category of Round 10. We ask that stewards execute this according to the Snapshot vote passed on July 25th|2021. \n\nThe full proposal can be found here:\n\nhttps://snapshot.org/#/gitcoindao.eth/proposal/QmY7yvzid9KM8Jn5MrAXe853wRmk5tjNSzW2DR82q8Z5RJ\n\nThis is the first proposal of its kind|and helps us dogfood DAO tooling.|signatures:[]|targets:[0xde30da39c46104798bb5aa3fe8b9e0e1f348163f]|values:[0]}|outputs:{val_0:}}"
"13033294","189","1629077254","2021-08-16 01:27:34","0xe8d848debb3a3e12aa815b15900c8e020b863f31","65452","66281175723","4338235513421796","0.004338235513421796","3298.42","14.31","0xc8ec264e4dde5e2ccac512773d4c217d55dabdebd598555e689f9aab7be86f9f","Grant 1026 - DappHero - the easyiest way to connect your website to blockchain.","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13035078","157","1629100975","2021-08-16 08:02:55","0x10d6d2e343281d388291a3e02f3293aaeda67178","87965","34997307118","3078538120634870","0.003078538120634870","3277.86","10.09","0x999ace5211b51b6b843bed087518f0c0e4ffbff84ec1ed99880cf667f32acc8a","Grant 1707 Llama - a Hub for Crypto Community Treasuries","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13036487","526","1629119697","2021-08-16 13:14:57","0x27331de0261a9513bfef4f8f3e3005c60cf80702","65452","84179537509","5509719089039068","0.005509719089039068","3280.27","18.07","0x4f0bf1013ee167708ab0fcad32b652136200b853e1403b10690892b898ba6730","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13037063","290","1629128127","2021-08-16 15:35:27","0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6","97513","90293545105","8804794463823865","0.008804794463823865","3197.53","28.15","0xa577f027a942ddedae8ec8a8a5ce1dae6b74686448020e4e6a5b1882abb36b9a","Grant 0747 Simona Pop's Ecosystem Development Activity","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13037577","139","1629134959","2021-08-16 17:29:19","0x8d07d225a769b7af3a923481e1fdf49180e6a265","70865","55000000000","3897575000000000","0.003897575000000000","3217.70","12.54","0xaed05239c220ee4d8703ef8a71b369ec6686bd13452d27bd81d42909e87660f3","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13038093","52","1629141388","2021-08-16 19:16:28","0x19b570af5dddb8f0f5a15c83d07a1c5153865188","70865","37100000000","2629091500000000","0.002629091500000000","3221.83","8.47","0x39fd51fa2c3d598408a94e7f665907d8d2db966157a44bd77cf2a2552407f952","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13038181","91","1629142469","2021-08-16 19:34:29","0x224e69025a2f705c8f31efb6694398f8fd09ac5c","94881","47388375230","4496256430197630","0.004496256430197630","3214.33","14.45","0x1359152cf98465ef7a89cee2834f7895debb1bb8bdde0402339385434d11b5b7","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13038292","199","1629144000","2021-08-16 20:00:00","0x80d63799b1e08a80f73fb7a83264b5c31600bf3a","94881","41787954359","3964882897536279","0.003964882897536279","3177.17","12.60","0x16bc4b617ae406f46733797a720ae5bb66709a0e6d6e78f10b81c4c99e7b3553","GitCoin Grant Sender","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13038567","236","1629147576","2021-08-16 20:59:36","0xee0579b4c36fd52ec0a2b542fb801f136838b7f1","70865","51143894085","3624312054333525","0.003624312054333525","3156.92","11.44","0x541a5b3127d409143f8a0196a3dce89cefbb4e3551bde33f37241f766908db45","Grant 0635 Ethack Management Ethical Hacking Service","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13039074","294","1629154453","2021-08-16 22:54:13","0x2b888954421b424c5d3d9ce9bb67c9bd47537d12","70865","30100000000","2133036500000000","0.002133036500000000","3184.87","6.79","0xf21e6eee145231d74cc386888d2b9c06b72cfefc931cce729c860f302ccc24c1","Lefteris","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
"13039513","102","1629159779","2021-08-17 00:22:59","0x6f2bbbdf4e93aa39d36933d28ac2b1253a17aa85","65452","32384138575","2119606638010900","0.002119606638010900","3143.23","6.66","0xf6955e409181e16e31d82f9e184ec94b97bcffc6c9440dad454c91779787a104","anon","castVote","{name:castVote|type:function|signature:castVote(uint256|bool)|encoding:0x15373e3d|inputs:{proposalId:1|support:true}}"
