blockNum	date	nEmpty	nFull	pctFull	nTrans	tx/full blk	tx/all blks	nTraces
46147	2015-08-07 03:30:33 UTC	46146	1	2.16699e-05	1	1	2.16699e-05	0          
55870	2015-08-09 00:00:09 UTC	52984	2886	0.0516556	4932	1.70894	0.0882764	0          
93129	2015-08-16 00:00:00 UTC	81567	11562	0.12415	23597	2.04091	0.25338	0          
128134	2015-08-23 00:00:41 UTC	108215	19919	0.155454	44090	2.21346	0.344093	0          
162126	2015-08-30 00:03:20 UTC	133270	28856	0.177985	75844	2.62836	0.467809	0          
190657	2015-09-06 00:00:20 UTC	152121	38536	0.202122	111898	2.90373	0.586907	0          
225597	2015-09-13 00:00:07 UTC	175137	50460	0.223673	151742	3.00717	0.672624	0          
259996	2015-09-20 00:01:13 UTC	196714	63282	0.243396	191027	3.01866	0.734731	0          
295665	2015-09-27 00:00:16 UTC	217743	77922	0.263548	235926	3.02772	0.79795	0          
330003	2015-10-04 00:00:41 UTC	238494	91509	0.277297	278029	3.03827	0.842504	0          
364661	2015-10-11 00:00:21 UTC	257913	106748	0.292732	324715	3.04188	0.890457	0          
399789	2015-10-18 00:00:37 UTC	276614	123175	0.3081	370836	3.01064	0.927579	0          
434958	2015-10-25 00:00:09 UTC	295360	139598	0.320946	415228	2.97446	0.954639	0          
470668	2015-11-01 00:00:08 UTC	313388	157280	0.334163	464461	2.95308	0.986812	0          
506227	2015-11-08 00:00:29 UTC	331220	175007	0.345709	518747	2.96415	1.02473	0          
541678	2015-11-15 00:00:42 UTC	346809	194869	0.359751	581858	2.98589	1.07418	0          
576883	2015-11-22 00:00:05 UTC	365020	211863	0.367255	633027	2.98791	1.09732	0          
612084	2015-11-29 00:00:27 UTC	382907	229177	0.374421	683355	2.98178	1.11644	0          
647335	2015-12-06 00:00:03 UTC	401097	246238	0.380387	733142	2.97737	1.13255	0          
682620	2015-12-13 00:00:02 UTC	418070	264550	0.387551	786838	2.97425	1.15267	0          
718069	2015-12-20 00:00:12 UTC	430921	287148	0.399889	869175	3.02692	1.21043	0          
753335	2015-12-27 00:00:23 UTC	443907	309428	0.410744	968627	3.13038	1.28579	0          
788463	2016-01-03 00:00:06 UTC	457490	330973	0.41977	1063682	3.2138	1.34906	0          
824165	2016-01-10 00:00:05 UTC	470408	353757	0.429231	1160705	3.28108	1.40834	0          
859517	2016-01-17 00:00:12 UTC	484679	374838	0.436103	1241639	3.31247	1.44458	0          
894533	2016-01-24 00:01:18 UTC	498899	395634	0.44228	1323940	3.34638	1.48003	0          
929774	2016-01-31 00:00:06 UTC	509697	420077	0.451805	1436937	3.42065	1.54547	0          
964910	2016-02-07 00:00:15 UTC	521216	443694	0.459829	1554906	3.50446	1.61145	0          
1000229	2016-02-14 00:00:39 UTC	531104	469125	0.469018	1675425	3.57138	1.67504	0          
1035159	2016-02-21 00:00:00 UTC	540279	494880	0.478071	1798839	3.6349	1.73774	0          
1070490	2016-02-28 00:00:16 UTC	548013	522477	0.488073	1931725	3.69724	1.80452	0          
1105623	2016-03-06 00:00:11 UTC	554957	550666	0.498059	2092720	3.80034	1.8928	0          
1140846	2016-03-13 00:00:52 UTC	562412	578434	0.507022	2268158	3.9212	1.98814	0          
1181270	2016-03-20 00:00:00 UTC	571541	609729	0.516164	2481794	4.07032	2.10095	0          
1223598	2016-03-27 00:00:35 UTC	581307	642291	0.52492	2721789	4.23763	2.22441	0          
1265738	2016-04-03 00:01:18 UTC	591269	674469	0.532866	2950992	4.37528	2.33144	0          
1307884	2016-04-10 00:00:19 UTC	602241	705643	0.53953	3184571	4.51301	2.4349	0          
1350015	2016-04-17 00:00:21 UTC	613028	736987	0.54591	3418082	4.63791	2.53188	0          
1392176	2016-04-24 00:00:02 UTC	623382	768794	0.552225	3658062	4.75818	2.62759	0          
1434393	2016-05-01 00:00:18 UTC	632432	801961	0.559094	3911430	4.87733	2.72689	0          
1476496	2016-05-08 00:00:06 UTC	639927	836569	0.566591	4183895	5.00126	2.83366	0          
1518638	2016-05-15 00:00:05 UTC	646569	872069	0.574244	4482492	5.14007	2.95165	0          
1560777	2016-05-22 00:00:21 UTC	653149	907628	0.581523	4782669	5.26942	3.06429	0          
1602996	2016-05-29 00:01:00 UTC	659111	943885	0.588826	5125071	5.42976	3.19718	0          
1645096	2016-06-05 00:00:47 UTC	666395	978701	0.59492	5417842	5.53575	3.29333	0          
1687356	2016-06-12 00:00:03 UTC	673989	1013367	0.600565	5698341	5.62318	3.37708	0          
1729302	2016-06-19 00:00:39 UTC	682468	1046834	0.605351	6053534	5.78271	3.50056	0          
1771652	2016-06-26 00:00:24 UTC	696921	1074731	0.606626	6371572	5.92853	3.5964	0          
1813929	2016-07-03 00:00:37 UTC	703832	1110097	0.611985	6689105	6.02569	3.68763	0          
