blockNum	date	nEmpty	nFull	pctFull	nTrans	tx/full blk	tx/all blks	nTraces
0050000	2015-08-07 21:23:54 UTC	48548	1456	0.0291177	1872	1.28571	0.037437	0
0060000	2015-08-09 19:07:53 UTC	56454	3548	0.0591314	5925	1.66995	0.0987467	0
0070000	2015-08-11 17:14:32 UTC	64133	5870	0.0838535	12601	2.14668	0.180007	0
0080000	2015-08-13 15:09:46 UTC	71835	8166	0.102074	16788	2.05584	0.209847	0
0090000	2015-08-15 09:52:50 UTC	79066	10936	0.121508	22682	2.07407	0.252017	0
0100000	2015-08-17 08:12:48 UTC	86849	13155	0.131545	26971	2.05025	0.269699	0
0110000	2015-08-19 06:38:58 UTC	94287	15717	0.142877	31379	1.9965	0.285253	0
0120000	2015-08-21 10:14:54 UTC	102036	17966	0.149714	38252	2.12913	0.318761	0
0130000	2015-08-23 08:52:29 UTC	109651	20354	0.156563	46037	2.26182	0.354117	0
0140000	2015-08-25 08:15:15 UTC	117401	22600	0.161427	54482	2.41071	0.389154	0
0150000	2015-08-27 07:54:33 UTC	124636	25366	0.169104	63337	2.49693	0.422241	0
0160000	2015-08-29 11:48:21 UTC	131743	28260	0.176622	73798	2.61139	0.461229	0
0170000	2015-08-31 21:40:56 UTC	138641	31359	0.184465	84499	2.69457	0.497053	0
0180000	2015-09-03 15:17:46 UTC	144920	35081	0.194893	98752	2.81497	0.548619	0
0190000	2015-09-05 20:53:34 UTC	151701	38307	0.201607	110786	2.89206	0.58306	0
0200000	2015-09-07 21:33:11 UTC	158443	41558	0.207789	121794	2.9307	0.608967	0
0210000	2015-09-09 21:41:48 UTC	164966	45036	0.214455	133030	2.95386	0.63347	0
0220000	2015-09-11 21:15:29 UTC	171454	48546	0.220664	144701	2.9807	0.657732	0
0230000	2015-09-13 21:14:59 UTC	178118	51882	0.225574	156399	3.01451	0.679996	0
0240000	2015-09-15 22:33:59 UTC	184549	55454	0.231055	168646	3.04119	0.702683	0
0250000	2015-09-17 23:54:48 UTC	190550	59455	0.237815	180013	3.02772	0.720038	0
0260000	2015-09-20 00:04:35 UTC	196724	63284	0.243393	191036	3.01871	0.734731	0
0270000	2015-09-21 22:00:28 UTC	202698	67302	0.249267	203346	3.0214	0.753133	0
0280000	2015-09-23 21:04:51 UTC	208240	71760	0.256286	216507	3.0171	0.773239	0
0290000	2015-09-25 20:39:51 UTC	214261	75741	0.261174	228555	3.01759	0.788115	0
0300000	2015-09-27 21:28:14 UTC	220454	79547	0.265156	241385	3.0345	0.804614	0
0310000	2015-09-30 01:01:44 UTC	226571	83429	0.269126	253752	3.04153	0.818555	0
0320000	2015-10-02 01:08:01 UTC	232599	87403	0.273133	266058	3.04404	0.831426	0
0330000	2015-10-03 23:59:55 UTC	238494	91508	0.277295	278010	3.0381	0.842449	0
0340000	2015-10-06 00:30:37 UTC	244257	95746	0.281603	291014	3.03944	0.855916	0
0350000	2015-10-08 01:24:22 UTC	249776	100225	0.286356	304870	3.04186	0.871055	0
0360000	2015-10-10 01:05:17 UTC	255302	104699	0.290830	318437	3.04145	0.884545	0
0370000	2015-10-12 01:21:05 UTC	261042	108958	0.294481	330956	3.03746	0.894476	0
0380000	2015-10-14 00:05:04 UTC	266341	113661	0.299106	344151	3.02787	0.905656	0
0390000	2015-10-16 00:46:59 UTC	271549	118452	0.303722	357659	3.01944	0.917072	0
0400000	2015-10-18 01:04:00 UTC	276729	123275	0.308184	371107	3.0104	0.927758	0
0410000	2015-10-20 01:26:50 UTC	281973	128027	0.312261	384203	3.00095	0.93708	0
0420000	2015-10-22 01:30:10 UTC	287541	132459	0.315379	396290	2.99179	0.943548	0
0430000	2015-10-24 00:59:32 UTC	292822	137181	0.319023	408997	2.98144	0.951149	0
0440000	2015-10-25 23:42:09 UTC	298238	141762	0.322186	421005	2.9698	0.95683	0
0450000	2015-10-27 22:57:21 UTC	303640	146360	0.325244	433517	2.96199	0.963371	0
0460000	2015-10-29 22:38:04 UTC	308271	151729	0.329846	448509	2.95599	0.97502	0
0470000	2015-10-31 20:44:08 UTC	313142	156859	0.333742	462622	2.94929	0.9843	0
0480000	2015-11-02 19:46:02 UTC	318374	161628	0.336724	476284	2.94679	0.992254	0
0490000	2015-11-04 18:54:13 UTC	323669	166331	0.339451	490171	2.94696	1.00035	0
0500000	2015-11-06 18:02:09 UTC	328719	171283	0.342565	504710	2.94664	1.00942	0
0510000	2015-11-08 17:45:36 UTC	332740	177261	0.347570	527742	2.9772	1.03479	0
0520000	2015-11-10 17:47:10 UTC	337509	182491	0.350944	544228	2.98222	1.04659	0
0530000	2015-11-12 17:17:00 UTC	341282	188718	0.356072	563604	2.98649	1.0634	0
0540000	2015-11-14 16:04:18 UTC	345976	194024	0.359304	579021	2.98428	1.07226	0
0550000	2015-11-16 15:01:05 UTC	351186	198815	0.361481	593201	2.98368	1.07855	0
0560000	2015-11-18 14:01:07 UTC	356566	203434	0.363275	607615	2.98679	1.08503	0
0570000	2015-11-20 14:48:02 UTC	361364	208637	0.366029	623549	2.98868	1.09394	0
0580000	2015-11-22 14:53:24 UTC	366439	213562	0.368210	637436	2.98478	1.09903	0
0590000	2015-11-24 14:25:21 UTC	371226	218774	0.370803	652457	2.98233	1.10586	0
0600000	2015-11-26 14:27:50 UTC	376420	223580	0.372633	666909	2.98287	1.11152	0
0610000	2015-11-28 14:04:10 UTC	381751	228250	0.374180	680562	2.98165	1.11567	0
0620000	2015-11-30 13:37:40 UTC	386894	233107	0.375978	695858	2.98514	1.12235	0
0630000	2015-12-02 13:05:00 UTC	392093	237910	0.377633	709574	2.98253	1.1263	0
0640000	2015-12-04 12:52:49 UTC	397280	242720	0.379250	723042	2.97891	1.12975	0
0650000	2015-12-06 13:19:56 UTC	402266	247735	0.381130	739284	2.98417	1.13736	0
0660000	2015-12-08 13:25:06 UTC	407297	252703	0.382883	753016	2.97985	1.14093	0
0670000	2015-12-10 12:22:57 UTC	412418	257583	0.384452	766749	2.97671	1.1444	0
0680000	2015-12-12 11:46:38 UTC	416849	263151	0.386987	782630	2.97407	1.15093	0
0690000	2015-12-14 10:22:41 UTC	421069	268931	0.389755	800210	2.97552	1.15972	0
0700000	2015-12-16 10:06:08 UTC	423684	276316	0.394737	835192	3.0226	1.19313	0
0710000	2015-12-18 09:41:36 UTC	427688	282314	0.397624	854196	3.02569	1.20309	0
0720000	2015-12-20 09:39:03 UTC	431788	288213	0.400295	872688	3.02793	1.21206	0
0730000	2015-12-22 09:22:10 UTC	435700	294303	0.403153	895176	3.04168	1.22626	0
0740000	2015-12-24 08:41:18 UTC	439003	300997	0.406753	937769	3.11554	1.26726	0
0750000	2015-12-26 08:11:42 UTC	442809	307191	0.409588	959855	3.12462	1.27981	0
0760000	2015-12-28 07:52:48 UTC	446533	313467	0.412457	992739	3.16696	1.30624	0
0770000	2015-12-30 07:47:31 UTC	449972	320028	0.415621	1018117	3.18134	1.32223	0
0780000	2016-01-01 07:10:03 UTC	453810	326191	0.418193	1048040	3.21296	1.34364	0
0790000	2016-01-03 07:07:51 UTC	458266	331735	0.419917	1065397	3.21159	1.3486	0
0800000	2016-01-05 06:03:44 UTC	462557	337444	0.421804	1083904	3.2121	1.35488	0
0810000	2016-01-07 05:13:12 UTC	465380	344621	0.425457	1125611	3.26623	1.38964	0
0820000	2016-01-09 04:40:51 UTC	469068	350932	0.427966	1150115	3.27732	1.40258	0
0830000	2016-01-11 03:30:04 UTC	472811	357189	0.430348	1172168	3.28165	1.41225	0
0840000	2016-01-13 03:35:47 UTC	476776	363224	0.432410	1193825	3.28675	1.42122	0
0850000	2016-01-15 02:59:07 UTC	480587	369413	0.434604	1221874	3.30761	1.4375	0
0860000	2016-01-17 02:32:03 UTC	484961	375039	0.436092	1242094	3.31191	1.4443	0
0870000	2016-01-19 01:41:34 UTC	489083	380917	0.437836	1264783	3.32036	1.45377	0
0880000	2016-01-21 01:45:09 UTC	493095	386909	0.439667	1288958	3.33142	1.46472	0
0890000	2016-01-23 01:59:03 UTC	497055	392945	0.441511	1313957	3.34387	1.47636	0
0900000	2016-01-25 01:30:23 UTC	500859	399142	0.443491	1337392	3.35067	1.48599	0
0910000	2016-01-27 01:22:55 UTC	503895	406107	0.446270	1371096	3.37619	1.5067	0
0920000	2016-01-29 01:01:16 UTC	506761	413239	0.449173	1406389	3.40333	1.52868	0
0930000	2016-01-31 01:02:20 UTC	509780	420221	0.451850	1437399	3.42058	1.54559	0
0940000	2016-02-02 01:30:24 UTC	513021	426979	0.454233	1466094	3.43364	1.55967	0
0950000	2016-02-04 00:56:38 UTC	516461	433539	0.456357	1494138	3.44638	1.57278	0
0960000	2016-02-06 00:24:10 UTC	519758	440242	0.458585	1523758	3.46118	1.58725	0
0970000	2016-02-08 00:00:52 UTC	522901	447099	0.460927	1569180	3.50969	1.61771	0
0980000	2016-02-09 23:28:12 UTC	526112	453890	0.463152	1599083	3.52306	1.63171	0
0990000	2016-02-11 23:24:30 UTC	528662	461338	0.465998	1637420	3.54928	1.65396	0
1000000	2016-02-13 22:54:13 UTC	531055	468945	0.468945	1674264	3.57028	1.67426	0
1010000	2016-02-15 22:59:21 UTC	533805	476195	0.471480	1708667	3.58817	1.69175	0
1020000	2016-02-17 23:30:41 UTC	536318	483682	0.474198	1746565	3.61098	1.71232	0
1030000	2016-02-19 23:26:37 UTC	538920	491080	0.476777	1781717	3.62816	1.72982	0
1040000	2016-02-21 23:00:46 UTC	541346	498655	0.479476	1815353	3.6405	1.74553	0
1050000	2016-02-23 22:26:43 UTC	543678	506322	0.482211	1850617	3.65502	1.76249	0
1060000	2016-02-25 22:03:04 UTC	545724	514276	0.485166	1889338	3.67378	1.78239	0
1070000	2016-02-27 21:35:40 UTC	547924	522076	0.487921	1930080	3.69693	1.80381	0
1080000	2016-02-29 22:09:18 UTC	550045	529955	0.490699	1970002	3.7173	1.82408	0
1090000	2016-03-02 21:53:26 UTC	552023	537977	0.493557	2014641	3.74485	1.84829	0
1100000	2016-03-04 21:42:08 UTC	553960	546040	0.496400	2062472	3.77714	1.87497	0
1110000	2016-03-06 21:10:12 UTC	555765	554236	0.499311	2116261	3.81834	1.90654	0
1120000	2016-03-08 21:15:04 UTC	557742	562258	0.502016	2165366	3.8512	1.93336	0
1130000	2016-03-10 20:37:59 UTC	559951	570049	0.504468	2211352	3.87923	1.95695	0
1140000	2016-03-12 19:47:12 UTC	562211	577789	0.506832	2262973	3.91661	1.98506	0
1150000	2016-03-14 18:49:53 UTC	564411	585589	0.509208	2317095	3.95686	2.01487	0
1160000	2016-03-16 11:33:06 UTC	566862	593138	0.511326	2364381	3.98622	2.03826	0
1170000	2016-03-18 02:59:29 UTC	569065	600935	0.513620	2419295	4.02588	2.06777	0
1180000	2016-03-19 19:01:00 UTC	571342	608658	0.515812	2474540	4.06557	2.09707	0
1190000	2016-03-21 10:41:52 UTC	573799	616201	0.517816	2528111	4.10274	2.12446	0
1200000	2016-03-23 02:38:19 UTC	576281	623722	0.519767	2583188	4.14157	2.15265	0
1210000	2016-03-24 18:24:12 UTC	578577	631423	0.521837	2639941	4.18094	2.18177	0
1220000	2016-03-26 09:55:23 UTC	580418	639582	0.524248	2698124	4.21857	2.21158	0
1230000	2016-03-28 01:22:02 UTC	583007	646993	0.526011	2753939	4.25652	2.23897	0
1240000	2016-03-29 17:28:51 UTC	585311	654689	0.527975	2810235	4.29247	2.26632	0
1250000	2016-03-31 08:59:41 UTC	587490	662510	0.530008	2868027	4.32903	2.29442	0
1260000	2016-04-02 00:46:27 UTC	589770	670230	0.531929	2921969	4.35965	2.31902	0
1270000	2016-04-03 16:50:12 UTC	592444	677556	0.533509	2970165	4.38365	2.33871	0
1280000	2016-04-05 08:36:56 UTC	594852	685149	0.535272	3028510	4.42022	2.36602	0
1290000	2016-04-07 00:29:49 UTC	597440	692563	0.536869	3087325	4.45783	2.39327	0
1300000	2016-04-08 16:24:34 UTC	600000	700000	0.538462	3141961	4.48852	2.41689	0
1310000	2016-04-10 08:29:28 UTC	602830	707170	0.539824	3195387	4.51856	2.43923	0
1320000	2016-04-12 00:25:04 UTC	605298	714702	0.541441	3247546	4.54392	2.46026	0
1330000	2016-04-13 16:05:33 UTC	607893	722107	0.542938	3302318	4.57317	2.48295	0
1340000	2016-04-15 08:13:41 UTC	610356	729644	0.544510	3363728	4.61009	2.51024	0
1350000	2016-04-16 23:53:00 UTC	613028	736972	0.545905	3417867	4.63772	2.53175	0
1360000	2016-04-18 15:48:11 UTC	615452	744549	0.547462	3482091	4.67678	2.56036	0
1370000	2016-04-20 07:40:39 UTC	617861	752139	0.549007	3536920	4.70248	2.58169	0
1380000	2016-04-21 23:32:50 UTC	620200	759801	0.550580	3594379	4.73068	2.60462	0
1390000	2016-04-23 15:17:30 UTC	622799	767201	0.551943	3648146	4.75514	2.62457	0
1400000	2016-04-25 07:13:05 UTC	625373	774627	0.553305	3700750	4.77746	2.64339	0
1410000	2016-04-26 22:52:49 UTC	627623	782377	0.554877	3759384	4.80508	2.66623	0
1420000	2016-04-28 14:57:15 UTC	629817	790183	0.556467	3814069	4.82682	2.68596	0
1430000	2016-04-30 06:43:54 UTC	631755	798245	0.558213	3878041	4.85821	2.71192	0
1440000	2016-05-01 22:17:45 UTC	633368	806632	0.560161	3949639	4.89646	2.7428	0
