name          ,type              ,doc ,disp ,no_write ,extra ,example       ,description
gasLimit      ,gas               ,1   ,5    ,         ,      ,5000          ,the system-wide maximum amount of gas permitted in this block
gasUsed       ,gas               ,2   ,4    ,         ,      ,500000000     ,the total amount of gas used in this block
hash          ,hash              ,3   ,8    ,         ,      ,0xf128...1e98 ,the hash of the current block
blockNumber   ,blknum            ,4   ,1    ,         ,      ,10021         ,the number of the block
parentHash    ,hash              ,5   ,9    ,         ,      ,0x66fc...31c9 ,hash of previous block
miner         ,address           ,6   ,7    ,         ,      ,0xf927...2b13 ,Address of block's winning miner
difficulty    ,uint64            ,7   ,3    ,         ,      ,598133194256  ,the computational difficulty at this block
finalized     ,boolean           ,11  ,11   ,         ,      ,true          ,flag indicating the system considers this data final
timestamp     ,timestamp         ,8   ,2    ,         ,      ,1438335038    ,the unix timestamp of the object
baseFeePerGas ,gas               ,9   ,6    ,         ,      ,120911        ,the base fee for this block
transactions  ,transaction-array ,10  ,10   ,         ,      ,              ,a possibly empty array of transactions or transaction hashes
tx_hashes     ,hash-array        ,    ,     ,true     ,      ,              ,a possibly empty array of transactions or transaction hashes
name          ,string            ,    ,     ,true     ,      ,              ,the name of the block if any (see chifra when)
light         ,bool              ,    ,     ,true     ,      ,              ,`true` if this block is only the block header&#44; `false` otherwise
date          ,date              ,    ,     ,true     ,true  ,              ,the date of this block as represented by its timestamp
unclesCnt     ,uint64            ,    ,     ,true     ,true  ,              ,the number of uncles in this block
extraData     ,string            ,    ,     ,true     ,true  ,              ,an extra data string for use in the front end only
