name            ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
name            ,string    ,           ,       ,      ,        ,          ,        ,      ,         ,1   ,2    ,        ,the name of the interface
type            ,string    ,           ,       ,      ,        ,          ,        ,      ,         ,2   ,3    ,        ,the type of the interface&#44; either 'event' or 'function'
abiSource       ,string    ,           ,       ,      ,        ,true      ,        ,      ,         ,    ,1    ,        ,
anonymous       ,bool      ,           ,       ,      ,        ,true      ,        ,      ,         ,    ,     ,        ,
constant        ,bool      ,           ,       ,      ,        ,true      ,        ,      ,         ,    ,     ,        ,
stateMutability ,string    ,           ,       ,      ,        ,          ,        ,      ,         ,    ,4    ,        ,
signature       ,string    ,           ,       ,      ,        ,          ,        ,      ,         ,3   ,5    ,        ,the canonical signature of the interface
encoding        ,string    ,           ,       ,      ,        ,          ,        ,      ,         ,4   ,6    ,        ,the signature encoded with keccak
message         ,string    ,           ,       ,      ,true    ,true      ,        ,      ,         ,    ,9    ,        ,
inputs          ,Parameter ,           ,true   ,true  ,        ,          ,        ,      ,         ,5   ,7    ,        ,the input parameters to the function&#44; if any
outputs         ,Parameter ,           ,true   ,true  ,        ,          ,        ,      ,         ,6   ,8    ,        ,the output parameters to the function&#44; if any
inputsDict      ,Value     ,           ,       ,      ,true    ,          ,        ,      ,         ,    ,     ,        ,
outputsDict     ,Value     ,           ,       ,      ,true    ,          ,        ,      ,         ,    ,     ,        ,
