name              ,type     ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
blockHash         ,hash     ,           ,       ,      ,true    ,true      ,true    ,      ,         ,4   ,     ,        ,
blockNumber       ,blknum   ,           ,       ,      ,true    ,          ,true    ,      ,         ,1   ,1    ,        ,
contractAddress   ,address  ,           ,       ,      ,        ,true      ,        ,      ,         ,7   ,     ,        ,the address of the newly created contract&#44; if any
cumulativeGasUsed ,wei      ,           ,       ,      ,true    ,true      ,        ,      ,         ,    ,     ,        ,
gasUsed           ,gas      ,           ,       ,      ,        ,          ,        ,      ,         ,6   ,5    ,        ,the amount of gas actually used by the transaction
effectiveGasPrice ,gas      ,           ,       ,      ,        ,true      ,        ,      ,         ,    ,     ,        ,
from              ,address  ,           ,       ,      ,true    ,true      ,true    ,      ,         ,    ,     ,        ,
logs              ,LogEntry ,           ,true   ,true  ,        ,          ,        ,      ,         ,9   ,     ,        ,a possibly empty array of logs
status            ,uint32   ,NO_STATUS  ,       ,      ,        ,          ,        ,      ,         ,5   ,4    ,        ,`1` on transaction suceess&#44; `null` if tx preceeds Byzantium&#44; `0` otherwise
to                ,address  ,           ,       ,      ,true    ,true      ,true    ,      ,         ,    ,     ,        ,
transactionHash   ,hash     ,           ,       ,      ,true    ,          ,true    ,      ,         ,3   ,3    ,        ,
transactionIndex  ,blknum   ,           ,       ,      ,true    ,          ,true    ,      ,         ,2   ,2    ,        ,
isError           ,bool     ,           ,       ,      ,        ,true      ,true    ,      ,true     ,8   ,6    ,        ,
