pos ,name                 ,type           ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example       ,description
  1 ,hash                 ,hash           ,           ,       ,      ,        ,          ,        ,      ,         ,  1 ,  10 ,0xf128...1e98 ,The hash of the transaction
  2 ,blockHash            ,hash           ,           ,       ,      ,        ,          ,        ,      ,         ,  2 ,     ,0xc421...fb04 ,The hash of the block containing this transaction
  3 ,blockNumber          ,blknum         ,           ,       ,      ,        ,          ,        ,      ,         ,  3 ,   1 ,10021         ,the number of the block
  4 ,transactionIndex     ,blknum         ,           ,       ,      ,        ,          ,        ,      ,         ,  4 ,   2 ,305           ,the zero-indexed position of the transaction in the block
  5 ,nonce                ,uint64         ,           ,       ,      ,        ,          ,        ,      ,         ,  5 ,     ,232           ,sequence number of the transactions sent by the sender
  6 ,timestamp            ,timestamp      ,           ,       ,      ,        ,          ,        ,      ,         ,  6 ,   4 ,1438335038    ,the Unix timestamp of the object
  7 ,from                 ,address        ,           ,       ,      ,        ,          ,        ,      ,         ,  7 ,   5 ,              ,address from which the transaction was sent
  8 ,to                   ,address        ,           ,       ,      ,        ,          ,        ,      ,         ,  8 ,   6 ,              ,address to which the transaction was sent
  9 ,value                ,wei            ,           ,       ,      ,        ,          ,        ,      ,         ,  9 ,     ,0             ,the amount of wei sent with this transactions
 10 ,extraValue1          ,wei            ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 11 ,extraValue2          ,wei            ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 12 ,gas                  ,gas            ,           ,       ,      ,        ,          ,        ,      ,         , 10 ,     ,158660        ,the maximum number of gas allowed for this transaction
 13 ,gasPrice             ,gas            ,           ,       ,      ,        ,          ,        ,      ,         , 11 ,     ,63525836552   ,the number of wei per unit of gas the sender is willing to spend
 14 ,maxFeePerGas         ,gas            ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 15 ,maxPriorityFeePerGas ,gas            ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 16 ,input                ,bytes          ,           ,       ,      ,        ,          ,        ,      ,         , 12 ,     ,0x3d18b912    ,byte data either containing a message or funcational data for a smart contracts. See the --articulate
 17 ,isError              ,uint8          ,           ,       ,      ,        ,          ,        ,      ,         ,    ,  11 ,              ,
 18 ,hasToken             ,uint8          ,           ,       ,      ,        ,          ,        ,      ,         , 17 ,     ,              ,`true` if the transaction is token related&#44; `false` otherwise
 19 ,cachebits            ,uint8          ,CB_NONE    ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 20 ,reserved2            ,uint8          ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,              ,
 21 ,receipt              ,receipt        ,           ,true   ,      ,        ,          ,        ,      ,         , 13 ,     ,              ,
 22 ,traces               ,trace          ,           ,true   ,true  ,        ,          ,        ,      ,         ,    ,     ,              ,
 23 ,articulatedTx        ,function       ,           ,true   ,      ,        ,          ,        ,      ,         , 15 ,     ,              ,
 24 ,compressedTx         ,string         ,           ,       ,      ,true    ,          ,        ,      ,         , 16 ,  13 ,0x3d18b912( ) ,truncated&#44; more readable version of the articulation
 25 ,statements           ,reconciliation ,           ,true   ,true  ,true    ,          ,        ,      ,         , 14 ,     ,              ,array of reconciliations
 26 ,finalized            ,bool           ,           ,       ,      ,true    ,true      ,        ,      ,         , 18 ,     ,true          ,flag indicating the system considers this data final
 27 ,date                 ,date           ,           ,       ,      ,        ,          ,true    ,      ,true     , 21 ,   3 ,              ,
 28 ,fromName             ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,     ,              ,
 29 ,toName               ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,     ,              ,
 30 ,extraData            ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     , 19 ,     ,              ,
 31 ,isError              ,bool           ,           ,       ,      ,        ,          ,true    ,      ,true     , 20 ,     ,              ,
 32 ,ether                ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,   7 ,              ,
 33 ,etherGasPrice        ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,   8 ,              ,
 34 ,gasUsed              ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,   9 ,              ,
 35 ,encoding             ,string         ,           ,       ,      ,        ,          ,true    ,      ,true     ,    ,  12 ,              ,
