pos ,name             ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example       ,description
 01 ,blockNumber      ,blknum    ,           ,       ,      ,        ,          ,        ,      ,         ,  1 ,   1 ,10021         ,the number of the block
 02 ,transactionIndex ,blknum    ,           ,       ,      ,        ,          ,        ,      ,         ,  2 ,   2 ,305           ,the zero-indexed position of the transaction in the block
 03 ,logIndex         ,blknum    ,           ,       ,      ,        ,          ,        ,      ,         ,  3 ,   3 ,305           ,the zero-indexed position of the log in the transaction
 04 ,transactionHash  ,hash      ,           ,       ,      ,        ,          ,        ,      ,         ,  4 ,   4 ,              ,the hash of the transaction that triggered this reconciliation
 05 ,timestamp        ,timestamp ,           ,       ,      ,        ,          ,        ,      ,         ,  5 ,   5 ,1438335038    ,the Unix timestamp of the object
 06 ,date             ,datetime  ,           ,       ,      ,        ,          ,        ,      ,         ,  6 ,   6 ,              ,a calculated field -- the date of this transaction
    
 07 ,sender           ,address   ,           ,       ,      ,        ,          ,        ,      ,         ,  7 ,   7 ,0x1bd0...9ce9 ,the initiator of the transfer (the sender)
 08 ,recipient        ,address   ,           ,       ,      ,        ,          ,        ,      ,         ,  8 ,   8 ,0x38d1...1310 ,the receiver of the transfer (the recipient)
 09 ,assetAddr        ,address   ,           ,       ,      ,        ,          ,        ,      ,         ,  9 ,   9 ,0xf503...179b ,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee for ETH reconcilations&#44; the token address otherwise
 10 ,assetSymbol      ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 10 ,  10 ,              ,either ETH&#44; WEI or the symbol of the asset being reconciled as queried from the chain
 11 ,decimals         ,uint64    ,      18   ,       ,      ,        ,          ,        ,      ,         , 11 ,  11 ,              ,Equivalent to the queried value of `decimals` from an ERC20 contract or&#44; if ETH or WEI then 18
 12 ,amount           ,uint256   ,           ,       ,      ,        ,          ,        ,      ,         , 12 ,  12 ,              ,the amount of the transfer in the units of the asset
    
 13 ,spotPrice        ,double    ,       1.0 ,       ,      ,        ,          ,        ,      ,         , 13 ,  13 ,              ,The on-chain price in USD (or if a token in ETH&#44; or zero) at the time of the transaction
 14 ,priceSource      ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 14 ,  14 ,              ,The on-chain source from which the spot price was taken
    
 15 ,topic0           ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 15 ,  15 ,              ,The on-chain source from which the spot price was taken
 16 ,topic1           ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 16 ,  16 ,              ,The on-chain source from which the spot price was taken
 17 ,topic2           ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 17 ,  17 ,              ,The on-chain source from which the spot price was taken
 18 ,topic3           ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 18 ,  18 ,              ,The on-chain source from which the spot price was taken
 19 ,data             ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 19 ,  19 ,              ,The on-chain source from which the spot price was taken
 20 ,encoding         ,string    ,           ,       ,      ,        ,          ,        ,      ,         , 20 ,  20 ,              ,The on-chain source from which the spot price was taken
