name        ,type    ,strDefault ,maxWidth ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example         ,description
tags        ,string  ,           ,30       ,       ,      ,        ,          ,        ,      ,         ,1   ,1    ,31-Gitcoin:Core ,colon separated list of tags
address     ,address ,           ,42       ,       ,      ,        ,          ,        ,      ,         ,2   ,2    ,0xabea...fbef   ,the address associated with this name
name        ,string  ,           ,120      ,       ,      ,        ,          ,        ,      ,         ,3   ,3    ,zkSync          ,the name associated with this address (retrieved from on-chain data if available)
symbol      ,string  ,           ,15       ,       ,      ,        ,          ,        ,      ,         ,4   ,4    ,GTC             ,the symbol for this address (retrieved from on-chain data if available)
source      ,string  ,           ,180      ,       ,      ,        ,          ,        ,      ,         ,5   ,5    ,On-chain        ,user supplied source of where this name was found (or on-chain if name is on-chain)
decimals    ,uint64  ,           ,         ,       ,      ,        ,true      ,        ,      ,         ,6   ,6    ,18              ,number of decimals retrieved from an ERC20 smart contract&#44; defaults to 18
description ,string  ,           ,255      ,       ,      ,        ,          ,        ,      ,         ,7   ,7    ,any test        ,user supplied description for the address
isCustom    ,bool    ,           ,         ,       ,      ,        ,          ,        ,      ,         ,9   ,9    ,                ,`true` if the address is a custom address&#44; `false` otherwise
isPrefund   ,bool    ,           ,         ,       ,      ,        ,          ,        ,      ,         ,10  ,10   ,                ,`true` if the address was one of the prefund addresses&#44; `false` otherwise
isContract  ,bool    ,           ,         ,       ,      ,        ,          ,        ,      ,         ,11  ,11   ,                ,`true` if the address is a smart contract&#44; `false` otherwise
isErc20     ,bool    ,           ,         ,       ,      ,        ,          ,        ,      ,         ,12  ,12   ,                ,`true` if the address is an ERC20&#44; `false` otherwise
isErc721    ,bool    ,           ,         ,       ,      ,        ,          ,        ,      ,         ,13  ,13   ,                ,`true` if the address is an ERC720&#44; `false` otherwise
deleted     ,bool    ,           ,         ,       ,      ,        ,          ,true    ,      ,true     ,8   ,8    ,                ,`true` if deleted&#44; `false` otherwise
