name            ,type   ,str_default ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
num             ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
group           ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
api_group       ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
api_route       ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
tool            ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
longName        ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
hotKey          ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
def_val         ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
is_required     ,bool   ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
is_customizable ,bool   ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
is_visible      ,bool   ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
is_visible_docs ,bool   ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
generate        ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
option_type     ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
data_type       ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
real_type       ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
go_type         ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
summary         ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
description     ,string ,            ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
