blockNum		nBlocks	blksWithTxs	blksWithoutTxs	blksWithBlooms	blksWithoutBlooms	bitsInBloomsBlk	bytesInBloomsBlk
40000	50000	0	0	0	22	0	4461	5984
50000	60000	0	0	0	41	0	8458	11152
60000	70000	0	0	0	75	0	16033	20400
70000	80000	0	0	0	44	0	9387	11968
80000	90000	0	0	0	73	0	15575	19856
90000	100000	0	0	0	54	0	11495	14688
100000	110000	0	0	0	55	0	11460	14960
110000	120000	0	0	0	84	0	19202	22848
120000	130000	0	0	0	85	0	20481	23120
130000	140000	0	0	0	89	0	22148	24208
140000	150000	0	0	0	93	0	22526	25296
150000	160000	0	0	0	106	0	26457	28832
160000	170000	0	0	0	100	0	25218	27200
170000	180000	0	0	0	123	0	31677	33456
180000	190000	0	0	0	99	0	24431	26928
190000	200000	0	0	0	101	0	25361	27472
200000	210000	0	0	0	104	0	25045	28288
210000	220000	0	0	0	106	0	26404	28832
220000	230000	0	0	0	109	0	25693	29648
230000	240000	0	0	0	115	0	28012	31280
240000	250000	0	0	0	101	0	24497	27472
250000	260000	0	0	0	100	0	23524	27200
260000	270000	0	0	0	98	0	24259	26656
270000	280000	0	0	0	109	0	25538	29648
280000	290000	0	0	0	112	0	26648	30464
290000	300000	0	0	0	115	0	27708	31280
300000	310000	0	0	0	117	0	27145	31824
310000	320000	0	0	0	116	0	27531	31552
320000	330000	0	0	0	112	0	25994	30464
330000	340000	0	0	0	117	0	27191	31824
340000	350000	0	0	0	130	0	29719	35360
350000	360000	0	0	0	120	0	27541	32640
360000	370000	0	0	0	108	0	24712	29376
370000	380000	0	0	0	124	0	28096	33728
380000	390000	0	0	0	133	0	30389	36176
390000	400000	0	0	0	132	0	29317	35904
400000	410000	0	0	0	127	0	28381	34544
410000	420000	0	0	0	132	0	29335	35904
420000	430000	0	0	0	140	0	31365	38080
430000	440000	0	0	0	124	0	28207	33728
440000	450000	0	0	0	136	0	31357	36992
450000	460000	0	0	0	163	0	36240	44336
460000	470000	0	0	0	162	0	35918	44064
470000	480000	0	0	0	153	0	35523	41616
480000	490000	0	0	0	157	0	36230	42704
490000	500000	0	0	0	151	0	35321	41072
500000	510000	0	0	0	167	0	37400	45424
510000	520000	0	0	0	168	0	38840	45696
520000	530000	0	0	0	179	0	41809	48688
530000	540000	0	0	0	160	0	36923	43520
540000	550000	0	0	0	154	0	35578	41888
550000	560000	0	0	0	159	0	37310	43248
560000	570000	0	0	0	161	0	37333	43792
570000	580000	0	0	0	158	0	35927	42976
580000	590000	0	0	0	155	0	34951	42160
590000	600000	0	0	0	165	0	37425	44880
600000	610000	0	0	0	156	0	35320	42432
610000	620000	0	0	0	147	0	33340	39984
620000	630000	0	0	0	151	0	34103	41072
630000	640000	0	0	0	146	0	33113	39712
640000	650000	0	0	0	166	0	37348	45152
650000	660000	0	0	0	155	0	34650	42160
660000	670000	0	0	0	150	0	34120	40800
670000	680000	0	0	0	169	0	37614	45968
680000	690000	0	0	0	208	0	46134	56576
690000	700000	0	0	0	387	0	84026	105264
700000	710000	0	0	0	245	0	54519	66640
710000	720000	0	0	0	233	0	52231	63376
720000	730000	0	0	0	241	0	53760	65552
730000	740000	0	0	0	354	0	83416	96288
740000	750000	0	0	0	237	0	53007	64464
750000	760000	0	0	0	264	0	59024	71808
760000	770000	0	0	0	284	0	62860	77248
770000	780000	0	0	0	245	0	55285	66640
780000	790000	0	0	0	204	0	46362	55488
790000	800000	0	0	0	225	0	50429	61200
800000	810000	0	0	0	322	0	71188	87584
810000	820000	0	0	0	269	0	60225	73168
820000	830000	0	0	0	270	0	60316	73440
830000	840000	0	0	0	280	0	62662	76160
840000	850000	0	0	0	289	0	64412	78608
850000	860000	0	0	0	227	0	51706	61744
860000	870000	0	0	0	214	0	48792	58208
870000	880000	0	0	0	222	0	50632	60384
880000	890000	0	0	0	248	0	55811	67456
890000	900000	0	0	0	297	0	66958	80784
900000	910000	0	0	0	353	0	78825	96016
910000	920000	0	0	0	342	0	76977	93024
920000	930000	0	0	0	370	0	83438	100640
930000	940000	0	0	0	378	0	85077	102816
940000	950000	0	0	0	360	0	82230	97920
950000	960000	0	0	0	386	0	87566	104992
960000	970000	0	0	0	367	0	83127	99824
970000	980000	0	0	0	414	0	92786	112608
980000	990000	0	0	0	546	0	123350	148512
990000	1000000	0	0	0	526	0	118097	143072
1000000	1010000	0	0	0	476	0	107476	129472
1010000	1020000	0	0	0	497	0	112602	135184
1020000	1030000	0	0	0	490	0	110373	133280
1030000	1040000	0	0	0	467	0	105545	127024
