blockNum|nBlocks|blksWithTxs|blksWithoutTxs|blksWithBlooms|blksWithoutBlooms|bitsInBloomsBlk|bytesInBloomsBlk|nTrans|transWithBlooms|transWithoutBlooms|bitsInBloomsTrans|bytesInBloomsTrans
50000|1455|1455|0|0|1455|0|0|1871|0|1871|0|0
60000|2092|2092|0|12|2080|96|2832|4053|12|4041|96|2832
70000|2322|2322|0|44|2278|426|11144|6676|46|6630|444|11656
80000|2296|2296|0|144|2152|1303|33864|4187|146|4041|1315|34312
90000|2770|2770|0|197|2573|1967|47040|5894|200|5694|1985|47768
100000|2219|2219|0|94|2125|1027|23240|4289|102|4187|1093|25232
110000|2562|2562|0|70|2492|618|16144|4408|70|4338|618|16144
120000|2249|2249|0|29|2220|227|6592|6873|34|6839|257|7688
130000|2388|2388|0|24|2364|228|5904|7785|24|7761|228|5904
140000|2246|2246|0|51|2195|776|13608|8445|54|8391|800|14416
150000|2766|2766|0|78|2688|797|20328|8855|85|8770|851|22160
160000|2894|2894|0|12|2882|81|3160|10461|12|10449|81|3160
170000|3099|3099|0|25|3074|189|5720|10701|25|10676|189|5720
180000|3722|3722|0|56|3666|384|13776|14253|57|14196|384|14048
190000|3226|3226|0|34|3192|234|8720|12034|45|11989|294|11464
200000|3251|3251|0|63|3188|495|16384|11008|68|10940|528|17712
210000|3478|3478|0|43|3435|398|11168|11236|44|11192|410|11424
220000|3510|3510|0|41|3469|310|10040|11671|43|11628|313|10528
230000|3336|3336|0|27|3309|189|6384|11698|28|11670|195|6560
240000|3572|3572|0|92|3480|642|22472|12247|96|12151|652|23416
250000|4001|4001|0|41|3960|273|9432|11367|41|11326|273|9432
260000|3829|3829|0|109|3720|852|26976|11023|112|10911|861|27776
270000|4018|4018|0|51|3967|330|12648|12310|52|12258|336|12920
280000|4458|4458|0|67|4391|564|16608|13161|76|13085|630|18664
290000|3981|3981|0|42|3939|390|10656|12048|44|12004|408|11168
300000|3806|3806|0|49|3757|361|11464|12830|53|12777|385|12384
310000|3882|3882|0|111|3771|983|27720|12367|116|12251|1019|29024
320000|3974|3974|0|63|3911|549|15720|12306|64|12242|555|15896
330000|4105|4105|0|63|4042|687|15832|11952|67|11885|726|16816
340000|4238|4238|0|86|4152|855|20888|13004|103|12901|996|24928
350000|4479|4479|0|99|4380|896|22456|13856|104|13752|926|23512
360000|4474|4474|0|44|4430|381|10592|13567|46|13521|387|11040
370000|4259|4259|0|21|4238|183|4704|12519|22|12497|186|4928
380000|4703|4703|0|97|4606|876|23272|13195|98|13097|882|23448
390000|4791|4791|0|107|4684|792|23728|13508|109|13399|792|24144
400000|4823|4823|0|48|4775|336|11272|13448|52|13396|372|12328
410000|4752|4752|0|94|4658|672|20616|13096|98|12998|696|21512
420000|4432|4432|0|52|4380|420|12448|12087|53|12034|426|12704
430000|4722|4722|0|596|4126|4299|140952|12707|691|12016|4827|163808
440000|4581|4581|0|643|3938|4680|148888|12008|747|11261|5211|171504
450000|4598|4598|0|307|4291|2225|74792|12512|346|12166|2435|83536
460000|5369|5369|0|989|4380|6875|249784|14992|1354|13638|8472|340736
