blockNum	nBlocks	blksWithTxs	blksWithoutTxs	blksWithBlooms	blksWithoutBlooms	bitsInBloomsBlk	bytesInBloomsBlk	
40000	0	0	0	1	0	6	272	
50000	0	0	0	663	0	9244	165480	
60000	0	0	0	1308	0	21849	326032	
70000	0	0	0	1304	0	27807	325312	
80000	0	0	0	1389	0	18806	349328	
90000	0	0	0	1504	0	25991	375856	
100000	0	0	0	1364	0	19678	342720	
110000	0	0	0	1448	0	20781	366736	
120000	0	0	0	1212	0	25682	307808	
130000	0	0	0	1358	0	29070	346336	
140000	0	0	0	1294	0	29677	326240	
150000	0	0	0	1461	0	32604	372640	
160000	0	0	0	1489	0	37104	385464	
170000	0	0	0	1561	0	38023	402752	
180000	0	0	0	1693	0	48932	450000	
190000	0	0	0	1602	0	40656	427768	
200000	0	0	0	1609	0	38867	425200	
210000	0	0	0	1660	0	40694	437616	
220000	0	0	0	1640	0	40439	432000	
230000	0	0	0	1653	0	40503	434104	
240000	0	0	0	1676	0	42714	441872	
250000	0	0	0	1768	0	41475	461080	
260000	0	0	0	1722	0	41575	440408	
270000	0	0	0	1786	0	44020	471376	
280000	0	0	0	1864	0	48726	493192	
290000	0	0	0	1813	0	45956	467504	
300000	0	0	0	1796	0	47549	474128	
310000	0	0	0	1801	0	46358	475256	
320000	0	0	0	1784	0	46598	471456	
330000	0	0	0	1823	0	46471	482168	
340000	0	0	0	1809	0	49064	476896	
350000	0	0	0	1859	0	53225	490536	
360000	0	0	0	1855	0	51877	491208	
370000	0	0	0	1835	0	48009	484064	
380000	0	0	0	1889	0	51939	496976	
390000	0	0	0	1872	0	53538	492648	
400000	0	0	0	1863	0	52926	494320	
410000	0	0	0	1887	0	52153	498072	
420000	0	0	0	1855	0	49939	483776	
430000	0	0	0	1898	0	54525	500768	
440000	0	0	0	1856	0	50614	486464	
450000	0	0	0	1848	0	51570	484288	
460000	0	0	0	1910	0	59869	503216	
470000	0	0	0	1885	0	58165	491280	
480000	0	0	0	1839	0	54665	479280	
490000	0	0	0	1825	0	55125	477488	
500000	0	0	0	1869	0	56861	490040	
510000	0	0	0	1874	0	60763	494688	
520000	0	0	0	1906	0	64550	499736	
530000	0	0	0	1966	0	91700	517824	
540000	0	0	0	1887	0	64950	492920	
550000	0	0	0	1859	0	54901	483200	
560000	0	0	0	1846	0	55654	477952	
570000	0	0	0	1908	0	60333	497944	
580000	0	0	0	1908	0	55445	492064	
590000	0	0	0	1897	0	57567	492888	
600000	0	0	0	1835	0	56065	480616	
610000	0	0	0	1804	0	53193	468432	
620000	0	0	0	1826	0	52704	473904	
630000	0	0	0	1857	0	53998	482232	
640000	0	0	0	1878	0	52771	487728	
650000	0	0	0	1893	0	57873	493280	
660000	0	0	0	1873	0	53895	485736	
670000	0	0	0	1893	0	54529	488960	
680000	0	0	0	1927	0	63711	504496	
690000	0	0	0	1895	0	66939	493872	
700000	0	0	0	1990	0	103987	530336	
710000	0	0	0	1964	0	75470	515344	
720000	0	0	0	1958	0	75154	513432	
730000	0	0	0	1955	0	77715	511696	
740000	0	0	0	1949	0	107784	512424	
750000	0	0	0	1937	0	79216	506096	
760000	0	0	0	1954	0	86057	514272	
770000	0	0	0	1969	0	90174	518408	
780000	0	0	0	1937	0	81508	507136	
790000	0	0	0	1921	0	71185	501576	
800000	0	0	0	1930	0	76945	505296	
810000	0	0	0	1981	0	98202	523024	
820000	0	0	0	1969	0	90015	518296	
830000	0	0	0	1973	0	90183	520432	
840000	0	0	0	1960	0	90378	514424	
850000	0	0	0	1965	0	92006	517328	
860000	0	0	0	1921	0	77882	507624	
870000	0	0	0	1942	0	76034	512776	
880000	0	0	0	1923	0	81916	514448	
890000	0	0	0	1932	0	82622	513544	
900000	0	0	0	1925	0	89229	513200	
910000	0	0	0	1969	0	105579	526896	
920000	0	0	0	1976	0	107932	532472	
930000	0	0	0	1975	0	113506	532736	
940000	0	0	0	1965	0	111438	527264	
950000	0	0	0	1948	0	107010	522016	
960000	0	0	0	1957	0	112473	525840	
970000	0	0	0	1947	0	107875	522984	
980000	0	0	0	1969	0	114865	526496	
990000	0	0	0	1982	0	142759	533344	
1000000	0	0	0	1987	0	137891	534584	
1010000	0	0	0	1982	0	126584	531352	
1020000	0	0	0	1978	0	131542	531408	
1030000	0	0	0	1982	0	130525	531992	
1040000	0	0	0	1985	0	125972	533408	
1050000	0	0	0	1988	0	132834	535240	
1060000	0	0	0	1995	0	137162	538248	
1070000	0	0	0	1986	0	138176	533632	
1080000	0	0	0	1995	0	142740	537032	
1090000	0	0	0	1993	0	159004	538368	
1100000	0	0	0	1994	0	167522	538000	
1110000	0	0	0	1997	0	182025	539632	
1120000	0	0	0	1996	0	171634	538832	
1130000	0	0	0	2000	0	159914	540376	
1140000	0	0	0	1997	0	172810	539720	
1150000	0	0	0	1993	0	179230	539104	
1160000	0	0	0	1975	0	156070	532552	
1170000	0	0	0	1986	0	175438	536888	
1180000	0	0	0	1990	0	169138	537184	
1190000	0	0	0	1977	0	159033	532544	
1200000	0	0	0	1980	0	171641	534536	
1210000	0	0	0	1986	0	169590	536576	
1220000	0	0	0	1985	0	161225	533480	
1230000	0	0	0	1978	0	164070	533056	
1240000	0	0	0	1988	0	180821	536848	
1250000	0	0	0	1982	0	190085	534832	
1260000	0	0	0	1986	0	175772	535512	
1270000	0	0	0	1977	0	161261	531912	
1280000	0	0	0	1977	0	177711	532904	
1290000	0	0	0	1973	0	176210	531952	
1300000	0	0	0	1968	0	169552	530864	
1310000	0	0	0	1976	0	168249	530448	
1320000	0	0	0	1973	0	175607	531712	
1330000	0	0	0	1972	0	170083	530752	
1340000	0	0	0	1983	0	173850	533368	
1350000	0	0	0	1978	0	164469	532224	
1360000	0	0	0	1984	0	176176	534056	
1370000	0	0	0	1988	0	170918	534600	
1380000	0	0	0	1979	0	175009	532816	
1390000	0	0	0	1977	0	167964	530520	
1400000	0	0	0	1970	0	165476	529104	
1410000	0	0	0	1989	0	182695	535784	
1420000	0	0	0	1987	0	177623	535400	
1430000	0	0	0	1997	0	205529	539248	
1440000	0	0	0	1997	0	236266	541040	
1450000	0	0	0	1999	0	220377	541616	
1460000	0	0	0	1996	0	210487	540512	
1470000	0	0	0	1994	0	210816	540776	
1480000	0	0	0	1997	0	203188	541312	
1490000	0	0	0	1996	0	210763	541256	
1500000	0	0	0	1996	0	230104	541536	
1510000	0	0	0	2000	0	238918	543664	
1520000	0	0	0	1998	0	253923	542672	
1530000	0	0	0	1999	0	216715	542384	
1540000	0	0	0	1999	0	249815	542752	
1550000	0	0	0	1999	0	255765	542464	
1560000	0	0	0	1999	0	255707	542376	
1570000	0	0	0	1999	0	220541	541448	
1580000	0	0	0	1998	0	242273	541760	
1590000	0	0	0	2000	0	265264	542600	
1600000	0	0	0	1999	0	290675	543152	
1610000	0	0	0	2000	0	273014	543488	
1620000	0	0	0	1999	0	245354	542680	
1630000	0	0	0	1996	0	230726	540992	
1640000	0	0	0	2000	0	221964	541712	
1650000	0	0	0	1996	0	206999	539944	
1660000	0	0	0	1997	0	212867	540992	
1670000	0	0	0	2000	0	235689	541928	
1680000	0	0	0	1998	0	232232	540976	
1690000	0	0	0	1999	0	220080	542080	
1700000	0	0	0	1995	0	256255	541464	
1710000	0	0	0	2000	0	265024	542880	
1720000	0	0	0	1999	0	281905	542776	
1730000	0	0	0	1972	0	383137	536176	
1740000	0	0	0	1992	0	254273	540096	
1750000	0	0	0	1996	0	281821	541496	
1760000	0	0	0	1996	0	250626	540488	
1770000	0	0	0	1996	0	224034	539728	
1780000	0	0	0	1998	0	218653	540304	
1790000	0	0	0	2000	0	239455	542088	
1800000	0	0	0	1999	0	232352	541200	
1810000	0	0	0	1999	0	218720	540648	
