n,group,api_route,tool,order,command,command_short,data_type,option_kind,default_value,description_core,description_api,core_visible,core_required,api_enabled,api_required,api_visible,api_alias
1,tools,receipts,getReceipt,,trans_list,,list<trans>,positional,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,
2,tools,receipts,getReceipt,,articulate,a,boolean,switch,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,
3,tools,receipts,getReceipt,,logs,l,boolean,switch,,display the receipt's logs,,TRUE,FALSE,TRUE,FALSE,TRUE,
4,tools,receipts,getReceipt,,fmt,x,enum[none|json|txt|csv|api],flag,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,
5,tools,receipts,getReceipt,,,,,description,,Retrieve a transaction's receipt from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,
6,tools,blocks,getBlock,,block_list,,list<block>,positional,,a space-separated list of one or more blocks to retrieve,,TRUE,TRUE,TRUE,TRUE,TRUE,
7,tools,blocks,getBlock,,hash_only,n,boolean,switch,,"display only transaction hashes, default is to display full transaction detail",,TRUE,FALSE,TRUE,FALSE,TRUE,
8,tools,blocks,getBlock,,check,c,boolean,switch,,"compare results between qblocks and Ethereum node, report differences, if any",,TRUE,FALSE,TRUE,FALSE,TRUE,
9,tools,blocks,getBlock,,addrs,a,boolean,switch,,display all addresses included in the block,,TRUE,FALSE,TRUE,FALSE,TRUE,
10,tools,blocks,getBlock,,uniq,u,boolean,switch,,display only uniq addresses found per block,,TRUE,FALSE,TRUE,FALSE,TRUE,
11,tools,blocks,getBlock,,uniqTx,q,boolean,switch,,display only uniq addresses found per transaction,,TRUE,FALSE,TRUE,FALSE,TRUE,
12,tools,blocks,getBlock,,number,m,boolean,switch,,"display address counts (alterntively --addrCnt, --uniqTxCnt, or --uniqCnt)",,TRUE,FALSE,TRUE,FALSE,TRUE,
13,tools,blocks,getBlock,,filter,l,<addr>,flag,,"useful only for --addrs or --uniq, only display this address in results",,TRUE,FALSE,TRUE,FALSE,TRUE,
14,tools,blocks,getBlock,,latest,l,boolean,switch,,display the latest blocks at both the node and the cache,,FALSE,FALSE,FALSE,FALSE,FALSE,
15,tools,blocks,getBlock,,force,o,boolean,switch,,force a re-write of the block to the cache,,FALSE,FALSE,FALSE,FALSE,FALSE,
16,tools,blocks,getBlock,,quiet,q,boolean,switch,,"do not print results to screen, used for speed testing and data checking",,FALSE,FALSE,FALSE,FALSE,FALSE,
17,tools,blocks,getBlock,,source,s,enum[c|r],flag,,"either :c(a)che or :(r)aw, source for data retrival. (shortcuts -k = qblocks, -r = node)",,FALSE,FALSE,FALSE,FALSE,FALSE,
18,tools,blocks,getBlock,,fields,f,enum[a|m|c|r],flag,,"either :(a)ll, (m)ini, (c)ache or :(r)aw; which fields to include in output (all is default)",,FALSE,FALSE,FALSE,FALSE,FALSE,
19,tools,blocks,getBlock,,normalize,n,boolean,switch,,normalize (remove un-common fields and sort) for comparison with other results (testing),,FALSE,FALSE,FALSE,FALSE,FALSE,
20,tools,blocks,getBlock,,,,,description,,Returns block(s) from local cache or directly from a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,
21,tools,transactions,getTrans,,trans_list,,list<trans>,positional,,"a space-separated list of one or more transaction identifiers (tx_hash, bn.txID, blk_hash.txID)",,TRUE,TRUE,TRUE,TRUE,TRUE,
22,tools,transactions,getTrans,,articulate,a,boolean,switch,,articulate the transactions if an ABI is found for the 'to' address,,TRUE,FALSE,TRUE,FALSE,TRUE,
23,tools,transactions,getTrans,,trace,t,boolean,switch,,display the transaction's trace,,TRUE,FALSE,TRUE,FALSE,TRUE,
24,tools,transactions,getTrans,,fmt,x,enum[none|json|txt|csv|api],flag,,export format (one of [none|json|txt|csv|api]),,FALSE,FALSE,FALSE,FALSE,FALSE,
25,tools,transactions,getTrans,,,,,description,,Retrieve an Ethereum transaction from the local cache or a running node.,,TRUE,FALSE,TRUE,FALSE,TRUE,
