enabled, mode, speed, route, path, tool/filename, post, options, opt_cmd
on, cmd,  medi, state, tools/getState, README,                         n, @th
on, cmd,  fast, state, tools/getState, help,                           n, @h
on, cmd,  fast, state, tools/getState, help_long,                      n, help
on, cmd,  fast, state, tools/getState, help_verbose,                   n, help & verbose

on, both, fast, state, tools/getState, noparams,                       y,
on, both, fast, state, tools/getState, bad_block,                      y, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 & block_list = -1
on, both, fast, state, tools/getState, bad_address,                    y, addr_list = $doa & 0x12
on, both, fast, state, tools/getState, no_address,                     y, addr_list = 12
on, both, fast, state, tools/getState, invalid_address_1,              y, addr_list = 0x12
on, both, fast, state, tools/getState, invalid_address_2,              y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d3592
on, both, fast, state, tools/getState, invalid_block_1,                y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 fdfsdf

on, both, fast, state, tools/getState, dao_1500000,                    n, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 & block_list = 1500000 & fmt = txt & no_history
on, both, fast, state, tools/getState, two_accts,                      y, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 1500000 & fmt = api
on, both, fast, state, tools/getState, tip_4,                          y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 1500000 2000000 2500000 3000000
on, both, fast, state, tools/getState, multiple_accounts,              y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x6f46cf5569aefa1acc1009290c8e043747172d89 & block_list = 4000000
on, both, fast, state, tools/getState, multiple_accounts_and_blocks_1, n, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x6f46cf5569aefa1acc1009290c8e043747172d89 & block_list = 3500000 4000000 & fmt = txt
on, both, fast, state, tools/getState, multiple_accounts_and_blocks_2, n, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x6f46cf5569aefa1acc1009290c8e043747172d89 0xf27daff52c38b2c373ad2b9392652ddf433303c4 & block_list = 3500000 3700000 4000000 & fmt = txt
on, both, fast, state, tools/getState, display_tab_format,             y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & data & json
on, both, fast, state, tools/getState, display_tab_format_long,        y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & data
on, both, fast, state, tools/getState, no_zero_1,                      y, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c5 & block_list = 3500000 & nozero
on, both, fast, state, tools/getState, no_zero_2,                      y, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c5 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 3500000 & nozero
on, both, fast, state, tools/getState, no_zero_3,                      y, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c4 & block_list = 0 4000000 & nozero
on, both, fast, state, tools/getState, no_zero_4,                      y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x6f46cf5569aefa1acc1009290c8e043747172d89 0xf27daff52c38b2c373ad2b9392652ddf433303c4 & block_list = 3500000 3700000 4000000 & nozero
on, both, fast, state, tools/getState, no_zero_long_1,                 n, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c5 & block_list = 3500000 & fmt = txt & nozero
on, both, fast, state, tools/getState, no_zero_long_2,                 n, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c5 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 3500000 & fmt = txt & nozero
on, both, fast, state, tools/getState, no_zero_long_3,                 n, addr_list = 0xf27daff52c38b2c373ad2b9392652ddf433303c4 & block_list = 0 4000000 & fmt = txt & nozero
on, both, fast, state, tools/getState, no_zero_long_4,                 n, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x6f46cf5569aefa1acc1009290c8e043747172d89 0xf27daff52c38b2c373ad2b9392652ddf433303c4 & block_list = 3500000 3700000 4000000 & fmt = txt & nozero
on, both, fast, state, tools/getState, verbose,                        y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & verbose
on, both, fast, state, tools/getState, verbose_long,                   y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & verbose
on, both, fast, state, tools/getState, special_block_1,                y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = iceage
on, both, fast, state, tools/getState, special_block_2,                y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = stateclear
on, both, fast, state, tools/getState, special_block_3,                y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = first
on, both, fast, state, tools/getState, wei,                            y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & wei
on, both, fast, state, tools/getState, ether,                          n, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 4000000 & ether & fmt = txt
on, both, medi, state, tools/getState, changes,                        n, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 & block_list = 1430957-1430966 & changes & fmt = txt
on, both, fast, state, tools/getState, e_dao_1500000,                  n, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 & block_list = 1500000 & ether & fmt = txt
on, both, fast, state, tools/getState, e_two_accts,                    n, addr_list = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 0x7cb57b5a97eabe94205c07890be4c1ad31e486a8 & block_list = 1500000 & ether & fmt = txt
on, both, fast, state, tools/getState, e_tip_4,                        n, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & block_list = 1500000 2000000 2500000 3000000 & ether & fmt = txt

on, both, fast, state, tools/getState, mode_bal,                       y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = bal & block_list = 2500000
on, both, fast, state, tools/getState, mode_nonce,                     y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = nonce & block_list = 2500000
on, both, fast, state, tools/getState, mode_code,                      y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = code & block_list = 2500000
on, both, fast, state, tools/getState, mode_storage,                   y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = storage & block_list = 2500000
on, both, slow, state, tools/getState, mode_deployed,                  y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = deployed & block_list = 2500000
on, both, fast, state, tools/getState, mode_accttype,                  y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = accttype & block_list = 2500000
on, both, fast, state, tools/getState, mode_some,                      y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = some & block_list = 2500000
on, both, medi, state, tools/getState, mode_all,                       y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = all & block_list = 2500000
on, both, fast, state, tools/getState, mode_none,                      y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = none & block_list = 2500000
on, both, fast, state, tools/getState, mode_nonce_only,                y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = none*nonce & block_list = 2500000
on, both, fast, state, tools/getState, mode_fail,                      y, addr_list = 0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359 & mode = junk & block_list = 2500000

on, both, fast, state, tools/getState, fmt_txt,                        n, addr_list = 0xf6f1cd99578ea87b67ae2bf7e9ca3e7e99d0fb98 & fmt = txt & block_list = 2000000 & ether
on, both, fast, state, tools/getState, fmt_csv,                        n, addr_list = 0xf6f1cd99578ea87b67ae2bf7e9ca3e7e99d0fb98 & fmt = csv & block_list = 2000000
on, both, fast, state, tools/getState, fmt_api,                        y, addr_list = 0xf6f1cd99578ea87b67ae2bf7e9ca3e7e99d0fb98 & fmt = api & block_list = 2000000
on, both, fast, state, tools/getState, fmt_json,                       y, addr_list = 0xf6f1cd99578ea87b67ae2bf7e9ca3e7e99d0fb98 & fmt = json & block_list = 2000000 & dollars
on, both, fast, state, tools/getState, fmt_junk,                       y, addr_list = 0xf6f1cd99578ea87b67ae2bf7e9ca3e7e99d0fb98 & fmt = junk & block_list = 2000000

on, cmd,  fast, state, tools/getState, from_file,                      y, file:cmd_file
