name             ,type        ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example       ,description
author           ,address     ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
gasLimit         ,gas         ,           ,       ,      ,        ,          ,        ,         ,  1 ,   6 ,5000          ,the system-wide maximum amount of gas permitted in this block
gasUsed          ,gas         ,           ,       ,      ,        ,          ,        ,         ,    ,   5 ,500000000     ,the total amount of gas used in this block
hash             ,hash        ,           ,       ,      ,        ,          ,        ,         ,  2 ,   9 ,0xf128...1e98 ,the hash of the current block
blockNumber      ,blknum      ,           ,       ,      ,        ,          ,        ,         ,  3 ,   1 ,10021         ,the number of the block
parentHash       ,hash        ,           ,       ,      ,        ,          ,        ,         ,  4 ,  10 ,0x66fc...31c9 ,hash of previous block
receiptsRoot     ,hash        ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
sha3Uncles       ,hash        ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
size             ,uint64      ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
stateRoot        ,hash        ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
totalDifficulty  ,wei         ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
miner            ,address     ,           ,       ,      ,        ,          ,        ,         ,  5 ,   8 ,0xf927...2b13 ,address of block's winning miner
difficulty       ,uint64      ,           ,       ,      ,        ,          ,        ,         ,  6 ,   4 ,598133194256  ,the computational difficulty at this block
extraData        ,string      ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
logsBloom        ,string      ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
mixHash          ,string      ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
nonce            ,string      ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
timestamp        ,timestamp   ,           ,       ,      ,        ,          ,        ,         ,  7 ,   2 ,1438335038    ,the Unix timestamp of the object
date             ,datetime    ,           ,       ,      ,        ,          ,        ,         ,  8 ,   3 ,              ,a calculated field -- the date of the object
baseFeePerGas    ,wei         ,           ,       ,      ,        ,          ,        ,         , 10 ,   7 ,120911        ,the base fee for this block
transactions     ,Transaction ,           ,true   ,true  ,        ,          ,        ,         ,  9 ,     ,              ,a possibly empty array of transactions or transaction hashes
transactionsRoot ,hash        ,           ,       ,      ,        ,          ,rawonly ,         ,    ,     ,              ,
uncles           ,hash        ,           ,       ,true  ,true    ,true      ,        ,         , 11 ,     ,              ,
