name             ,type    ,strDefault ,omitempty ,docOrder,description
nAppearances     ,blknum  ,           ,          ,    ,
lastExport       ,blknum  ,           ,          ,    ,
firstAppearance  ,blknum  ,           ,          ,    ,
latestAppearance ,blknum  ,UINT_MAX   ,          ,    ,
lastVisitedBlock ,blknum  ,NOPOS      ,          ,    ,
sizeInBytes      ,uint64  ,           ,true      ,  4 ,the size of this monitor on disc
nApps            ,blknum  ,           ,          ,  1 ,the number of appearances for this monitor
firstApp         ,blknum  ,           ,          ,  2 ,the first block at which this address appears
latestApp        ,blknum  ,           ,          ,  3 ,the latest block at which this address appears
address          ,address ,           ,          ,  6 ,the address being monitored
decimals         ,uint64  ,           ,          , 12 ,
petname          ,string  ,           ,true      ,    ,
isContract       ,bool    ,           ,          , 13 ,
isCustom         ,bool    ,           ,          ,  8 ,`true` if this address is customized
isErc20          ,bool    ,           ,true      ,    ,
isErc721         ,bool    ,           ,true      ,    ,
isPrefund        ,bool    ,           ,true      ,    ,
name             ,string  ,           ,          ,  7 ,the name given to this address
source           ,string  ,           ,          , 11 ,
symbol           ,string  ,           ,          , 10 ,
tags             ,string  ,           ,          ,  5 ,the tag given to this address
deleted          ,bool    ,           ,          ,  9 ,`true` if deleted&#44; `false` otherwise
