name              ,type    ,strDefault ,omitempty ,docOrder,description
blockHash         ,hash    ,           ,true      ,  1 ,
blockNumber       ,blknum  ,           ,          ,  2 ,
contractAddress   ,address ,           ,true      ,  3 ,the address of the newly created contract&#44; if any
cumulativeGasUsed ,wei     ,           ,true      ,    ,
from              ,address ,           ,true      ,    ,
gasUsed           ,gas     ,           ,          ,  4 ,the amount of gas actually used by the transaction
effectiveGasPrice ,gas     ,           ,true      ,    ,
isError           ,bool    ,           ,true      ,  5 ,
logs              ,[]Log   ,           ,          ,  6 ,a possibly empty array of logs
logsBloom         ,string  ,           ,true      ,    ,
status            ,uint32  ,NO_STATUS  ,          ,  7 ,`1` on transaction suceess&#44; `null` if tx preceeds Byzantium&#44; `0` otherwise
to                ,address ,           ,true      ,    ,
transactionHash   ,hash    ,           ,          ,  8 ,
transactionIndex  ,blknum  ,           ,          ,  9 ,
