name                ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example       ,description
blockNumber         ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  1 ,   1 ,10021         ,the number of the block
transactionIndex    ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  2 ,   2 ,305           ,the zero-indexed position of the transaction in the block
logIndex            ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  3 ,   3 ,2             ,the zero-indexed position the log in the block&#44; if applicable
transactionHash     ,hash      ,           ,       ,      ,        ,          ,        ,         ,  4 ,   4 ,              ,the hash of the transaction that triggered this reconciliation
timestamp           ,timestamp ,           ,       ,      ,        ,          ,        ,         ,  5 ,   5 ,1438335038    ,the Unix timestamp of the object
date                ,datetime  ,           ,       ,      ,        ,          ,        ,         ,  6 ,   6 ,              ,a calculated field -- the date of this transaction

assetAddr           ,address   ,           ,       ,      ,        ,          ,        ,         ,  7 ,   7 ,0x6b17...1d0f ,0xeeee...eeee for ETH reconciliations&#44; the token address otherwise
assetSymbol         ,string    ,           ,       ,      ,        ,          ,        ,         ,  8 ,   8 ,              ,either ETH&#44; WEI&#44; or the symbol of the asset being reconciled as extracted from the chain
decimals            ,uint64    ,      18   ,       ,      ,        ,          ,        ,         ,  9 ,   9 ,              ,the value of `decimals` from an ERC20 contract or&#44; if ETH or WEI&#44; then 18
spotPrice           ,double    ,       1.0 ,       ,      ,        ,          ,        ,         , 10 ,  10 ,              ,the on-chain price in USD (or if a token in ETH&#44; or zero) at the time of the transaction
priceSource         ,string    ,           ,       ,      ,        ,          ,        ,         , 11 ,  11 ,              ,the on-chain source from which the spot price was taken

accountedFor        ,address   ,           ,       ,      ,        ,          ,        ,         , 12 ,  12 ,0x1bd0...9ce9 ,the address being accounted for in this reconciliation
sender              ,address   ,           ,       ,      ,        ,          ,        ,         , 13 ,  13 ,0xf503...179b ,the initiator of the transfer (the sender)
recipient           ,address   ,           ,       ,      ,        ,          ,        ,         , 14 ,  14 ,0x38d1...1310 ,the receiver of the transfer (the recipient)
begBal              ,int256    ,           ,       ,      ,        ,          ,        ,         , 15 ,  15 ,              ,the beginning balance of the asset prior to the transaction
amountNet           ,int256    ,           ,       ,      ,true    ,          ,true    ,true     , 16 ,  16 ,              ,a calculated field -- totalIn - totalOut
endBal              ,int256    ,           ,       ,      ,        ,          ,        ,         , 17 ,  17 ,              ,the on-chain balance of the asset (see notes about intra-block reconciliations)
reconciliationType  ,string    ,           ,       ,      ,        ,          ,        ,         , 18 ,  18 ,              ,one of `regular`&#44; `prevDiff-same`&#44; `same-nextDiff`&#44; or `same-same`. Appended with `eth` or `token`
reconciled          ,bool      ,           ,       ,      ,true    ,          ,true    ,true     , 19 ,  19 ,[true|false]  ,a calculated field -- true if `endBal === endBalCalc` and `begBal === prevBal`. `false` otherwise.

totalIn             ,int256    ,           ,       ,      ,true    ,          ,true    ,true     , 20 ,  20 ,              ,a calculated field -- the sum of the following `In` fields
amountIn            ,int256    ,           ,       ,      ,        ,true      ,        ,         , 21 ,  21 ,              ,the top-level value of the incoming transfer for the accountedFor address
internalIn          ,int256    ,           ,       ,      ,        ,true      ,        ,         , 22 ,  22 ,              ,the internal value of the incoming transfer for the accountedFor address
