name             ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example            ,description
blockNumber      ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  1 ,     ,                   ,the block at which the report is made
transactionIndex ,blknum    ,           ,       ,      ,        ,true      ,        ,         ,  2 ,     ,                   ,the transaction index (if applicable) at which the report is made
timestamp        ,timestamp ,           ,       ,      ,        ,          ,        ,         ,  3 ,     ,                   ,the timestamp of the block
totalSupply      ,int256    ,           ,       ,      ,        ,          ,        ,         ,  4 ,     ,                   ,the total supply of the token contract
address          ,address   ,           ,       ,      ,        ,          ,        ,         ,  5 ,     ,0xa1e4...63b4      ,the address of the token contract
holder           ,address   ,           ,       ,      ,        ,          ,        ,         ,  6 ,     ,0x2910...63d2      ,the holder address for which we are reporting
priorBalance     ,int256    ,           ,       ,      ,        ,true      ,        ,         ,  7 ,     ,                   ,the holder's asset balance at its prior appearance
balance          ,int256    ,           ,       ,      ,        ,          ,        ,         ,  8 ,     ,258843698360318500 ,the holder's asset balance at the given block height
diff             ,int256    ,           ,       ,      ,        ,true      ,        ,         ,  9 ,     ,                   ,the difference#&44; if any#&44; between the prior and current balance
name             ,string    ,           ,       ,      ,        ,          ,        ,         , 10 ,     ,GitCoin            ,the name of the token contract&#44; if available
symbol           ,string    ,           ,       ,      ,        ,          ,        ,         , 11 ,     ,GTC                ,the symbol of the token contract
decimals         ,uint64    ,           ,       ,      ,        ,          ,        ,         , 12 ,     ,18                 ,the number of decimals for the token contract
isContract       ,bool      ,           ,       ,      ,        ,true      ,        ,         , 13 ,     ,                   ,`true` if the address is a smart contract&#44; `false` otherwise
isErc20          ,bool      ,           ,       ,      ,        ,true      ,        ,         , 14 ,     ,                   ,`true` if the address is an ERC20&#44; `false` otherwise
isErc721         ,bool      ,           ,       ,      ,        ,true      ,        ,         , 15 ,     ,                   ,`true` if the address is an ERC720&#44; `false` otherwise
