name             ,type      ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,noaddfld ,doc ,disp ,example       ,description
blockNumber      ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  1 ,   1 ,10021         ,the number of the block
transactionIndex ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  2 ,   2 ,305           ,the zero-indexed position of the transaction in the block
logIndex         ,blknum    ,           ,       ,      ,        ,          ,        ,         ,  3 ,   3 ,305           ,the zero-indexed position of the log in the transaction
transactionHash  ,hash      ,           ,       ,      ,        ,          ,        ,         ,  4 ,   4 ,              ,the hash of the transaction that triggered this reconciliation
timestamp        ,timestamp ,           ,       ,      ,        ,          ,        ,         ,  5 ,   5 ,1438335038    ,the Unix timestamp of the object
date             ,datetime  ,           ,       ,      ,        ,          ,        ,         ,  6 ,   6 ,              ,a calculated field -- the date of this transaction

sender           ,address   ,           ,       ,      ,        ,          ,        ,         ,  7 ,   7 ,0x1bd0...9ce9 ,the initiator of the transfer (the sender)
recipient        ,address   ,           ,       ,      ,        ,          ,        ,         ,  8 ,   8 ,0x38d1...1310 ,the receiver of the transfer (the recipient)
assetAddr        ,address   ,           ,       ,      ,        ,          ,        ,         ,  9 ,   9 ,0xf503...179b ,0xeeee...eeee for ETH reconcilations&#44; the token address otherwise
assetSymbol      ,string    ,           ,       ,      ,        ,          ,        ,         , 10 ,  10 ,              ,either ETH&#44; WEI or the symbol of the asset being reconciled as queried from the chain
decimals         ,uint64    ,      18   ,       ,      ,        ,          ,        ,         , 11 ,  11 ,              ,Equivalent to the queried value of `decimals` from an ERC20 contract or&#44; if ETH or WEI then 18
amount           ,int256    ,           ,       ,      ,        ,          ,        ,         , 12 ,  12 ,              ,the amount of the transfer in the units of the asset

spotPrice        ,double    ,       1.0 ,       ,      ,        ,          ,        ,         , 13 ,  13 ,              ,the on-chain price in USD (or if a token in ETH&#44; or zero) at the time of the transaction
priceSource      ,string    ,           ,       ,      ,        ,          ,        ,         , 14 ,  14 ,              ,the on-chain source from which the spot price was taken

encoding         ,string    ,           ,       ,      ,        ,          ,        ,         , 15 ,  15 ,              ,the four-byte encoding of the transaction's function call
