num,group,is_visible,is_visible_docs,api_group,api_route,tool,summary,usage,capabilities,description
11,Accounts,false,true,,,,,,,Access and cache transactional data
12,Accounts,true,true,apps,list,acctExport --appearances,List transactions,[flags] <address> [address...],default|,List every appearance of an address anywhere on the chain.
13,Accounts,true,true,apps,export,acctExport,Export details,[flags] <address> [address...] [topics...] [fourbytes...],default|caching|ether|,Export full details of transactions for one or more addresses.
14,Accounts,true,true,apps,monitors,acctExport --appearances,Manage monitors,[flags] <address> [address...],default|caching|,Add&#44; remove&#44; clean&#44; and list address monitors.
15,Accounts,true,true,tools,names,ethNames,Names,[flags] <term> [term...],default|,Query addresses or names of well-known accounts.
16,Accounts,true,true,tools,abis,grabABI,ABIs,[flags] <address> [address...],default|caching|,Fetches the ABI for a smart contract.

21,Chain Data,false,true,,,,,,,Access and cache blockchain-related data
22,Chain Data,true,true,tools,blocks,getBlocks,Get blocks,[flags] <block> [block...],default|caching|ether|raw|,Retrieve one or more blocks from the chain or local cache.
23,Chain Data,true,true,tools,transactions,getTrans,Get transactions,[flags] <tx_id> [tx_id...],default|caching|ether|raw|,Retrieve one or more transactions from the chain or local cache.
24,Chain Data,true,true,tools,receipts,getReceipts,Get receipts,[flags] <tx_id> [tx_id...],default|caching|raw|,Retrieve receipts for the given transaction(s).
25,Chain Data,true,true,tools,logs,getLogs,Get logs,[flags] <tx_id> [tx_id...],default|caching|raw|,Retrieve logs for the given transaction(s).
26,Chain Data,true,true,tools,traces,getTraces,Get traces,[flags] <tx_id> [tx_id...],default|caching|ether|raw|,Retrieve traces for the given transaction(s).
27,Chain Data,true,true,tools,when,whenBlock,Get block dates,[flags] < block | date > [ block... | date... ],default|caching|,Find block(s) based on date&#44; blockNum&#44; timestamp&#44; or 'special'.

31,Chain State,false,true,,,,,,,Access to account and token state
32,Chain State,true,true,tools,state,getState,Get balance(s),[flags] <address> [address...] [block...],default|caching|ether|,Retrieve account balance(s) for one or more addresses at given block(s).
33,Chain State,true,true,tools,tokens,getTokens,Get token balance(s),[flags] <address> <address> [address...] [block...],default|caching|,Retrieve token balance(s) for one or more addresses at given block(s).

41,Admin,false,true,,,,,,,Control the scraper and build the index
42,Admin,true,true,apps,config,config,Manage config,<mode> [flags],default|,Report on and edit the configuration of the TrueBlocks system.
43,Admin,true,true,apps,status,cacheStatus,Get status on caches,<mode> [mode...] [flags],default|,Report on the state of the internal binary caches.
44,Admin,true,true,apps,daemon,flame,,[flags],verbose|version|noop|noColor|,Initialize and control long-running processes such as the API and the scrapers.
45,Admin,true,true,apps,scrape,blockScrape,Scrape index,[flags],verbose|version|noop|noColor|chain|,Scan the chain and update the TrueBlocks index of appearances.
46,Admin,true,true,apps,chunks,chunkMan,Manage chunks,<mode> [flags] [blocks...] [address...],default|,Manage&#44; investigate&#44; and display the Unchained Index.
47,Admin,true,true,apps,init,init,Initialize index,[flags],verbose|version|noop|noColor|chain|,Initialize the TrueBlocks system by downloading the Unchained Index from IPFS.

51,Other,false,true,,,,,,,Access to other and external data
52,Other,true,true,apps,explore,fireStorm,Explore,[flags] [terms...],verbose|version|noop|noColor|chain|file|,Open a local or remote explorer for one or more addresses&#44; blocks&#44; or transactions.
53,Other,true,true,tools,slurp,ethslurp,Slurp Etherscan,[flags] <address> [address...] [block...],default|caching|ether|raw|,Fetch data from Etherscan for any address.
