num,group,tags,api_route,tool,longName,hotKey,def_val,is_required,is_customizable,is_visible,is_visible_docs,generate,option_type,data_type,description

10200,apps,Accounts,export,acctExport,addrs,,,true,false,true,true,gocmd,positional,list<addr>,one or more addresses (0x...) to export
10205,apps,Accounts,export,acctExport,topics,,,false,false,true,true,gocmd,positional,list<topic>,filter by one or more log topics (only for --logs option)
10207,apps,Accounts,export,acctExport,fourbytes,,,false,false,true,true,gocmd,positional,list<fourbyte>,filter by one or more fourbytes (only for transactions and trace options)
10210,apps,Accounts,export,acctExport,appearances,p,,false,false,true,true,gocmd,switch,<boolean>,export a list of appearances
10220,apps,Accounts,export,acctExport,receipts,r,,false,false,true,true,gocmd,switch,<boolean>,export receipts instead of transactional data
10230,apps,Accounts,export,acctExport,logs,l,,false,false,true,true,gocmd,switch,<boolean>,export logs instead of transactional data
10240,apps,Accounts,export,acctExport,traces,t,,false,false,true,true,gocmd,switch,<boolean>,export traces instead of transactional data
10216,apps,Accounts,export,acctExport,neighbors,n,,false,false,true,true,gocmd,switch,<boolean>,export the neighbors of the given address
10280,apps,Accounts,export,acctExport,accounting,C,,false,false,true,true,gocmd,switch,<boolean>,attach accounting records to the exported data (applies to transactions export only)
10282,apps,Accounts,export,acctExport,statements,A,,false,false,true,true,gocmd,switch,<boolean>,for the accounting options only&#44; export only statements
10290,apps,Accounts,export,acctExport,balances,b,,false,false,true,true,gocmd,switch,<boolean>,traverse the transaction history and show each change in ETH balances
10295,apps,Accounts,export,acctExport,withdrawals,i,,false,false,true,true,gocmd,switch,<boolean>,export withdrawals for the given address
10310,apps,Accounts,export,acctExport,articulate,a,,false,false,true,true,gocmd,switch,<boolean>,articulate transactions&#44; traces&#44; logs&#44; and outputs
10330,apps,Accounts,export,acctExport,cache_traces,R,false,false,true,true,true,gocmd,switch,<boolean>,force the transaction's traces into the cache
10334,apps,Accounts,export,acctExport,count,U,,false,false,true,true,gocmd,switch,<boolean>,for --appearances mode only&#44; display only the count of records
10336,apps,Accounts,export,acctExport,first_record,c,0,false,false,true,true,gocmd,flag,<uint64>,the first record to process
10338,apps,Accounts,export,acctExport,max_records,e,250,false,false,true,true,gocmd,flag,<uint64>,the maximum number of records to process
10340,apps,Accounts,export,acctExport,relevant,N,,false,false,true,true,gocmd,switch,<boolean>,for log and accounting export only&#44; export only logs relevant to one of the given export addresses
10342,apps,Accounts,export,acctExport,emitter,m,,false,false,true,true,gocmd,flag,list<addr>,for the --logs option only&#44; filter logs to show only those logs emitted by the given address(es)
10344,apps,Accounts,export,acctExport,topic,B,,false,false,true,true,gocmd,flag,list<topic>,for the --logs option only&#44; filter logs to show only those with this topic(s)
10342,apps,Accounts,export,acctExport,reverted,V,,false,false,true,true,gocmd,switch,<boolean>,export only transactions that were reverted
10346,apps,Accounts,export,acctExport,asset,P,,false,false,true,true,gocmd,flag,list<addr>,for the accounting options only&#44; export statements only for this asset
10346,apps,Accounts,export,acctExport,flow,f,,false,false,true,true,gocmd,flag,enum[in|out|zero],for the accounting options only&#44; export statements with incoming&#44; outgoing&#44; or zero value
10332,apps,Accounts,export,acctExport,factory,y,false,false,false,true,true,gocmd,switch,<boolean>,for --traces only&#44; report addresses created by (or self-destructed by) the given address(es)
10080,apps,Accounts,export,acctExport,unripe,u,,false,false,true,true,gocmd,switch,<boolean>,export transactions labeled upripe (i.e. less than 28 blocks old)
10092,apps,Accounts,export,acctExport,load,O,,false,false,false,false,gocmd,flag,<string>,a comma separated list of dynamic traversers to load
10093,apps,Accounts,export,acctExport,reversed,E,,false,false,true,true,gocmd,switch,<boolean>,produce results in reverse chronological order
10097,apps,Accounts,export,acctExport,no_zero,z,,false,false,true,true,gocmd,switch,<boolean>,for the --count option only&#44; suppress the display of zero appearance accounts
10440,apps,Accounts,export,acctExport,first_block,F,0,false,false,true,true,gocmd,flag,<blknum>,first block to process (inclusive)
10450,apps,Accounts,export,acctExport,last_block,L,NOPOS,false,false,true,true,gocmd,flag,<blknum>,last block to process (inclusive)
10460,apps,Accounts,export,acctExport,,,,false,false,true,true,--,description,,Export full details of transactions for one or more addresses.
10470,apps,Accounts,export,acctExport,n1,,,false,false,false,false,--,note,,An `address` must be either an ENS name or start with '0x' and be forty-two characters long.
10470,apps,Accounts,export,acctExport,n2,,,false,false,false,false,--,note,,Articulating the export means turn the EVM's byte data into human-readable text (if possible).
10472,apps,Accounts,export,acctExport,n3,,,false,false,false,false,--,note,,For the --logs option&#44; you may optionally specify one or more --emitter&#44; one or more --topics&#44; or both.
10474,apps,Accounts,export,acctExport,n4,,,false,false,false,false,--,note,,The --logs option is significantly faster if you provide an --emitter or a --topic.
10476,apps,Accounts,export,acctExport,n5,,,false,false,false,false,--,note,,Neighbors include every address that appears in any transaction in which the export address also appears.
10478,apps,Accounts,export,acctExport,n6,,,false,false,false,false,--,note,,If present&#44; --first_/--last_block are applied&#44; followed by user-supplied filters such as asset or topic&#44; followed by --first_/--max_record if present.
10479,apps,Accounts,export,acctExport,n7,,,false,false,false,false,--,note,,The --first_record and --max_record options are zero-based (as are the block options).
10479,apps,Accounts,export,acctExport,n8,,,false,false,false,false,--,note,,The _block and _record filters are ignored when used with the --count option.
10480,apps,Accounts,export,acctExport,n9,,,false,false,false,false,--,note,,If the --reversed option is present&#44; the appearance list is reversed prior to all processing (including filtering).
10482,apps,Accounts,export,acctExport,n10,,,false,false,false,false,--,note,,The --decache option will remove all cache items (blocks&#44; transactions&#44; traces&#44; etc.) for the given address(es).
10484,apps,Accounts,export,acctExport,n11,,,false,false,false,false,--,note,,The --withdrawals option is only available on certain chains. It is ignored otherwise.

11200,apps,Accounts,monitors,acctExport,addrs,,,false,false,true,true,gocmd,positional,list<addr>,one or more addresses (0x...) to process
11087,apps,Accounts,monitors,acctExport,delete,,,false,false,true,true,gocmd,switch,<boolean>,delete a monitor&#44; but do not remove it
11093,apps,Accounts,monitors,acctExport,undelete,,,false,false,true,true,gocmd,switch,<boolean>,undelete a previously deleted monitor
11091,apps,Accounts,monitors,acctExport,remove,,,false,false,true,true,gocmd,switch,<boolean>,remove a previously deleted monitor
11085,apps,Accounts,monitors,acctExport,clean,C,,false,false,true,true,gocmd,switch,<boolean>,clean (i.e. remove duplicate appearances) from monitors
11080,apps,Accounts,monitors,acctExport,list,l,,false,false,true,true,gocmd,switch,<boolean>,list monitors in the cache (--verbose for more detail)
11284,apps,Accounts,monitors,acctExport,watch,w,,false,false,true,true,gocmd,switch,<boolean>,continually scan for new blocks and extract data as per the command file
11288,apps,Accounts,monitors,acctExport,watchlist,a,,false,false,true,true,gocmd,flag,<string>,available with --watch option only&#44; a file containing the addresses to watch
11292,apps,Accounts,monitors,acctExport,commands,c,,false,false,true,true,gocmd,flag,<string>,available with --watch option only&#44; the file containing the list of commands to apply to each watched address
11294,apps,Accounts,monitors,acctExport,batch_size,b,8,false,false,true,true,gocmd,flag,<uint64>,available with --watch option only&#44; the number of monitors to process in each batch
11296,apps,Accounts,monitors,acctExport,run_count,u,0,false,false,false,false,gocmd,flag,<uint64>,available with --watch option only&#44; run the monitor this many times&#44; then quit
11298,apps,Accounts,monitors,acctExport,sleep,s,14,false,false,true,true,gocmd,flag,<double>,available with --watch option only&#44; the number of seconds to sleep between runs
11094,apps,Accounts,monitors,acctExport,,,,false,false,true,true,--,description,,Add&#44; remove&#44; clean&#44; and list address monitors.
11095,apps,Accounts,monitors,acctExport,n1,,,false,false,false,false,--,note,,An `address` must be either an ENS name or start with '0x' and be forty-two characters long.
11096,apps,Accounts,monitors,acctExport,n2,,,false,false,false,false,--,note,,If no address is presented to the --clean command&#44; all existing monitors will be cleaned.
11096,apps,Accounts,monitors,acctExport,n3,,,false,false,false,false,--,note,,The --watch option requires two additional parameters to be specified: `--watchlist` and `--commands`.
11097,apps,Accounts,monitors,acctExport,n4,,,false,false,false,false,--,note,,Addresses provided on the command line are ignored in `--watch` mode.
11098,apps,Accounts,monitors,acctExport,n5,,,false,false,false,false,--,note,,Providing the value `existing` to the `--watchlist` monitors all existing monitor files (see --list).

12005,apps,Accounts,list,acctExport,addrs,,,true,false,true,true,gocmd,positional,list<addr>,one or more addresses (0x...) to list
