# Do not edit this file. It will be replaced during upgrade. If you want to add named accounts, add them to names_custom.txt
group	address	name	description	symbol	source	logo	is_contract	is_custom	is_shared
30-Contracts	0x00cf36853aa4024fb5bf5cc377dfd85844b411a0	dAppNode Donations (Giveth)			Giveth website		true	false	true
30-Contracts	0x06012c8cf97bead5deae237070f9587f8e7a266d	CryptoKitties	The famous first ERC721 token	CK	Etherscan.io		true	false	true
30-Contracts	0x0abdace70d3790235af448c88547603b945604ea	district0x	A network of decentralized markets and communities. Create, operate, and govern. Powered by Ethereum, Aragon, and IPFS.	DNT	Etherscan.io	district0x.png	true	false	true
30-Contracts	0x1820a4b7618bde71dce8cdc73aab6c95905fad24	1820 Registry	Registration smart contract as described in this EIP: https://eips.ethereum.org/EIPS/eip-1820	REG	QuickBlocks		true	false	true
30-Contracts	0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c	Bancor	Bancor Protocol is a standard for a new generation of cryptocurrencies called Smart Tokens	BNT	Etherscan.io	bancor.png	true	false	true
30-Contracts	0x1fd169A4f5c59ACf79d0Fd5d91D1201EF1Bce9f1	Moloch DAO			TrueBlocks.io		true	false	true
30-Contracts	0x211a94468Ba1e379236B45cA42Dc63eE93139c7E	Moloch Guild Bank			TrueBlocks.io		true	false	true
30-Contracts	0x2157a7894439191e520825fe9399ab8655e0f708	Uniswap Exchange Template	Uniswap exchange template		Uniswap website		true	false	true
30-Contracts	0x304a554a310c7e546dfe434669c62820b7d83490	DarkDAO			TrueBlocks.io		true	false	true
30-Contracts	0x37f25bd26848cf02614c29338dd71a4d03b62218	Camp Decentral Donations (Giveth)			Giveth website		true	false	true
30-Contracts	0x52c782a023847342274e8e7f12360b820ed8c777	Tennagraph (Giveth) No Vote on ProgPow			Giveth website		true	false	true
30-Contracts	0x5adf43dd006c6c36506e2b2dfa352e60002d22dc	Giveth Donations Vault		GHT	Giveth website		true	false	true
30-Contracts	0x6090a6e47849629b7245dfa1ca21d94cd15878ef	ENS Related		ENS	TrueBlocks.io		true	false	true
30-Contracts	0x713b73c3994442b533e6a083ec968e40606810ec	Eth Early Adoption Reg	An early, known-dead address useful for testing	EEAR	quickBlocks.io		true	false	true
30-Contracts	0x7b3e509c78faee4c589d3d07ea0c8929aa2835e3	Moloch Paying Proxy			TrueBlocks.io		true	false	true
30-Contracts	0x807640a13483f8ac783c557fcdf27be11ea4ac7a	The Dao Extra Balance Account			TrueBlocks.io		true	false	true
30-Contracts	0x8942595a2dc5181df0465af0d7be08c8f23c93af	Gnosis Safe for Moloch			TrueBlocks.io		true	false	true
30-Contracts	0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359	Dai Stablecoin v1.0	No description	DAI	Etherscan.io	dai_stablecoin.png	true	false	true
30-Contracts	0x8f951903c9360345b4e1b536c7f5ae8f88a64e79	Giveth Donations			Giveth website		true	false	true
30-Contracts	0x914d1b8b43e92723e64fd0a06f5bdb8dd9b10c79	DarkDAOextraBalance			TrueBlocks.io		true	false	true
30-Contracts	0x960b236a07cf122663c4303350609a66a7b288c0	Aragon	Create and manage unstoppable organizations. Aragon lets you manage entire organizations using the blockchain. This makes Aragon organizations more efficient than their traditional counterparties.	ANT	Etherscan.io	aragon_28.png	true	false	true
30-Contracts	0x9e6316f44baeeee5d41a1070516cc5fa47baf227	ShapeShift 2			TrueBlocks.io		true	false	true
30-Contracts	0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2	Maker	Maker is a Decentralized Autonomous Organization that creates and insures the dai stablecoin on the Ethereum blockchain	MKR	Etherscan.io	mkr-etherscan-35.png	true	false	true
