address,balance
0xfffffffffffffffffffffffffffffffffffffffe,0
0x0000000000000000000000000000000000001000,0
0x0000000000000000000000000000000000001001,0
0x0000000000000000000000000000000000001002,0
0x0000000000000000000000000000000000001003,0
0x0000000000000000000000000000000000001004,176405560900000000000000000
0x0000000000000000000000000000000000001005,0
0x0000000000000000000000000000000000001006,0
0x0000000000000000000000000000000000001007,0
0x0000000000000000000000000000000000001008,0
0x0000000000000000000000000000000000002000,0
0xb005741528b86f5952469d80a8614591e3c5b632,500000000000000000000
0x446aa6e0dc65690403df3f127750da1322941f3e,500000000000000000000
