DATE	STARTBLOCK	NERRORS
7/30/15	1	0
7/31/15	6912	0
8/1/15	13775	0
8/2/15	19068	0
8/3/15	24426	0
8/4/15	29706	0
8/5/15	35074	0
8/6/15	40309	0
8/7/15	45425	15
8/8/15	50614	537
8/9/15	55870	17
8/10/15	60993	10
8/11/15	66248	9
8/12/15	71528	27
8/13/15	76652	9
8/14/15	81938	9
8/15/15	87747	15
8/16/15	93129	2
8/17/15	98261	0
8/18/15	103608	1
8/19/15	108556	31
8/20/15	113748	2
8/21/15	117772	13
8/22/15	122860	5
8/23/15	128131	3
8/24/15	133144	0
8/25/15	138328	17
8/26/15	143425	3
8/27/15	148428	40
8/28/15	153136	1
8/29/15	157789	1
8/30/15	162118	1
8/31/15	166273	2
9/1/15	170395	12
9/2/15	174333	6
9/3/15	177910	11
9/4/15	181293	18
9/5/15	185736	10
9/6/15	190657	5
9/7/15	195635	6
9/8/15	200469	11
9/9/15	205392	5
9/10/15	210427	10
9/11/15	215430	4
9/12/15	220571	14
9/13/15	225597	13
9/14/15	230568	2
9/15/15	235419	3
9/16/15	240261	6
9/17/15	245217	3
9/18/15	250025	20
9/19/15	254914	6
9/20/15	259992	22
9/21/15	265297	2
9/22/15	270372	5
9/23/15	275423	28
9/24/15	280588	6
9/25/15	285609	5
9/26/15	290735	3
9/27/15	295665	13
9/28/15	300438	8
9/29/15	305176	1
9/30/15	309816	4
10/1/15	314573	2
10/2/15	319783	11
10/3/15	324926	0
10/4/15	330003	0
10/5/15	334889	39
10/6/15	339898	3
10/7/15	344704	8
10/8/15	349708	0
10/9/15	354860	2
10/10/15	359765	0
10/11/15	364661	0
10/12/15	369734	22
10/13/15	374882	3
10/14/15	379990	12
10/15/15	384924	27
10/16/15	389850	26
10/17/15	394733	3
10/18/15	399789	19
10/19/15	404734	8
10/20/15	409709	3
10/21/15	414699	8
10/22/15	419689	19
10/23/15	424524	50
10/24/15	429787	23
10/25/15	434958	17
10/26/15	440054	38
10/27/15	444962	38
10/28/15	450182	6
10/29/15	455149	45
10/30/15	460307	37
10/31/15	465539	45
11/1/15	470668	22
11/2/15	475826	15
11/3/15	480850	6
11/4/15	485935	4
11/5/15	491060	10
11/6/15	496163	8
11/7/15	501305	21
11/8/15	506227	20
11/9/15	511248	3
11/10/15	516272	9
