DATE	#TRACES_CREATE
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	34
8/8/15	74
8/9/15	31
8/10/15	38
8/11/15	18
8/12/15	43
8/13/15	36
8/14/15	31
8/15/15	20
8/16/15	18
8/17/15	9
8/18/15	9
8/19/15	22
8/20/15	37
8/21/15	31
8/22/15	17
8/23/15	64
8/24/15	9
8/25/15	38
8/26/15	44
8/27/15	22
8/28/15	36
8/29/15	30
8/30/15	25
8/31/15	31
9/1/15	39
9/2/15	36
9/3/15	39
9/4/15	41
9/5/15	48
9/6/15	32
9/7/15	79
9/8/15	18
9/9/15	27
9/10/15	13
9/11/15	21
9/12/15	41
9/13/15	53
9/14/15	36
9/15/15	21
9/16/15	26
9/17/15	28
9/18/15	69
9/19/15	51
9/20/15	62
9/21/15	61
9/22/15	48
9/23/15	35
9/24/15	48
9/25/15	50
9/26/15	4
9/27/15	28
9/28/15	21
9/29/15	23
9/30/15	40
10/1/15	19
10/2/15	10
10/3/15	11
10/4/15	5
10/5/15	53
10/6/15	18
10/7/15	21
10/8/15	17
10/9/15	12
10/10/15	10
10/11/15	12
10/12/15	66
10/13/15	53
10/14/15	58
10/15/15	75
10/16/15	47
10/17/15	59
10/18/15	39
10/19/15	54
10/20/15	46
10/21/15	23
10/22/15	74
10/23/15	122
10/24/15	127
10/25/15	153
10/26/15	42
10/27/15	97
10/28/15	48
10/29/15	43
10/30/15	99
10/31/15	58
11/1/15	25
11/2/15	36
11/3/15	45
11/4/15	33
11/5/15	58
11/6/15	54
11/7/15	145
11/8/15	82
11/9/15	46
11/10/15	92
11/11/15	44
11/12/15	34
11/13/15	61
11/14/15	24
11/15/15	32
11/16/15	35
11/17/15	30
11/18/15	43
11/19/15	42
11/20/15	20
11/21/15	42
11/22/15	30
11/23/15	55
11/24/15	45
11/25/15	24
11/26/15	16
11/27/15	11
11/28/15	18
11/29/15	23
11/30/15	20
12/1/15	43
12/2/15	37
12/3/15	34
12/4/15	78
12/5/15	60
12/6/15	159
12/7/15	51
12/8/15	40
12/9/15	40
12/10/15	56
12/11/15	54
12/12/15	35
12/13/15	93
12/14/15	72
12/15/15	36
12/16/15	33
12/17/15	105
12/18/15	112
12/19/15	10
12/20/15	27
12/21/15	61
12/22/15	23
12/23/15	30
12/24/15	15
12/25/15	26
12/26/15	41
12/27/15	21
12/28/15	57
12/29/15	77
12/30/15	56
12/31/15	53
1/1/16	37
1/2/16	28
1/3/16	17
1/4/16	57
1/5/16	57
1/6/16	78
1/7/16	56
1/8/16	39
1/9/16	112
1/10/16	75
1/11/16	58
1/12/16	51
1/13/16	41
1/14/16	47
1/15/16	58
1/16/16	53
1/17/16	50
1/18/16	44
1/19/16	47
1/20/16	71
1/21/16	109
1/22/16	106
1/23/16	89
1/24/16	94
1/25/16	83
1/26/16	73
1/27/16	109
1/28/16	83
1/29/16	83
1/30/16	77
1/31/16	98
2/1/16	90
2/2/16	59
2/3/16	67
2/4/16	108
2/5/16	119
2/6/16	91
2/7/16	45
2/8/16	133
2/9/16	75
2/10/16	66
2/11/16	376
2/12/16	109
2/13/16	91
2/14/16	63
2/15/16	73
2/16/16	102
2/17/16	99
2/18/16	94
2/19/16	635
2/20/16	60
2/21/16	153
2/22/16	105
2/23/16	140
2/24/16	75
2/25/16	112
2/26/16	705
2/27/16	88
2/28/16	119
2/29/16	222
3/1/16	125
3/2/16	87
3/3/16	97
3/4/16	138
3/5/16	170
3/6/16	123
3/7/16	103
3/8/16	166
3/9/16	193
3/10/16	98
3/11/16	92
3/12/16	108
3/13/16	123
3/14/16	183
3/15/16	165
3/16/16	153
3/17/16	98
3/18/16	119
3/19/16	79
3/20/16	156
3/21/16	196
3/22/16	129
3/23/16	236
3/24/16	255
3/25/16	110
3/26/16	121
3/27/16	92
3/28/16	128
3/29/16	217
3/30/16	645
3/31/16	877
4/1/16	138
4/2/16	216
4/3/16	122
4/4/16	125
4/5/16	144
4/6/16	114
4/7/16	154
4/8/16	118
4/9/16	80
4/10/16	89
4/11/16	113
4/12/16	94
4/13/16	79
4/14/16	78
4/15/16	79
4/16/16	64
4/17/16	59
4/18/16	71
4/19/16	57
4/20/16	114
4/21/16	1015
4/22/16	105
4/23/16	94
4/24/16	94
4/25/16	123
4/26/16	101
4/27/16	87
4/28/16	107
4/29/16	92
4/30/16	143
5/1/16	1150
5/2/16	108
5/3/16	133
5/4/16	170
5/5/16	166
5/6/16	200
5/7/16	133
5/8/16	116
5/9/16	155
5/10/16	132
5/11/16	345
5/12/16	244
5/13/16	417
5/14/16	124
5/15/16	103
5/16/16	297
5/17/16	310
5/18/16	308
5/19/16	221
5/20/16	324
5/21/16	1911
5/22/16	498
5/23/16	180
5/24/16	146
5/25/16	194
5/26/16	335
5/27/16	496
5/28/16	1957
5/29/16	829
5/30/16	309
5/31/16	285
6/1/16	370
6/2/16	288
6/3/16	185
6/4/16	188
6/5/16	244
6/6/16	501
6/7/16	284
6/8/16	384
6/9/16	589
6/10/16	870
6/11/16	964
6/12/16	915
6/13/16	2298
6/14/16	1125
6/15/16	439
6/16/16	2550
6/17/16	6906
6/18/16	10331
6/19/16	3060
6/20/16	3077
6/21/16	1754
6/22/16	2613
6/23/16	1469
6/24/16	1847
6/25/16	806
6/26/16	926
6/27/16	968
6/28/16	1141
6/29/16	1074
6/30/16	512
7/1/16	1325
7/2/16	510
7/3/16	1187
7/4/16	738
7/5/16	1257
7/6/16	859
7/7/16	783
7/8/16	941
7/9/16	1955
7/10/16	1062
7/11/16	436
7/12/16	1413
7/13/16	754
7/14/16	976
7/15/16	1352
7/16/16	628
7/17/16	285
7/18/16	433
7/19/16	859
7/20/16	2793
7/21/16	881
7/22/16	1478
7/23/16	1043
7/24/16	239
7/25/16	818
7/26/16	802
7/27/16	1600
7/28/16	602
7/29/16	431
7/30/16	231
7/31/16	203
8/1/16	285
8/2/16	333
8/3/16	347
8/4/16	293
8/5/16	269
8/6/16	151
8/7/16	196
8/8/16	578
8/9/16	456
8/10/16	730
8/11/16	385
8/12/16	482
8/13/16	265
8/14/16	79
8/15/16	129
8/16/16	162
8/17/16	200
8/18/16	179
8/19/16	116
8/20/16	126
8/21/16	322
8/22/16	196
8/23/16	628
8/24/16	180
8/25/16	166
8/26/16	91
8/27/16	80
8/28/16	49
8/29/16	102
8/30/16	148
8/31/16	191
9/1/16	376
9/2/16	259
9/3/16	127
9/4/16	262
9/5/16	317
9/6/16	276
9/7/16	189
9/8/16	170
9/9/16	455
9/10/16	311
9/11/16	88
9/12/16	884
9/13/16	134
9/14/16	250
9/15/16	193
9/16/16	251
9/17/16	86
9/18/16	186
9/19/16	56
9/20/16	166
9/21/16	294
9/22/16	112
9/23/16	38
9/24/16	150
9/25/16	116
9/26/16	90
9/27/16	124
9/28/16	155
9/29/16	512
9/30/16	295
10/1/16	79
10/2/16	225
10/3/16	657
10/4/16	22601
10/5/16	876
10/6/16	949
10/7/16	220
10/8/16	604
10/9/16	723
10/10/16	1234
10/11/16	4112
10/12/16	6954
10/13/16	14793
10/14/16	11053
10/15/16	2226
10/16/16	3653
10/17/16	3359
10/18/16	3168
10/19/16	285
10/20/16	112
10/21/16	47
10/22/16	268
10/23/16	58
10/24/16	125
10/25/16	1069
10/26/16	368
10/27/16	209
10/28/16	451
10/29/16	74
10/30/16	195
10/31/16	154
11/1/16	528
11/2/16	97
11/3/16	80
11/4/16	68
11/5/16	91
11/6/16	94
11/7/16	75
11/8/16	154
11/9/16	180
11/10/16	454
11/11/16	154
11/12/16	107
11/13/16	165
11/14/16	315
11/15/16	200
11/16/16	300
11/17/16	116
11/18/16	229
11/19/16	78
11/20/16	234
11/21/16	578
11/22/16	120
11/23/16	114
11/24/16	537
11/25/16	6892
11/26/16	1555
11/27/16	1086
11/28/16	116
11/29/16	158
11/30/16	137
12/1/16	162
12/2/16	684
12/3/16	2356
12/4/16	2550
12/5/16	3088
12/6/16	428
12/7/16	224
12/8/16	161
12/9/16	293
12/10/16	1316
12/11/16	380
12/12/16	211
12/13/16	181
12/14/16	152
12/15/16	104
12/16/16	115
12/17/16	855
12/18/16	188
12/19/16	580
12/20/16	241
12/21/16	182
12/22/16	118
12/23/16	98
12/24/16	99
12/25/16	64
12/26/16	110
12/27/16	276
12/28/16	175
12/29/16	346
12/30/16	271
12/31/16	454
1/1/17	183
1/2/17	243
1/3/17	170
1/4/17	340
1/5/17	207
1/6/17	383
1/7/17	299
1/8/17	235
1/9/17	283
1/10/17	219
1/11/17	221
1/12/17	771
1/13/17	1056
1/14/17	808
1/15/17	252
1/16/17	97
1/17/17	220
1/18/17	325
1/19/17	185
1/20/17	456
1/21/17	108
1/22/17	111
1/23/17	343
1/24/17	197
1/25/17	193
1/26/17	518
1/27/17	271
1/28/17	473
1/29/17	164
1/30/17	525
1/31/17	102
2/1/17	328
2/2/17	235
2/3/17	183
2/4/17	329
2/5/17	159
2/6/17	147
2/7/17	384
2/8/17	703
2/9/17	163
2/10/17	172
2/11/17	259
2/12/17	535
2/13/17	263
2/14/17	273
2/15/17	338
2/16/17	172
2/17/17	240
2/18/17	970
2/19/17	244
2/20/17	293
2/21/17	1017
2/22/17	480
2/23/17	342
2/24/17	226
2/25/17	115
2/26/17	143
2/27/17	233
2/28/17	212
3/1/17	1214
3/2/17	406
3/3/17	517
3/4/17	115
3/5/17	581
3/6/17	119
3/7/17	107
3/8/17	159
3/9/17	216
3/10/17	1067
3/11/17	156
3/12/17	165
3/13/17	520
3/14/17	1020
3/15/17	1087
3/16/17	1500
3/17/17	429
3/18/17	242
3/19/17	235
3/20/17	406
3/21/17	476
3/22/17	697
3/23/17	547
3/24/17	1035
3/25/17	263
3/26/17	275
3/27/17	3123
3/28/17	530
3/29/17	381
3/30/17	833
3/31/17	834
4/1/17	623
4/2/17	556
4/3/17	885
4/4/17	1007
4/5/17	1576
4/6/17	1087
4/7/17	931
4/8/17	1004
4/9/17	709
4/10/17	694
4/11/17	319
4/12/17	3298
4/13/17	246
4/14/17	769
4/15/17	423
4/16/17	310
4/17/17	720
4/18/17	1190
4/19/17	1027
4/20/17	1674
4/21/17	5040
4/22/17	2034
4/23/17	607
4/24/17	1737
4/25/17	1050
4/26/17	2746
4/27/17	3698
4/28/17	1181
4/29/17	813
4/30/17	1235
5/1/17	2760
5/2/17	3270
5/3/17	654
5/4/17	2464
5/5/17	1165
5/6/17	3296
5/7/17	4735
5/8/17	2217
5/9/17	4745
5/10/17	5660
5/11/17	3949
5/12/17	3909
5/13/17	3804
5/14/17	3792
5/15/17	5133
5/16/17	6185
5/17/17	5181
5/18/17	5807
5/19/17	6718
5/20/17	7094
5/21/17	6085
5/22/17	7213
5/23/17	12479
5/24/17	14025
5/25/17	9949
5/26/17	8769
5/27/17	7673
5/28/17	8163
5/29/17	7972
5/30/17	16242
5/31/17	7848
6/1/17	18420
6/2/17	14999
6/3/17	9137
6/4/17	11326
6/5/17	7724
6/6/17	10734
