DATE	ENDBLOCK
7/30/15	6911
7/31/15	13774
8/1/15	19067
8/2/15	24425
8/3/15	29705
8/4/15	35073
8/5/15	40308
8/6/15	45424
8/7/15	50613
8/8/15	55869
8/9/15	60992
8/10/15	66247
8/11/15	71527
8/12/15	76651
8/13/15	81937
8/14/15	87746
8/15/15	93128
8/16/15	98260
8/17/15	103607
8/18/15	108555
8/19/15	113747
8/20/15	117771
8/21/15	122859
8/22/15	128130
8/23/15	133143
8/24/15	138327
8/25/15	143424
8/26/15	148427
8/27/15	153135
8/28/15	157788
8/29/15	162117
8/30/15	166272
8/31/15	170394
9/1/15	174332
9/2/15	177909
9/3/15	181292
9/4/15	185735
9/5/15	190656
9/6/15	195634
9/7/15	200468
9/8/15	205391
9/9/15	210426
9/10/15	215429
9/11/15	220570
9/12/15	225596
9/13/15	230567
9/14/15	235418
9/15/15	240260
9/16/15	245216
9/17/15	250024
9/18/15	254913
9/19/15	259991
9/20/15	265296
9/21/15	270371
9/22/15	275422
9/23/15	280587
9/24/15	285608
9/25/15	290734
9/26/15	295664
9/27/15	300437
9/28/15	305175
9/29/15	309815
9/30/15	314572
10/1/15	319782
10/2/15	324925
10/3/15	330002
10/4/15	334888
10/5/15	339897
10/6/15	344703
10/7/15	349707
10/8/15	354859
10/9/15	359764
10/10/15	364660
10/11/15	369733
10/12/15	374881
10/13/15	379989
10/14/15	384923
10/15/15	389849
10/16/15	394732
10/17/15	399788
10/18/15	404733
10/19/15	409708
10/20/15	414698
10/21/15	419688
10/22/15	424523
10/23/15	429786
10/24/15	434957
10/25/15	440053
10/26/15	444961
10/27/15	450181
10/28/15	455148
10/29/15	460306
10/30/15	465538
10/31/15	470667
11/1/15	475825
11/2/15	480849
11/3/15	485934
11/4/15	491059
11/5/15	496162
11/6/15	501304
11/7/15	506226
11/8/15	511247
11/9/15	516271
11/10/15	521324
11/11/15	526352
11/12/15	531431
11/13/15	536550
11/14/15	541677
11/15/15	546872
11/16/15	551911
11/17/15	557074
11/18/15	562149
11/19/15	567126
11/20/15	571847
11/21/15	576882
11/22/15	581931
11/23/15	587020
11/24/15	592021
11/25/15	596961
11/26/15	601901
11/27/15	607075
11/28/15	612083
11/29/15	617133
11/30/15	622213
12/1/15	627291
12/2/15	632115
12/3/15	637320
12/4/15	642328
12/5/15	647334
12/6/15	652247
12/7/15	657218
12/8/15	662129
12/9/15	667337
12/10/15	672481
12/11/15	677543
12/12/15	682619
12/13/15	687899
12/14/15	692898
12/15/15	697968
12/16/15	702950
12/17/15	708010
12/18/15	713030
12/19/15	718068
12/20/15	723015
12/21/15	727991
12/22/15	733120
12/23/15	738232
12/24/15	743250
12/25/15	748330
12/26/15	753334
12/27/15	758352
12/28/15	763433
12/29/15	768414
12/30/15	773442
12/31/15	778482
1/1/16	783367
1/2/16	788462
1/3/16	793596
1/4/16	798692
1/5/16	803818
1/6/16	808908
1/7/16	813889
1/8/16	819065
1/9/16	824164
1/10/16	829257
1/11/16	834364
1/12/16	839294
1/13/16	844296
1/14/16	849386
1/15/16	854470
1/16/16	859516
1/17/16	864552
1/18/16	869624
1/19/16	874596
1/20/16	879634
1/21/16	884597
1/22/16	889604
1/23/16	894532
1/24/16	899700
1/25/16	904581
1/26/16	909733
1/27/16	914716
1/28/16	919775
1/29/16	924756
1/30/16	929773
1/31/16	934645
2/1/16	939660
2/2/16	944615
2/3/16	949814
2/4/16	954876
2/5/16	959922
2/6/16	964909
2/7/16	969996
2/8/16	975067
2/9/16	980122
2/10/16	985083
2/11/16	990102
2/12/16	995135
2/13/16	1000228
2/14/16	1005218
2/15/16	1010193
2/16/16	1015218
2/17/16	1020075
2/18/16	1025074
2/19/16	1030107
2/20/16	1035158
2/21/16	1040213
2/22/16	1045316
2/23/16	1050285
2/24/16	1055314
2/25/16	1060442
2/26/16	1065497
2/27/16	1070489
2/28/16	1075518
2/29/16	1080338
3/1/16	1085390
3/2/16	1090476
3/3/16	1095490
3/4/16	1100484
3/5/16	1105622
3/6/16	1110529
3/7/16	1115555
3/8/16	1120572
3/9/16	1125561
3/10/16	1130757
