DATE	#TRACES
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	2103
8/8/15	21165
8/9/15	1504
8/10/15	2888
8/11/15	7034
8/12/15	2197
8/13/15	3145
8/14/15	3230
8/15/15	2709
8/16/15	2477
8/17/15	2582
8/18/15	2603
8/19/15	4337
8/20/15	2374
8/21/15	3972
8/22/15	3665
8/23/15	4226
8/24/15	4520
8/25/15	4611
8/26/15	4270
8/27/15	7021
8/28/15	5226
8/29/15	4314
8/30/15	4712
8/31/15	5380
9/1/15	5260
9/2/15	5435
9/3/15	4874
9/4/15	5678
9/5/15	5601
9/6/15	5545
9/7/15	5769
9/8/15	5655
9/9/15	5689
9/10/15	5471
9/11/15	6657
9/12/15	5698
9/13/15	6197
9/14/15	5704
9/15/15	5501
9/16/15	6289
9/17/15	5603
9/18/15	6017
9/19/15	5271
9/20/15	6532
9/21/15	6367
9/22/15	6913
9/23/15	7441
9/24/15	6246
9/25/15	5977
9/26/15	5946
9/27/15	5957
9/28/15	6195
9/29/15	5772
9/30/15	5989
10/1/15	6638
10/2/15	6233
10/3/15	6243
10/4/15	6814
10/5/15	6471
10/6/15	6702
10/7/15	7372
10/8/15	7150
10/9/15	6914
10/10/15	7252
10/11/15	6332
10/12/15	6689
10/13/15	6990
10/14/15	7052
10/15/15	6906
10/16/15	7011
10/17/15	6715
10/18/15	6707
10/19/15	6707
10/20/15	5981
10/21/15	6451
10/22/15	6854
10/23/15	8370
10/24/15	8496
10/25/15	6355
10/26/15	6888
10/27/15	7294
10/28/15	7622
10/29/15	8447
10/30/15	8192
10/31/15	8339
11/1/15	7474
11/2/15	6809
11/3/15	7530
11/4/15	7120
11/5/15	7664
11/6/15	11677
11/7/15	27943
11/8/15	16100
11/9/15	8075
11/10/15	14435
11/11/15	30141
11/12/15	32080
11/13/15	13334
11/14/15	7613
11/15/15	7240
11/16/15	7649
11/17/15	7381
11/18/15	7439
11/19/15	15982
11/20/15	6481
11/21/15	6913
11/22/15	7232
11/23/15	8388
11/24/15	7197
11/25/15	7218
11/26/15	7333
11/27/15	6733
11/28/15	7012
11/29/15	6908
11/30/15	9032
12/1/15	6876
12/2/15	6545
12/3/15	7057
12/4/15	7066
12/5/15	6955
12/6/15	9549
12/7/15	7277
12/8/15	7014
12/9/15	7097
12/10/15	7689
12/11/15	8477
12/12/15	8415
12/13/15	9115
12/14/15	16356
12/15/15	50353
12/16/15	11931
12/17/15	10627
12/18/15	10734
12/19/15	10844
12/20/15	13559
12/21/15	15828
12/22/15	30124
12/23/15	67590
12/24/15	20668
12/25/15	16250
12/26/15	15844
12/27/15	75662
12/28/15	24274
12/29/15	21277
12/30/15	79730
12/31/15	18066
1/1/16	11991
1/2/16	15036
1/3/16	15349
1/4/16	16198
1/5/16	43281
1/6/16	41511
1/7/16	63187
1/8/16	17406
1/9/16	20702
1/10/16	16657
1/11/16	19037
1/12/16	18057
1/13/16	46698
1/14/16	17587
1/15/16	14990
1/16/16	15496
1/17/16	12753
1/18/16	19072
1/19/16	25638
1/20/16	16365
1/21/16	15342
1/22/16	27903
1/23/16	13722
1/24/16	17649
1/25/16	30374
1/26/16	26845
1/27/16	47294
1/28/16	65902
1/29/16	38755
1/30/16	27997
1/31/16	24533
2/1/16	21615
2/2/16	22872
2/3/16	22200
2/4/16	22395
2/5/16	22989
2/6/16	108443
2/7/16	21239
2/8/16	22263
2/9/16	22097
2/10/16	22994
2/11/16	28398
2/12/16	25802
2/13/16	29228
2/14/16	25241
2/15/16	23362
2/16/16	23110
2/17/16	38119
2/18/16	24734
2/19/16	24003
2/20/16	22938
2/21/16	22227
2/22/16	24412
2/23/16	25040
2/24/16	24484
2/25/16	25809
2/26/16	32313
2/27/16	24478
2/28/16	23377
2/29/16	25307
3/1/16	27135
3/2/16	29127
3/3/16	30315
3/4/16	28597
3/5/16	29844
3/6/16	39260
3/7/16	26680
3/8/16	27543
3/9/16	28252
3/10/16	28059
3/11/16	27534
3/12/16	34823
3/13/16	34526
3/14/16	37490
3/15/16	36551
3/16/16	36636
3/17/16	52215
3/18/16	44758
3/19/16	41464
3/20/16	39471
3/21/16	50753
3/22/16	71855
3/23/16	47965
3/24/16	94229
3/25/16	61950
3/26/16	80032
3/27/16	37587
3/28/16	82237
3/29/16	43470
3/30/16	69595
3/31/16	41481
4/1/16	71090
4/2/16	36600
4/3/16	37126
4/4/16	73379
4/5/16	86891
4/6/16	46415
4/7/16	57612
4/8/16	81468
4/9/16	47017
4/10/16	39714
4/11/16	37101
4/12/16	61474
4/13/16	55557
4/14/16	50580
4/15/16	74201
4/16/16	34821
4/17/16	43999
4/18/16	50244
4/19/16	46329
4/20/16	48362
4/21/16	49016
4/22/16	36388
4/23/16	35457
4/24/16	59416
4/25/16	60123
4/26/16	43399
4/27/16	39274
4/28/16	51872
4/29/16	51306
4/30/16	55549
5/1/16	57208
5/2/16	47113
5/3/16	43694
5/4/16	53553
5/5/16	69712
5/6/16	116388
5/7/16	43530
5/8/16	67258
5/9/16	46905
5/10/16	49672
5/11/16	50011
5/12/16	86031
5/13/16	60708
5/14/16	79284
5/15/16	66861
5/16/16	63106
5/17/16	49706
5/18/16	67247
5/19/16	64878
5/20/16	68606
5/21/16	64174
5/22/16	45325
5/23/16	49713
5/24/16	49862
5/25/16	64623
5/26/16	61415
5/27/16	58653
5/28/16	104381
5/29/16	54813
5/30/16	55777
5/31/16	50432
6/1/16	47594
6/2/16	45173
6/3/16	44865
6/4/16	47270
6/5/16	41870
6/6/16	43746
6/7/16	89926
6/8/16	57562
6/9/16	47845
6/10/16	49116
6/11/16	42133
6/12/16	47247
6/13/16	56541
6/14/16	75362
6/15/16	65497
6/16/16	51278
6/17/16	206320
6/18/16	74315
6/19/16	58237
6/20/16	69261
6/21/16	117299
6/22/16	69353
6/23/16	48384
6/24/16	61662
6/25/16	41481
6/26/16	45519
6/27/16	45839
6/28/16	48811
6/29/16	54401
6/30/16	67153
7/1/16	44620
7/2/16	44825
7/3/16	46504
7/4/16	48040
7/5/16	48908
7/6/16	42664
7/7/16	44587
7/8/16	61271
7/9/16	46226
7/10/16	42849
7/11/16	46527
7/12/16	44906
7/13/16	41241
7/14/16	67044
7/15/16	46406
7/16/16	41490
7/17/16	36823
7/18/16	46821
7/19/16	53618
7/20/16	61617
7/21/16	57753
7/22/16	55855
7/23/16	61066
7/24/16	76369
7/25/16	74066
7/26/16	80545
7/27/16	72557
7/28/16	117666
7/29/16	130838
7/30/16	76609
7/31/16	63595
8/1/16	66080
8/2/16	70484
8/3/16	70924
8/4/16	66149
8/5/16	58295
8/6/16	56472
8/7/16	62836
8/8/16	165879
8/9/16	68041
8/10/16	64186
8/11/16	66010
8/12/16	59842
8/13/16	57118
8/14/16	54686
8/15/16	59557
8/16/16	66754
8/17/16	61755
8/18/16	68754
8/19/16	63450
8/20/16	56553
8/21/16	60155
8/22/16	62986
8/23/16	78902
8/24/16	62389
8/25/16	65013
8/26/16	63598
8/27/16	61085
8/28/16	60075
8/29/16	62177
8/30/16	64675
8/31/16	64303
9/1/16	64064
9/2/16	79507
9/3/16	59445
9/4/16	63234
9/5/16	57346
9/6/16	64797
9/7/16	65414
9/8/16	73526
9/9/16	69165
9/10/16	56899
9/11/16	59196
9/12/16	63565
9/13/16	58378
9/14/16	68987
9/15/16	67042
9/16/16	74340
9/17/16	70734
9/18/16	326243
9/19/16	1682199
9/20/16	76214
9/21/16	64623
9/22/16	308324
9/23/16	137196
9/24/16	132665
9/25/16	65806
9/26/16	7470877
9/27/16	59610
9/28/16	84897
9/29/16	97555
9/30/16	186917
10/1/16	43950523
10/2/16	40861743
10/3/16	10924126
10/4/16	4794617
10/5/16	24923269
10/6/16	1298583
10/7/16	718292
10/8/16	10381097
10/9/16	23396471
10/10/16	11028564
10/11/16	5049298
10/12/16	14855103
10/13/16	10652918
10/14/16	6294124
10/15/16	1441096
10/16/16	2379830
10/17/16	2168574
10/18/16	1796878
10/19/16	50989
10/20/16	57698
10/21/16	82484
10/22/16	55078
10/23/16	49969
10/24/16	70067
10/25/16	64936
10/26/16	61510
10/27/16	61076
10/28/16	58537
10/29/16	53554
10/30/16	50911
10/31/16	59892
11/1/16	65096
11/2/16	56736
11/3/16	56075
11/4/16	43036
11/5/16	48273
11/6/16	45761
11/7/16	56056
11/8/16	59668
11/9/16	65610
11/10/16	56439
11/11/16	58751
11/12/16	55131
11/13/16	62414
11/14/16	59409
11/15/16	62135
11/16/16	58826
11/17/16	55232
11/18/16	58182
11/19/16	52851
11/20/16	57004
11/21/16	59180
11/22/16	165422
11/23/16	2238075
11/24/16	1561636
11/25/16	1749306
11/26/16	2281580
11/27/16	4220323
11/28/16	4387254
11/29/16	3317296
11/30/16	193248
12/1/16	53115
12/2/16	52807
12/3/16	54074
12/4/16	59326
12/5/16	58646
12/6/16	64394
12/7/16	53931
12/8/16	51795
12/9/16	54630
12/10/16	52847
12/11/16	51651
12/12/16	50091
12/13/16	56751
12/14/16	59307
12/15/16	56739
12/16/16	54268
12/17/16	49918
12/18/16	47527
12/19/16	58896
12/20/16	55370
12/21/16	64481
12/22/16	69313
12/23/16	55332
12/24/16	48123
12/25/16	44911
12/26/16	44544
12/27/16	54363
12/28/16	52838
12/29/16	57543
12/30/16	54269
12/31/16	51635
1/1/17	47457
1/2/17	51125
1/3/17	80797
1/4/17	64629
1/5/17	62425
1/6/17	56043
1/7/17	55968
1/8/17	57844
1/9/17	59993
1/10/17	64941
1/11/17	57481
1/12/17	64213
1/13/17	63014
1/14/17	51863
1/15/17	51484
1/16/17	56753
1/17/17	60688
1/18/17	59707
1/19/17	57716
1/20/17	62743
1/21/17	57080
1/22/17	60268
1/23/17	60823
1/24/17	65698
1/25/17	63885
1/26/17	63383
1/27/17	61690
1/28/17	58878
1/29/17	56296
1/30/17	61354
1/31/17	57052
2/1/17	60784
2/2/17	60966
2/3/17	59453
2/4/17	61114
2/5/17	60804
2/6/17	60721
2/7/17	67207
2/8/17	65985
2/9/17	75600
2/10/17	89373
2/11/17	70431
2/12/17	66272
2/13/17	78546
2/14/17	79266
2/15/17	80301
2/16/17	68517
2/17/17	66983
2/18/17	66524
2/19/17	61593
2/20/17	66084
2/21/17	75273
2/22/17	70620
2/23/17	63551
2/24/17	70192
2/25/17	78985
2/26/17	65675
2/27/17	74258
2/28/17	79898
3/1/17	79040
3/2/17	87564
3/3/17	83396
3/4/17	73344
3/5/17	70846
3/6/17	71519
3/7/17	75089
3/8/17	69617
3/9/17	82247
3/10/17	83608
3/11/17	83371
3/12/17	82652
3/13/17	103037
3/14/17	98167
3/15/17	105841
3/16/17	136770
3/17/17	138051
3/18/17	111192
3/19/17	103205
3/20/17	102456
3/21/17	104059
3/22/17	102791
3/23/17	103352
3/24/17	114203
3/25/17	106388
3/26/17	103848
3/27/17	128421
3/28/17	113973
3/29/17	120689
3/30/17	119769
3/31/17	132691
4/1/17	101322
4/2/17	117916
