DATE	#TRACES_SELFDESRUCT
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	0
8/8/15	6
8/9/15	7
8/10/15	12
8/11/15	1
8/12/15	4
8/13/15	3
8/14/15	3
8/15/15	3
8/16/15	6
8/17/15	3
8/18/15	1
8/19/15	2
8/20/15	10
8/21/15	3
8/22/15	4
8/23/15	4
8/24/15	4
8/25/15	4
8/26/15	7
8/27/15	1
8/28/15	3
8/29/15	10
8/30/15	10
8/31/15	6
9/1/15	7
9/2/15	15
9/3/15	14
9/4/15	4
9/5/15	18
9/6/15	3
9/7/15	4
9/8/15	3
9/9/15	3
9/10/15	3
9/11/15	0
9/12/15	12
9/13/15	9
9/14/15	25
9/15/15	12
9/16/15	10
9/17/15	6
9/18/15	1
9/19/15	11
9/20/15	5
9/21/15	15
9/22/15	5
9/23/15	12
9/24/15	2
9/25/15	7
9/26/15	1
9/27/15	5
9/28/15	7
9/29/15	6
9/30/15	18
10/1/15	4
10/2/15	1
10/3/15	3
10/4/15	3
10/5/15	3
10/6/15	2
10/7/15	6
10/8/15	5
10/9/15	1
10/10/15	0
10/11/15	0
10/12/15	13
10/13/15	7
10/14/15	6
10/15/15	16
10/16/15	4
10/17/15	24
10/18/15	15
10/19/15	11
10/20/15	4
10/21/15	2
10/22/15	7
10/23/15	5
10/24/15	0
10/25/15	0
10/26/15	0
10/27/15	1
10/28/15	2
10/29/15	5
10/30/15	2
10/31/15	1
11/1/15	2
11/2/15	1
11/3/15	0
11/4/15	2
11/5/15	4
11/6/15	0
11/7/15	9
11/8/15	1
11/9/15	6
11/10/15	2
11/11/15	0
11/12/15	0
11/13/15	1
11/14/15	1
11/15/15	0
11/16/15	2
11/17/15	2
11/18/15	0
11/19/15	2
11/20/15	0
11/21/15	6
11/22/15	0
11/23/15	0
11/24/15	1
11/25/15	0
11/26/15	1
11/27/15	0
11/28/15	1
11/29/15	1
11/30/15	1
12/1/15	2
12/2/15	0
12/3/15	0
12/4/15	3
12/5/15	5
12/6/15	0
12/7/15	1
12/8/15	3
12/9/15	0
12/10/15	0
12/11/15	0
12/12/15	2
12/13/15	1
12/14/15	1
12/15/15	2
12/16/15	0
12/17/15	1
12/18/15	2
12/19/15	0
12/20/15	1
12/21/15	0
12/22/15	3
12/23/15	1
12/24/15	0
12/25/15	3
12/26/15	1
12/27/15	1
12/28/15	1
12/29/15	1
12/30/15	0
12/31/15	0
1/1/16	0
1/2/16	0
1/3/16	0
1/4/16	3
1/5/16	7
1/6/16	6
1/7/16	0
1/8/16	2
1/9/16	0
1/10/16	0
1/11/16	5
1/12/16	0
1/13/16	1
1/14/16	2
1/15/16	1
1/16/16	0
1/17/16	0
1/18/16	0
1/19/16	1
1/20/16	1
1/21/16	1
1/22/16	2
1/23/16	1
1/24/16	3
1/25/16	0
1/26/16	2
1/27/16	3
1/28/16	1
1/29/16	0
1/30/16	0
1/31/16	2
2/1/16	2
2/2/16	0
2/3/16	0
2/4/16	2
2/5/16	12
2/6/16	16
2/7/16	1
2/8/16	1
2/9/16	4
2/10/16	1
2/11/16	1
2/12/16	5
2/13/16	1
2/14/16	0
2/15/16	1
2/16/16	3
2/17/16	8
2/18/16	2
2/19/16	1
2/20/16	2
2/21/16	1
2/22/16	2
2/23/16	1
2/24/16	6
2/25/16	2
2/26/16	2
2/27/16	1
2/28/16	11
2/29/16	5
3/1/16	1
3/2/16	1
3/3/16	1
3/4/16	6
3/5/16	8
3/6/16	4
3/7/16	5
3/8/16	3
3/9/16	4
3/10/16	2
3/11/16	5
3/12/16	4
3/13/16	4
3/14/16	3
3/15/16	5
3/16/16	1
3/17/16	5
3/18/16	0
3/19/16	0
3/20/16	11
3/21/16	3
3/22/16	2
3/23/16	5
3/24/16	3
3/25/16	3
3/26/16	6
3/27/16	2
3/28/16	6
3/29/16	5
3/30/16	7
3/31/16	32
4/1/16	11
4/2/16	8
4/3/16	15
4/4/16	8
4/5/16	10
4/6/16	0
4/7/16	4
4/8/16	3
4/9/16	7
4/10/16	0
4/11/16	5
4/12/16	4
4/13/16	6
4/14/16	4
4/15/16	3
4/16/16	3
4/17/16	1
4/18/16	4
4/19/16	8
4/20/16	21
4/21/16	4
4/22/16	1
4/23/16	4
4/24/16	0
4/25/16	5
4/26/16	11
4/27/16	11
4/28/16	13
4/29/16	3
4/30/16	0
5/1/16	0
5/2/16	4
5/3/16	4
5/4/16	8
5/5/16	2
5/6/16	1
5/7/16	1
5/8/16	2
5/9/16	11
5/10/16	6
5/11/16	5
5/12/16	2
5/13/16	2
5/14/16	0
5/15/16	3
5/16/16	2
5/17/16	0
5/18/16	2
5/19/16	0
5/20/16	8
5/21/16	0
5/22/16	8
5/23/16	6
5/24/16	2
5/25/16	3
5/26/16	5
5/27/16	6
5/28/16	0
5/29/16	2
5/30/16	5
5/31/16	1
6/1/16	12
6/2/16	1
6/3/16	0
6/4/16	1
6/5/16	3
6/6/16	1
6/7/16	2
6/8/16	1
6/9/16	0
6/10/16	1
6/11/16	1
6/12/16	2
6/13/16	3
6/14/16	0
6/15/16	0
6/16/16	2
6/17/16	4
6/18/16	8
6/19/16	2
6/20/16	2
6/21/16	12
6/22/16	4
6/23/16	1
6/24/16	4
6/25/16	2
6/26/16	5
6/27/16	7
6/28/16	16
6/29/16	10
6/30/16	13
7/1/16	5
7/2/16	1
7/3/16	1
7/4/16	15
7/5/16	5
7/6/16	8
7/7/16	5
7/8/16	0
7/9/16	5
7/10/16	2
7/11/16	9
7/12/16	4
7/13/16	16
7/14/16	4
7/15/16	1
7/16/16	1
7/17/16	2
7/18/16	2
7/19/16	4
7/20/16	5
7/21/16	3
7/22/16	4
7/23/16	3
7/24/16	7
7/25/16	2
7/26/16	1
7/27/16	1
7/28/16	3
7/29/16	1
7/30/16	1
7/31/16	3
8/1/16	4
8/2/16	4
8/3/16	1
8/4/16	8
8/5/16	3
8/6/16	0
8/7/16	0
8/8/16	12
8/9/16	2
8/10/16	6
8/11/16	0
8/12/16	1
8/13/16	0
8/14/16	1
8/15/16	3
8/16/16	4
8/17/16	2
8/18/16	0
8/19/16	6
8/20/16	2
8/21/16	0
8/22/16	2
8/23/16	4
8/24/16	9
8/25/16	3
8/26/16	2
8/27/16	1
8/28/16	1
8/29/16	2
8/30/16	3
8/31/16	0
9/1/16	2
9/2/16	2
9/3/16	0
9/4/16	0
9/5/16	0
9/6/16	0
9/7/16	0
9/8/16	1
9/9/16	0
9/10/16	0
9/11/16	1
9/12/16	2
9/13/16	3
9/14/16	2
9/15/16	2
9/16/16	0
9/17/16	0
9/18/16	0
9/19/16	1
9/20/16	0
9/21/16	2
9/22/16	1
9/23/16	0
9/24/16	0
9/25/16	0
9/26/16	0
9/27/16	0
9/28/16	1
9/29/16	3
9/30/16	3
10/1/16	0
10/2/16	0
10/3/16	1
10/4/16	1088834
10/5/16	4117943
10/6/16	331596
10/7/16	61536
10/8/16	0
10/9/16	0
10/10/16	15003
10/11/16	2346561
10/12/16	7405101
10/13/16	5300640
10/14/16	3115805
10/15/16	699006
10/16/16	1165120
10/17/16	1057920
10/18/16	855362
10/19/16	4
10/20/16	3
10/21/16	0
10/22/16	1
10/23/16	0
10/24/16	0
10/25/16	1
10/26/16	0
10/27/16	0
10/28/16	0
10/29/16	0
10/30/16	0
10/31/16	0
11/1/16	1
11/2/16	1
11/3/16	0
11/4/16	0
11/5/16	0
11/6/16	0
11/7/16	4
11/8/16	0
11/9/16	0
11/10/16	1
11/11/16	1
11/12/16	4
11/13/16	0
11/14/16	10
11/15/16	0
11/16/16	2
11/17/16	0
11/18/16	2
11/19/16	2
11/20/16	4
11/21/16	6
11/22/16	1
11/23/16	1
11/24/16	8
11/25/16	4
11/26/16	2
11/27/16	20
11/28/16	17
11/29/16	42
11/30/16	4
12/1/16	3
12/2/16	1
12/3/16	0
12/4/16	2
12/5/16	1
12/6/16	3
12/7/16	1
12/8/16	0
12/9/16	0
12/10/16	7
12/11/16	1
12/12/16	1
12/13/16	0
12/14/16	1
12/15/16	1
12/16/16	0
12/17/16	0
12/18/16	0
12/19/16	12
12/20/16	44
12/21/16	30
12/22/16	31
12/23/16	0
12/24/16	0
12/25/16	1
12/26/16	2
12/27/16	22
12/28/16	2
12/29/16	3
12/30/16	62
12/31/16	0
1/1/17	0
1/2/17	0
1/3/17	3
1/4/17	1
1/5/17	5
1/6/17	4
1/7/17	0
1/8/17	1
1/9/17	2
1/10/17	3
1/11/17	0
1/12/17	0
1/13/17	1
1/14/17	0
1/15/17	0
1/16/17	0
1/17/17	0
1/18/17	0
1/19/17	1
1/20/17	0
1/21/17	0
1/22/17	4
1/23/17	3
1/24/17	3
1/25/17	1
1/26/17	1
1/27/17	0
1/28/17	0
1/29/17	0
1/30/17	0
1/31/17	0
2/1/17	1
2/2/17	2
2/3/17	0
2/4/17	0
2/5/17	0
2/6/17	2
2/7/17	1
2/8/17	6
2/9/17	5
2/10/17	5
2/11/17	1
2/12/17	0
2/13/17	1
2/14/17	3
2/15/17	4
2/16/17	6
2/17/17	2
2/18/17	0
2/19/17	3
2/20/17	4
2/21/17	2
2/22/17	0
2/23/17	4
2/24/17	1
2/25/17	4
2/26/17	2
2/27/17	1
2/28/17	5
3/1/17	2
3/2/17	2
3/3/17	0
3/4/17	2
3/5/17	0
3/6/17	1
3/7/17	0
3/8/17	1
3/9/17	4
3/10/17	1
3/11/17	1
3/12/17	4
3/13/17	3
3/14/17	2
3/15/17	8
3/16/17	2
3/17/17	2
3/18/17	2
3/19/17	0
3/20/17	1
3/21/17	8
3/22/17	2
3/23/17	2
3/24/17	5
3/25/17	4
3/26/17	3
3/27/17	5
3/28/17	5
3/29/17	2
3/30/17	1
3/31/17	0
4/1/17	0
4/2/17	0
4/3/17	0
4/4/17	0
4/5/17	1
4/6/17	1
4/7/17	1
4/8/17	15
4/9/17	184
4/10/17	0
4/11/17	1
4/12/17	2
4/13/17	2
4/14/17	2
4/15/17	7
4/16/17	2
4/17/17	8
4/18/17	6
4/19/17	0
4/20/17	0
4/21/17	1
4/22/17	7
4/23/17	9
4/24/17	13
4/25/17	5
4/26/17	4
4/27/17	4
4/28/17	8
4/29/17	1
4/30/17	0
5/1/17	31
5/2/17	1
5/3/17	1
5/4/17	2
5/5/17	4
5/6/17	2
5/7/17	139
5/8/17	270
5/9/17	388
5/10/17	506
5/11/17	621
5/12/17	662
5/13/17	538
5/14/17	932
5/15/17	996
5/16/17	1277
5/17/17	1265
5/18/17	1267
5/19/17	1388
5/20/17	1259
5/21/17	1607
5/22/17	1327
5/23/17	1496
5/24/17	1662
5/25/17	1496
5/26/17	1882
5/27/17	1828
5/28/17	2104
5/29/17	1633
5/30/17	1672
5/31/17	1418
6/1/17	1415
6/2/17	2567
6/3/17	1422
6/4/17	1416
6/5/17	1359
6/6/17	1323
6/7/17	1396
6/8/17	1381
6/9/17	1351
6/10/17	1325
6/11/17	1315
6/12/17	1107
