DATE	STARTBLOCK
7/30/15	1
7/31/15	6912
8/1/15	13775
8/2/15	19068
8/3/15	24426
8/4/15	29706
8/5/15	35074
8/6/15	40309
8/7/15	45425
8/8/15	50614
8/9/15	55870
8/10/15	60993
8/11/15	66248
8/12/15	71528
8/13/15	76652
8/14/15	81938
8/15/15	87747
8/16/15	93129
8/17/15	98261
8/18/15	103608
8/19/15	108556
8/20/15	113748
8/21/15	117772
8/22/15	122860
8/23/15	128131
8/24/15	133144
8/25/15	138328
8/26/15	143425
8/27/15	148428
8/28/15	153136
8/29/15	157789
8/30/15	162118
8/31/15	166273
9/1/15	170395
9/2/15	174333
9/3/15	177910
9/4/15	181293
9/5/15	185736
9/6/15	190657
9/7/15	195635
9/8/15	200469
9/9/15	205392
9/10/15	210427
9/11/15	215430
9/12/15	220571
9/13/15	225597
9/14/15	230568
9/15/15	235419
9/16/15	240261
9/17/15	245217
9/18/15	250025
9/19/15	254914
9/20/15	259992
9/21/15	265297
9/22/15	270372
9/23/15	275423
9/24/15	280588
9/25/15	285609
9/26/15	290735
9/27/15	295665
9/28/15	300438
9/29/15	305176
9/30/15	309816
10/1/15	314573
10/2/15	319783
10/3/15	324926
10/4/15	330003
10/5/15	334889
10/6/15	339898
10/7/15	344704
10/8/15	349708
10/9/15	354860
10/10/15	359765
10/11/15	364661
10/12/15	369734
10/13/15	374882
10/14/15	379990
10/15/15	384924
10/16/15	389850
10/17/15	394733
10/18/15	399789
10/19/15	404734
10/20/15	409709
10/21/15	414699
10/22/15	419689
10/23/15	424524
10/24/15	429787
10/25/15	434958
10/26/15	440054
10/27/15	444962
10/28/15	450182
10/29/15	455149
10/30/15	460307
10/31/15	465539
11/1/15	470668
11/2/15	475826
11/3/15	480850
11/4/15	485935
11/5/15	491060
11/6/15	496163
11/7/15	501305
11/8/15	506227
11/9/15	511248
11/10/15	516272
11/11/15	521325
11/12/15	526353
11/13/15	531432
11/14/15	536551
11/15/15	541678
11/16/15	546873
11/17/15	551912
11/18/15	557075
11/19/15	562150
11/20/15	567127
11/21/15	571848
11/22/15	576883
11/23/15	581932
11/24/15	587021
11/25/15	592022
11/26/15	596962
11/27/15	601902
11/28/15	607076
11/29/15	612084
11/30/15	617134
12/1/15	622214
12/2/15	627292
12/3/15	632116
12/4/15	637321
12/5/15	642329
12/6/15	647335
12/7/15	652248
12/8/15	657219
12/9/15	662130
12/10/15	667338
12/11/15	672482
12/12/15	677544
12/13/15	682620
12/14/15	687900
12/15/15	692899
12/16/15	697969
12/17/15	702951
12/18/15	708011
12/19/15	713031
12/20/15	718069
12/21/15	723016
12/22/15	727992
12/23/15	733121
12/24/15	738233
12/25/15	743251
12/26/15	748331
12/27/15	753335
12/28/15	758353
12/29/15	763434
12/30/15	768415
12/31/15	773443
1/1/16	778483
1/2/16	783368
1/3/16	788463
1/4/16	793597
1/5/16	798693
1/6/16	803819
1/7/16	808909
1/8/16	813890
1/9/16	819066
1/10/16	824165
1/11/16	829258
1/12/16	834365
1/13/16	839295
1/14/16	844297
1/15/16	849387
1/16/16	854471
1/17/16	859517
1/18/16	864553
1/19/16	869625
1/20/16	874597
1/21/16	879635
1/22/16	884598
1/23/16	889605
1/24/16	894533
1/25/16	899701
1/26/16	904582
1/27/16	909734
1/28/16	914717
1/29/16	919776
1/30/16	924757
1/31/16	929774
2/1/16	934646
2/2/16	939661
2/3/16	944616
