DATE	#TRACES_ERROR
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	15
8/8/15	537
8/9/15	17
8/10/15	10
8/11/15	9
8/12/15	27
8/13/15	9
8/14/15	9
8/15/15	15
8/16/15	2
8/17/15	0
8/18/15	1
8/19/15	31
8/20/15	2
8/21/15	13
8/22/15	5
8/23/15	3
8/24/15	0
8/25/15	17
8/26/15	3
8/27/15	40
8/28/15	1
8/29/15	1
8/30/15	1
8/31/15	2
9/1/15	12
9/2/15	6
9/3/15	11
9/4/15	18
9/5/15	10
9/6/15	5
9/7/15	6
9/8/15	11
9/9/15	5
9/10/15	10
9/11/15	4
9/12/15	14
9/13/15	23
9/14/15	3
9/15/15	3
9/16/15	6
9/17/15	4
9/18/15	20
9/19/15	6
9/20/15	22
9/21/15	2
9/22/15	5
9/23/15	28
9/24/15	6
9/25/15	5
9/26/15	3
9/27/15	13
9/28/15	8
9/29/15	2
9/30/15	4
10/1/15	2
10/2/15	11
10/3/15	0
10/4/15	0
10/5/15	39
10/6/15	3
10/7/15	8
10/8/15	0
10/9/15	2
10/10/15	0
10/11/15	0
10/12/15	22
10/13/15	3
10/14/15	12
10/15/15	27
10/16/15	26
10/17/15	3
10/18/15	19
10/19/15	8
10/20/15	3
10/21/15	8
10/22/15	19
10/23/15	50
10/24/15	23
10/25/15	17
10/26/15	38
10/27/15	38
10/28/15	6
10/29/15	103
10/30/15	74
10/31/15	75
11/1/15	22
11/2/15	20
11/3/15	7
11/4/15	4
11/5/15	10
11/6/15	9
11/7/15	21
11/8/15	27
11/9/15	3
11/10/15	9
11/11/15	0
11/12/15	167
11/13/15	5
11/14/15	6
11/15/15	7
11/16/15	9
11/17/15	0
11/18/15	10
11/19/15	4
11/20/15	1
11/21/15	4
11/22/15	0
11/23/15	0
11/24/15	3
11/25/15	1
11/26/15	0
11/27/15	0
11/28/15	27
11/29/15	4
11/30/15	29
12/1/15	12
12/2/15	8
12/3/15	25
12/4/15	23
12/5/15	14
12/6/15	23
12/7/15	3
12/8/15	10
12/9/15	3
12/10/15	34
12/11/15	14
12/12/15	5
12/13/15	28
12/14/15	54
12/15/15	740
12/16/15	10
12/17/15	14
12/18/15	15
12/19/15	115
12/20/15	849
12/21/15	4
12/22/15	5
12/23/15	12
12/24/15	2
12/25/15	7
12/26/15	4
12/27/15	4
12/28/15	50
12/29/15	13
12/30/15	96
12/31/15	0
1/1/16	2
1/2/16	0
1/3/16	0
1/4/16	9
1/5/16	17
1/6/16	23
1/7/16	27
1/8/16	3
1/9/16	19
1/10/16	0
1/11/16	5
1/12/16	3
1/13/16	3012
1/14/16	5
1/15/16	7
1/16/16	5
1/17/16	7
1/18/16	2
1/19/16	4
1/20/16	1
1/21/16	8
1/22/16	10
1/23/16	7
1/24/16	5
1/25/16	13
1/26/16	4
1/27/16	679
1/28/16	157
1/29/16	177
1/30/16	18
1/31/16	33
2/1/16	41
2/2/16	34
2/3/16	27
2/4/16	20
2/5/16	28
2/6/16	44
2/7/16	7
2/8/16	37
2/9/16	22
2/10/16	24
2/11/16	30
2/12/16	33
2/13/16	27
2/14/16	27
2/15/16	40
2/16/16	83
2/17/16	76
2/18/16	54
2/19/16	49
2/20/16	69
2/21/16	44
2/22/16	55
2/23/16	424
2/24/16	723
2/25/16	40
2/26/16	56
2/27/16	64
2/28/16	47
2/29/16	51
3/1/16	56
3/2/16	39
3/3/16	50
3/4/16	35
3/5/16	46
3/6/16	42
3/7/16	35
3/8/16	33
3/9/16	30
3/10/16	62
3/11/16	42
3/12/16	129
3/13/16	49
3/14/16	44
3/15/16	75
3/16/16	70
3/17/16	48
3/18/16	52
3/19/16	48
3/20/16	45
3/21/16	44
3/22/16	58
3/23/16	46
3/24/16	67
3/25/16	52
3/26/16	69
3/27/16	51
3/28/16	67
3/29/16	113
3/30/16	299
3/31/16	69
4/1/16	104
4/2/16	55
4/3/16	36
4/4/16	409
4/5/16	100
4/6/16	340
4/7/16	102
4/8/16	51
4/9/16	72
4/10/16	43
4/11/16	50
4/12/16	46
4/13/16	466
4/14/16	42
4/15/16	51
4/16/16	36
4/17/16	41
4/18/16	62
4/19/16	31
4/20/16	58
4/21/16	36
4/22/16	71
4/23/16	36
4/24/16	42
4/25/16	66
4/26/16	291
4/27/16	632
4/28/16	965
4/29/16	1336
4/30/16	1761
5/1/16	1311
5/2/16	527
5/3/16	245
5/4/16	207
5/5/16	3008
5/6/16	1780
5/7/16	260
5/8/16	207
5/9/16	315
5/10/16	360
5/11/16	384
5/12/16	527
5/13/16	655
5/14/16	608
5/15/16	304
5/16/16	298
5/17/16	327
5/18/16	476
5/19/16	749
5/20/16	598
5/21/16	760
5/22/16	754
5/23/16	532
5/24/16	525
5/25/16	1043
5/26/16	536
5/27/16	872
5/28/16	1225
5/29/16	2127
5/30/16	962
5/31/16	686
6/1/16	554
6/2/16	319
6/3/16	505
6/4/16	352
6/5/16	510
6/6/16	326
6/7/16	537
6/8/16	569
6/9/16	400
6/10/16	519
6/11/16	252
6/12/16	327
6/13/16	403
6/14/16	1029
6/15/16	1076
6/16/16	186
6/17/16	796
6/18/16	821
6/19/16	240
6/20/16	265
6/21/16	3114
6/22/16	681
6/23/16	369
6/24/16	301
6/25/16	196
6/26/16	124
6/27/16	222
6/28/16	210
6/29/16	177
6/30/16	159
7/1/16	94
7/2/16	72
7/3/16	216
7/4/16	106
7/5/16	386
7/6/16	151
7/7/16	164
7/8/16	192
7/9/16	387
7/10/16	146
7/11/16	159
7/12/16	88
7/13/16	226
7/14/16	236
7/15/16	112
7/16/16	94
7/17/16	37
7/18/16	126
7/19/16	90
7/20/16	537
7/21/16	320
7/22/16	278
7/23/16	246
7/24/16	444
7/25/16	393
7/26/16	406
7/27/16	465
7/28/16	2602
7/29/16	318
7/30/16	197
7/31/16	175
8/1/16	968
8/2/16	257
8/3/16	554
8/4/16	200
8/5/16	153
8/6/16	102
8/7/16	124
8/8/16	253
8/9/16	248
8/10/16	166
8/11/16	119
8/12/16	115
8/13/16	117
8/14/16	101
8/15/16	156
8/16/16	173
8/17/16	161
8/18/16	371
8/19/16	258
8/20/16	209
8/21/16	192
8/22/16	224
8/23/16	174
8/24/16	143
8/25/16	237
8/26/16	278
8/27/16	218
8/28/16	240
8/29/16	293
8/30/16	418
8/31/16	386
9/1/16	422
9/2/16	786
9/3/16	203
9/4/16	191
9/5/16	223
9/6/16	449
9/7/16	363
9/8/16	356
9/9/16	858
9/10/16	194
9/11/16	291
9/12/16	308
9/13/16	247
9/14/16	231
9/15/16	446
9/16/16	881
9/17/16	852
9/18/16	266857
9/19/16	1563781
9/20/16	150
9/21/16	186
9/22/16	126644
9/23/16	91609
9/24/16	81825
9/25/16	6126
9/26/16	1092
9/27/16	1703
9/28/16	23081
9/29/16	34428
9/30/16	133872
10/1/16	43712309
10/2/16	40469004
10/3/16	1913166
10/4/16	1477944
10/5/16	15916896
10/6/16	508776
10/7/16	317237
10/8/16	10100481
10/9/16	23192032
10/10/16	10835952
10/11/16	280757
10/12/16	94
10/13/16	28
10/14/16	383
10/15/16	9056
10/16/16	324
10/17/16	502
10/18/16	8082
10/19/16	8520
10/20/16	2691
10/21/16	189
10/22/16	106
10/23/16	125
10/24/16	184
10/25/16	252
10/26/16	135
10/27/16	568
10/28/16	148
10/29/16	161
10/30/16	191
10/31/16	191
11/1/16	472
11/2/16	150
11/3/16	185
11/4/16	158
11/5/16	123
11/6/16	135
11/7/16	99
11/8/16	161
11/9/16	311
11/10/16	604
11/11/16	1119
11/12/16	568
11/13/16	630
11/14/16	601
11/15/16	698
11/16/16	598
11/17/16	639
11/18/16	749
11/19/16	621
11/20/16	747
11/21/16	929
11/22/16	1011
11/23/16	510
11/24/16	192
11/25/16	2446
11/26/16	120
11/27/16	81
11/28/16	373
11/29/16	838
11/30/16	831
12/1/16	236
12/2/16	250
12/3/16	817
12/4/16	849
12/5/16	884
12/6/16	923
12/7/16	257
12/8/16	805
12/9/16	882
12/10/16	832
12/11/16	857
12/12/16	327
12/13/16	226
12/14/16	930
12/15/16	919
12/16/16	899
12/17/16	927
12/18/16	952
12/19/16	644
12/20/16	526
12/21/16	1095
12/22/16	1001
12/23/16	1023
12/24/16	938
12/25/16	995
12/26/16	410
12/27/16	1097
12/28/16	1122
12/29/16	1186
12/30/16	1226
12/31/16	437
1/1/17	126
1/2/17	173
1/3/17	645
1/4/17	135
1/5/17	94
1/6/17	118
1/7/17	177
1/8/17	311
1/9/17	347
1/10/17	409
1/11/17	1179
1/12/17	1487
1/13/17	1451
1/14/17	1347
1/15/17	1288
1/16/17	1417
1/17/17	1272
1/18/17	1229
1/19/17	274
1/20/17	391
1/21/17	1266
1/22/17	1402
1/23/17	1304
1/24/17	1415
1/25/17	1055
1/26/17	193
1/27/17	183
1/28/17	139
1/29/17	232
1/30/17	282
1/31/17	298
2/1/17	334
2/2/17	444
2/3/17	742
2/4/17	639
2/5/17	464
2/6/17	711
2/7/17	715
2/8/17	233
2/9/17	190
2/10/17	291
2/11/17	141
2/12/17	164
2/13/17	406
2/14/17	234
2/15/17	636
2/16/17	145
2/17/17	162
2/18/17	116
2/19/17	113
2/20/17	189
2/21/17	255
2/22/17	130
2/23/17	157
2/24/17	163
2/25/17	128
2/26/17	95
2/27/17	270
2/28/17	373
3/1/17	1840
3/2/17	379
3/3/17	160
3/4/17	215
3/5/17	276
3/6/17	212
3/7/17	186
3/8/17	302
3/9/17	262
3/10/17	202
3/11/17	242
3/12/17	214
3/13/17	454
3/14/17	330
3/15/17	276
3/16/17	355
3/17/17	342
3/18/17	144
3/19/17	172
3/20/17	292
3/21/17	330
3/22/17	265
3/23/17	380
3/24/17	268
3/25/17	255
3/26/17	255
3/27/17	874
3/28/17	987
3/29/17	525
3/30/17	594
3/31/17	529
4/1/17	409
4/2/17	803
4/3/17	628
4/4/17	742
4/5/17	548
4/6/17	696
4/7/17	551
4/8/17	504
4/9/17	615
4/10/17	630
4/11/17	657
4/12/17	559
4/13/17	512
4/14/17	515
4/15/17	647
4/16/17	405
4/17/17	439
4/18/17	574
4/19/17	1506
4/20/17	601
4/21/17	1225
4/22/17	641
4/23/17	446
4/24/17	1860
4/25/17	852
4/26/17	772
4/27/17	1184
4/28/17	2371
4/29/17	753
4/30/17	1349
5/1/17	1382
5/2/17	2359
5/3/17	878
5/4/17	1240
5/5/17	1002
5/6/17	707
5/7/17	882
5/8/17	1913
5/9/17	1477
5/10/17	1416
5/11/17	2061
5/12/17	1387
5/13/17	1200
5/14/17	969
5/15/17	2655
5/16/17	1998
5/17/17	5787
5/18/17	2902
5/19/17	3062
5/20/17	1871
5/21/17	2032
5/22/17	2053
5/23/17	4220
5/24/17	3527
5/25/17	2591
5/26/17	3002
5/27/17	2088
5/28/17	2145
5/29/17	1918
5/30/17	4864
5/31/17	13544
6/1/17	4601
6/2/17	14380
6/3/17	4610
6/4/17	5800
6/5/17	4644
