enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  fast, status, apps/cacheStatus, README,          n, @th
on, cmd,  fast, status, apps/cacheStatus, help,            n, @h
on, cmd,  fast, status, apps/cacheStatus, help_long,       n, help

on, both, fast, status, apps/cacheStatus, no_params,       y,
on, both, fast, status, apps/cacheStatus, invalid_param_1, y, junk
on, both, fast, status, apps/cacheStatus, invalid_param_2, y, @l & junk

on, both, fast, status, apps/cacheStatus, mode_scraper,    y, mode_list = index
on, both, fast, status, apps/cacheStatus, index_start,     y, mode_list = index & start = 100
on, both, fast, status, apps/cacheStatus, index_start_bad, y, mode_list = index & start = 1000000 & end = 2500000
on, both, slow, status, apps/cacheStatus, mode_monitors,   y, mode_list = monitors
on, both, slow, status, apps/cacheStatus, mode_names,      y, mode_list = names
on, both, slow, status, apps/cacheStatus, mode_abis,       y, mode_list = abis
on, both, slow, status, apps/cacheStatus, mode_blocks,     y, mode_list = blocks
on, both, slow, status, apps/cacheStatus, mode_txs,        y, mode_list = transactions
on, both, slow, status, apps/cacheStatus, mode_traces,     y, mode_list = traces
on, both, slow, status, apps/cacheStatus, mode_slurps,     y, mode_list = slurps
on, both, slow, status, apps/cacheStatus, mode_prices,     y, mode_list = prices
on, both, slow, status, apps/cacheStatus, mode_some,       y, mode_list = some
on, both, fast, status, apps/cacheStatus, mode_all,        y, mode_list = all
on, both, slow, status, apps/cacheStatus, config_bad,      y, mode_list = config
on, both, slow, status, apps/cacheStatus, three,           y, mode_list = abis slurps monitors

on, both, slow, status, apps/cacheStatus, items_monitors,  y, details & mode_list = monitors
on, both, slow, status, apps/cacheStatus, items_abis,      y, details & mode_list = abis
on, both, slow, status, apps/cacheStatus, items_slurps,    y, details & mode_list = slurps
on, both, slow, status, apps/cacheStatus, items_prices,    y, details & mode_list = prices
on, both, fast, status, apps/cacheStatus, items_some,      y, details & mode_list = some & start = 3000000 & end = 3100000
on, both, fast, status, apps/cacheStatus, items_scrap_mon, y, details & mode_list = index & start = 1000000 & end = 2200000
on, both, fast, status, apps/cacheStatus, items_three,     y, details & mode_list = abis slurps monitors

on, both, fast, status, apps/cacheStatus, config_get,      n, get_config
on, both, fast, status, apps/cacheStatus, config_set,      n, set_config
