enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  fast, quotes, tools/ethQuote, README,            n, @th
on, cmd,  fast, quotes, tools/ethQuote, help,              n, @h
on, cmd,  fast, quotes, tools/ethQuote, help_long,         n, help
on, cmd,  fast, quotes, tools/ethQuote, no_params,         y,
on, both, fast, quotes, tools/ethQuote, invalid_param_1,   y, junk
on, both, fast, quotes, tools/ethQuote, period_invalid,    y, period
on, both, fast, quotes, tools/ethQuote, period_invalid_02, y, period = 12

on, both, fast, quotes, tools/ethQuote, period_00,         n, period = 240 & verbose = 2 & fmt = csv
on, both, slow, quotes, tools/ethQuote, period_01,         y, period = 60 & fmt = json
on, both, slow, quotes, tools/ethQuote, verbose_00,        y, verbose & fmt = json
on, both, slow, quotes, tools/ethQuote, verbose_01,        y, verbose = 1 & fmt = api
on, cmd,  slow, quotes, tools/ethQuote, from_file,         n, file:cmd_file

on, both, slow, quotes, tools/ethQuote, fmt_default,       y, noop
on, both, slow, quotes, tools/ethQuote, fmt_txt,           n, fmt = txt
on, both, slow, quotes, tools/ethQuote, fmt_csv,           n, fmt = csv
on, both, slow, quotes, tools/ethQuote, fmt_api,           y, fmt = api
on, both, slow, quotes, tools/ethQuote, fmt_json,          y, fmt = json
on, both, slow, quotes, tools/ethQuote, fmt_junk,          y, fmt = junk

off, cmd, unkn, quotes, tools/ethQuote, usd_bitcoin,       n, pair:USDT_BTC
off, cmd, unkn, quotes, tools/ethQuote, custom_btc_eth,    n, pair:BTC_ETH
off, cmd, unkn, quotes, tools/ethQuote, custom_usd_ltc,    n, pair:USDT_LTC
