enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  slow, names, tools/getAccounts, README,                           n, @th
on, cmd,  fast, names, tools/getAccounts, help,                             n, @h
on, cmd,  fast, names, tools/getAccounts, help_long,                        n, help
on, both, medi, names, tools/getAccounts, no_params,                        y,

on, both, fast, names, tools/getAccounts, invalid_option,                   y, pink
on, both, fast, names, tools/getAccounts, invalid_param_1,                  y, punk
on, both, fast, names, tools/getAccounts, bad_option,                       y, addr
on, both, fast, names, tools/getAccounts, missing_param_1,                  n, match_case & fmt = txt
on, both, medi, names, tools/getAccounts, missing_param_2,                  y, addr
on, both, medi, names, tools/getAccounts, missing_param_3,                  n, verbose & fmt = txt
on, both, medi, names, tools/getAccounts, missing_param_4,                  n, verbose & fmt = txt

on, both, fast, names, tools/getAccounts, invalid_param_10,                 n, terms = 0xb6 torj & other & Verbose & fmt = txt
on, both, fast, names, tools/getAccounts, invalid_param_2,                  n, terms = torj & pink & fmt = txt
on, both, fast, names, tools/getAccounts, invalid_param_3,                  n, terms = 0xbf4ed7b27f1d666546e30d74d50d173d20bca754 & pink & fmt = txt
on, both, medi, names, tools/getAccounts, invalid_param_4,                  n, terms = torj 0xbf4ed7b27f1d666546e30d74d50d173d20bca754 & pink & fmt = txt
on, both, medi, names, tools/getAccounts, invalid_param_5,                  n, terms = 0xbf4ed7b27f1d666546e30d74d50d173d20bca754 & pink & addr & fmt = txt
on, both, fast, names, tools/getAccounts, invalid_param_6,                  n, other & fmt = txt
on, both, medi, names, tools/getAccounts, invalid_param_7,                  n, terms = 0xb6 torj & other & fmt = txt
on, both, medi, names, tools/getAccounts, invalid_param_8,                  n, terms = 0xb6 torj & verboses & other & fmt = txt
on, both, fast, names, tools/getAccounts, invalid_param_9,                  n, terms = 0xb6 torj & other & VERBOSE & fmt = txt
on, both, medi, names, tools/getAccounts, invalid_search,                   n, terms = 0x1 torj & fmt = txt

on, both, fast, names, tools/getAccounts, owned,                            y, owned
on, both, medi, names, tools/getAccounts, prefund,                          y, prefund
on, both, fast, names, tools/getAccounts, run,                              y, owned & no_header
on, both, medi, names, tools/getAccounts, upgrade_fail,                     y, fmt = json
on, both, fast, names, tools/getAccounts, verbose,                          n, verbose & owned & fmt = txt
on, both, fast, names, tools/getAccounts, list,                             y, fmt = json
on, both, medi, names, tools/getAccounts, long_list,                        n, fmt = txt
on, both, medi, names, tools/getAccounts, all,                              y, named & custom & owned & prefund
on, both, fast, names, tools/getAccounts, all_addrOnly,                     y, named & custom & owned & prefund & addr
on, both, fast, names, tools/getAccounts, named_custom,                     n, named & custom & fmt = csv
on, both, medi, names, tools/getAccounts, named_custom_owned,               n, named & custom & owned & fmt = csv & no_header
on, both, medi, names, tools/getAccounts, named,                            n, named & fmt = txt & no_header
on, both, fast, names, tools/getAccounts, custom,                           n, custom & fmt = txt
on, both, medi, names, tools/getAccounts, addr_name_case_match_both,        y, terms = 0xcb Humaniq & match_case
on, both, medi, names, tools/getAccounts, addr_name_source_match,           n, terms = cbCC Humaniq Ether & fmt = csv & expand
on, both, medi, names, tools/getAccounts, addr_name_verbose_match,          n, terms = 0xb6 torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_no_hex_number,               n, terms = b64 torj & fmt = txt
on, both, medi, names, tools/getAccounts, address_match,                    y, terms = 0x1 & fmt = api
on, both, medi, names, tools/getAccounts, api_mode,                         y, terms = tip & fmt = api
on, both, medi, names, tools/getAccounts, duplicated_option_1,              n, terms = 0xb6 torj & addr & addr & addr & addr & fmt = txt
on, both, medi, names, tools/getAccounts, name_case_match,                  n, terms = \* torj & fmt = json & match_case
on, both, medi, names, tools/getAccounts, name_long_case_match,             n, terms = \* torj & fmt = json & match_case
on, both, medi, names, tools/getAccounts, name_long_show_addr_match,        n, terms = \* torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_source_match,           n, terms = Ether & expand & fmt = txt
on, both, medi, names, tools/getAccounts, name_long_verbose_match,          y, terms = torj & verbose
on, both, medi, names, tools/getAccounts, name_match,                       n, terms = torj & noop & fmt = txt
on, both, medi, names, tools/getAccounts, name_source_match,                y, terms = Ether & expand & verbose & fmt = json
on, both, medi, names, tools/getAccounts, name_verbose_match,               y, terms = torj & verbose
on, both, medi, names, tools/getAccounts, simple_search,                    y, terms = 88897
on, both, medi, names, tools/getAccounts, tip1,                             y, terms = tip
on, both, medi, names, tools/getAccounts, tip2,                             n, terms = tip & addr
on, both, medi, names, tools/getAccounts, addr_case_match,                  n, terms = 0xcb & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_case_no_match,               n, terms = 0xCB & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_case_match,             n, terms = 0xcb & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_case_no_match,          n, terms = 0xCB & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_long_show_addr_match,   n, terms = 0xb6 & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_case_match_addr,   n, terms = 0xcb torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_case_match_both,   n, terms = 0xcb Humaniq & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_case_match_name,   n, terms = 0xCB torj & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_case_no_match,     n, terms = 0xCB torJ & match_case & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_show_addr_match,   n, terms = 0xb6 torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_show_addr_no_match,n, terms = 0x01 torj & addr & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_source_match,      n, terms = Humaniq 1e17 Ether & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_source_no_match,   n, terms = Humaniq 1e17 Ether & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_verbose_match,     n, terms = 0xb6 torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_name_verbose_no_match,  n, terms = 0x01 torj & verbose & fmt = txt
on, both, medi, names, tools/getAccounts, addr_long_show_addr_no_match,     n, terms = 0xCB1 & addr & fmt = txt
