enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  all,  logs, tools/getLogs, preload,             y, blocks = 3657480 & force, getBlock
on, cmd,  all,  logs, tools/getLogs, preload_abi,         y, addrs = 0x51ffc1b089392a5bb65bf24eaf04d07d0e6f88b5, grabABI

on, cmd,  fast, logs, tools/getLogs, README,              y, @th
on, cmd,  fast, logs, tools/getLogs, help,                y, @h
on, cmd,  fast, logs, tools/getLogs, help_long,           y, help

on, both, fast, logs, tools/getLogs, no_input,            y,
on, both, fast, logs, tools/getLogs, bad_hash,            y, transactions = 0x0012
on, both, fast, logs, tools/getLogs, invalid_option_1,    y, oink
on, both, fast, logs, tools/getLogs, invalid_option_2,    y, other
on, both, fast, logs, tools/getLogs, invalid_param_1,     y, transactions = .th
on, both, fast, logs, tools/getLogs, invalid_param_2,     y, transactions = 1233123

on, both, fast, logs, tools/getLogs, bad_hash_msg,        y, transactions = 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 0x0766ec95bf12f9600afc6c33c287f9d2356d85f15f0d7eeeb6647f5d4ddfbc11 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521
on, both, fast, logs, tools/getLogs, bad_hash_msg_raw,    n, transactions = 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 0x0766ec95bf12f9600afc6c33c287f9d2356d85f15f0d7eeeb6647f5d4ddfbc11 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 & raw
on, both, fast, logs, tools/getLogs, bad_blkhash_msg,     y, transactions = 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.1 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.5
on, both, fast, logs, tools/getLogs, bad_blkhash_msg_raw, n, transactions = 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.1 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.5 & raw

on, both, fast, logs, tools/getLogs, default,             y, address = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
on, both, fast, logs, tools/getLogs, block_range,         y, transactions = 1718400-1718420
on, both, fast, logs, tools/getLogs, block_range_addr,    y, transactions = 1718400-1718420 transactions = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413
on, both, fast, logs, tools/getLogs, three_ways,          n, transactions = 0xbed082f2f6fb5f91924df74eb79ac37ea9490e49dda0b29a01db27d171efb424 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.36 3657480.36 1001010.12 0xbed082f2f6fb5f91924df74eb79ac37ea9490e49dda0b29a01db27d171efb422 & fmt = txt & no_header
on, both, fast, logs, tools/getLogs, verbose_blk_idx1,    n, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.36 & fmt = csv
on, both, fast, logs, tools/getLogs, verbose_blk_idx2,    y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.36 & verbose
on, both, fast, logs, tools/getLogs, verbose_blk_idx3,    y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.36 & fmt = json
on, both, fast, logs, tools/getLogs, by_txhash,           y, transactions = 0x6afbe0f0ea3613edd6b84b71260836c03bddce81604f05c81a070cd671d3d765
on, both, fast, logs, tools/getLogs, by_bnun_and_txid,    y, transactions = 4000000.5 & fmt = api
on, both, fast, logs, tools/getLogs, by_bhash_and_txid,   y, transactions = 0xb8a3f7f5cfc1748f91a684f20fe89031202cbadcd15078c49b85ec2a57f43853.4 & fmt = json & parity
on, both, medi, logs, tools/getLogs, by_blk_hash_good,    y, transactions = 0x693b52d0fc09ec86d86aa117dd2b397116b6031cf2b672f8673c4441b9dc190f.55 & verbose
on, both, fast, logs, tools/getLogs, by_blk_hash_bad,     y, transactions = 0x693b52d0fc09ec86d86aa117dd2b397116b6031cf2b672f8673c4441b9dc190f.155 & verbose
on, both, fast, logs, tools/getLogs, from_node,           n, transactions = 4000000.5 & raw
on, both, slow, logs, tools/getLogs, prev_bug2_1,         y, transactions = 4279119.46 & fmt = api & parity
on, both, medi, logs, tools/getLogs, prev_bug2_2,         n, transactions = 4279119.46 & raw

#on, both, fast, logs, tools/getLogs, multi_articulate    ,y, transactions = 0x5ca444001d797c50d46e077a245e563593cf313f960619b3deff022c8694b04f & articulate & fmt = json

