enabled, mode, speed, route, path/tool, filename, post, options, opt_cmd
on, cmd,  all,  receipts, tools/getReceipt, preload,             n, blocks = 3657480 & force, getBlock

on, cmd,  fast, receipts, tools/getReceipt, README,              n, @th
on, cmd,  fast, receipts, tools/getReceipt, help,                n, @h
on, cmd,  fast, receipts, tools/getReceipt, help_long,           n, help

on, both, fast, receipts, tools/getReceipt, no_input,            y,
on, both, fast, receipts, tools/getReceipt, bad_hash,            y, transactions = 0x0012
on, both, fast, receipts, tools/getReceipt, invalid_option_1,    y, pink
on, both, fast, receipts, tools/getReceipt, invalid_option_2,    y, other
on, both, fast, receipts, tools/getReceipt, invalid_param_1,     y, transactions = .th
on, both, fast, receipts, tools/getReceipt, invalid_param_2,     y, transactions = 1233123
on, both, fast, receipts, tools/getReceipt, default,             y, address = 0xbb9bc244d798123fde783fcc1c72d3bb8c189413

on, both, fast, receipts, tools/getReceipt, three_ways,          y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.79 3657480.79 0xda2f27fffb36c90c74fc53bd8b721074e87203c727640c95c4c802296e3bf8ad & fmt = json
on, both, slow, receipts, tools/getReceipt, verbose_blk_idx1,    y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.3 & fmt = json & verbose
on, both, fast, receipts, tools/getReceipt, verbose_blk_idx2,    y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.3 & fmt = api & verbose
on, both, fast, receipts, tools/getReceipt, verbose_blk_idx3,    y, transactions = 0x0f1217b92276cd17608d4212879739e6a5ec388bd7a03bef9798655234afd2b9.3 & verbose
on, both, medi, receipts, tools/getReceipt, by_txhash,           y, transactions = 0x6afbe0f0ea3613edd6b84b71260836c03bddce81604f05c81a070cd671d3d765 & fmt = api
on, both, medi, receipts, tools/getReceipt, by_bnun_and_txid,    n, transactions = 4000000.5 & logs & fmt = txt & no_header
on, both, fast, receipts, tools/getReceipt, by_bhash_and_txid,   y, transactions = 0xb8a3f7f5cfc1748f91a684f20fe89031202cbadcd15078c49b85ec2a57f43853.4 & verbose & fmt = json & parity
on, both, medi, receipts, tools/getReceipt, by_blk_hash_good,    n, transactions = 0x693b52d0fc09ec86d86aa117dd2b397116b6031cf2b672f8673c4441b9dc190f.55 & verbose & fmt = csv
on, both, fast, receipts, tools/getReceipt, by_blk_hash_bad,     y, transactions = 0x693b52d0fc09ec86d86aa117dd2b397116b6031cf2b672f8673c4441b9dc190f.155
on, both, fast, receipts, tools/getReceipt, from_node,           y, transactions = 4000000.5 & very_raw
on, both, fast, receipts, tools/getReceipt, from_node_long,      y, transactions = 4000000.5 & raw
on, both, fast, receipts, tools/getReceipt, bad_hash_msg,        n, transactions = 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 0x0766ec95bf12f9600afc6c33c287f9d2356d85f15f0d7eeeb6647f5d4ddfbc11 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 & fmt = csv
on, both, fast, receipts, tools/getReceipt, bad_hash_msg_raw,    y, transactions = 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 0x0766ec95bf12f9600afc6c33c287f9d2356d85f15f0d7eeeb6647f5d4ddfbc11 0x060e4cf9fa8d34a8b423b5b3691b2541255ff7974ff16699e104edcfb63bd521 & very_raw
on, both, fast, receipts, tools/getReceipt, bad_blkhash_msg,     y, transactions = 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.1 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.5
on, both, fast, receipts, tools/getReceipt, bad_blkhash_msg_raw, y, transactions = 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.1 0x0b4c6fb75ded4b90218cf0346b0885e442878f104e1b60bf75d5b6860eeacd53.5 & raw
