DATE	STARTBLOCK	NCREATES	NCREATES1	NCREATES2
7/30/15	1	0	0	0
7/31/15	6912	0	0	0
8/1/15	13775	0	0	0
8/2/15	19068	0	0	0
8/3/15	24426	0	0	0
8/4/15	29706	0	0	0
8/5/15	35074	0	0	0
8/6/15	40309	0	0	0
8/7/15	45425	34	34	26
8/8/15	50614	74	74	71
8/9/15	55870	31	31	31
8/10/15	60993	38	38	38
8/11/15	66248	18	18	18
8/12/15	71528	43	43	40
8/13/15	76652	35	35	34
8/14/15	81938	30	30	26
8/15/15	87747	20	20	20
8/16/15	93129	18	18	18
8/17/15	98261	9	9	9
8/18/15	103608	9	9	9
8/19/15	108556	22	22	22
8/20/15	113748	37	37	37
8/21/15	117772	31	31	30
8/22/15	122860	17	17	15
8/23/15	128131	64	64	64
8/24/15	133144	9	9	9
8/25/15	138328	38	38	38
8/26/15	143425	44	44	44
8/27/15	148428	22	22	22
8/28/15	153136	36	35	1
8/29/15	157789	30	30	30
8/30/15	162118	25	25	24
8/31/15	166273	31	31	31
9/1/15	170395	39	39	38
9/2/15	174333	36	35	1
9/3/15	177910	39	39	39
9/4/15	181293	41	41	41
9/5/15	185736	48	48	48
9/6/15	190657	32	32	32
9/7/15	195635	79	76	3
9/8/15	200469	18	18	18
9/9/15	205392	27	27	24
9/10/15	210427	13	13	13
9/11/15	215430	21	21	21
9/12/15	220571	41	41	36
9/13/15	225597	43	40	3
9/14/15	230568	35	30	5
9/15/15	235419	19	19	18
9/16/15	240261	26	26	23
9/17/15	245217	27	25	2
9/18/15	250025	69	69	64
9/19/15	254914	51	51	51
9/20/15	259992	61	61	58
9/21/15	265297	61	61	61
9/22/15	270372	48	45	3
9/23/15	275423	35	35	33
9/24/15	280588	48	39	9
9/25/15	285609	50	50	50
9/26/15	290735	4	4	4
9/27/15	295665	28	28	21
9/28/15	300438	21	21	21
9/29/15	305176	23	23	23
9/30/15	309816	37	36	1
10/1/15	314573	19	19	19
10/2/15	319783	10	10	10
10/3/15	324926	11	11	11
10/4/15	330003	5	5	5
10/5/15	334889	53	53	53
10/6/15	339898	18	18	17
10/7/15	344704	21	21	19
10/8/15	349708	17	14	3
10/9/15	354860	12	12	11
10/10/15	359765	10	10	10
10/11/15	364661	12	12	12
10/12/15	369734	66	66	65
10/13/15	374882	53	53	53
10/14/15	379990	58	58	48
10/15/15	384924	75	75	73
10/16/15	389850	47	47	39
10/17/15	394733	59	59	59
10/18/15	399789	39	39	39
10/19/15	404734	54	54	54
10/20/15	409709	46	30	16
10/21/15	414699	23	23	23
10/22/15	419689	74	70	4
10/23/15	424524	122	120	2
10/24/15	429787	127	127	124
10/25/15	434958	153	153	150
10/26/15	440054	42	42	33
10/27/15	444962	97	97	95
10/28/15	450182	48	48	48
10/29/15	455149	43	43	42
10/30/15	460307	99	99	89
10/31/15	465539	58	58	51
11/1/15	470668	25	25	25
11/2/15	475826	36	36	36
11/3/15	480850	45	45	45
11/4/15	485935	33	33	33
11/5/15	491060	58	58	57
11/6/15	496163	54	54	54
11/7/15	501305	145	133	12
11/8/15	506227	74	71	3
11/9/15	511248	45	33	12
11/10/15	516272	92	90	2
11/11/15	521325	44	44	44
11/12/15	526353	34	34	34
11/13/15	531432	61	61	61
11/14/15	536551	24	24	24
11/15/15	541678	32	32	32
11/16/15	546873	35	35	34
11/17/15	551912	30	30	30
11/18/15	557075	43	43	33
11/19/15	562150	42	42	42
11/20/15	567127	20	20	20
11/21/15	571848	42	42	42
11/22/15	576883	30	30	30
11/23/15	581932	55	55	55
11/24/15	587021	45	45	45
11/25/15	592022	24	24	24
11/26/15	596962	16	16	16
11/27/15	601902	11	11	11
11/28/15	607076	17	16	1
11/29/15	612084	23	23	23
11/30/15	617134	20	20	20
12/1/15	622214	42	41	1
12/2/15	627292	35	31	4
12/3/15	632116	34	33	1
12/4/15	637321	78	75	3
12/5/15	642329	60	60	60
12/6/15	647335	159	158	1
12/7/15	652248	51	51	51
12/8/15	657219	40	40	40
12/9/15	662130	40	38	2
12/10/15	667338	56	56	56
12/11/15	672482	54	54	54
12/12/15	677544	35	35	34
12/13/15	682620	92	92	90
12/14/15	687900	72	72	72
12/15/15	692899	36	36	36
12/16/15	697969	32	32	26
12/17/15	702951	105	105	92
12/18/15	708011	112	112	112
12/19/15	713031	10	10	10
12/20/15	718069	27	27	26
12/21/15	723016	61	60	1
12/22/15	727992	23	23	23
12/23/15	733121	30	29	1
12/24/15	738233	15	14	1
12/25/15	743251	26	16	10
12/26/15	748331	41	32	9
12/27/15	753335	21	11	10
12/28/15	758353	57	43	14
12/29/15	763434	77	66	11
12/30/15	768415	56	51	5
12/31/15	773443	53	44	9
1/1/16	778483	37	27	10
1/2/16	783368	28	24	4
1/3/16	788463	17	10	7
1/4/16	793597	57	49	8
1/5/16	798693	57	50	7
1/6/16	803819	78	67	11
1/7/16	808909	56	50	6
1/8/16	813890	39	28	11
1/9/16	819066	104	101	3
1/10/16	824165	75	65	10
1/11/16	829258	58	47	11
1/12/16	834365	51	38	13
1/13/16	839295	41	31	10
1/14/16	844297	47	36	11
1/15/16	849387	58	48	10
1/16/16	854471	53	42	11
1/17/16	859517	50	40	10
1/18/16	864553	44	33	11
1/19/16	869625	47	37	10
1/20/16	874597	71	61	10
1/21/16	879635	108	98	10
1/22/16	884598	103	96	7
1/23/16	889605	89	79	10
1/24/16	894533	94	83	11
1/25/16	899701	83	73	10
1/26/16	904582	73	60	13
1/27/16	909734	103	87	16
1/28/16	914717	82	73	9
1/29/16	919776	83	72	11
1/30/16	924757	74	67	7
1/31/16	929774	98	74	24
2/1/16	934646	90	77	13
2/2/16	939661	59	49	10
2/3/16	944616	67	56	11
2/4/16	949815	108	98	10
2/5/16	954877	119	109	10
2/6/16	959923	90	81	9
2/7/16	964910	45	45	45
2/8/16	969997	131	121	10
2/9/16	975068	75	64	11
2/10/16	980123	64	62	2
2/11/16	985084	376	376	368
2/12/16	990103	108	108	106
