DATE	#TRACES_CALL
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	2069
8/8/15	21085
8/9/15	1466
8/10/15	2838
8/11/15	7015
8/12/15	2150
8/13/15	3106
8/14/15	3196
8/15/15	2686
8/16/15	2453
8/17/15	2570
8/18/15	2593
8/19/15	4313
8/20/15	2327
8/21/15	3938
8/22/15	3644
8/23/15	4158
8/24/15	4507
8/25/15	4569
8/26/15	4219
8/27/15	6998
8/28/15	5187
8/29/15	4274
8/30/15	4677
8/31/15	5343
9/1/15	5214
9/2/15	5384
9/3/15	4821
9/4/15	5633
9/5/15	5535
9/6/15	5510
9/7/15	5686
9/8/15	5634
9/9/15	5659
9/10/15	5455
9/11/15	6636
9/12/15	5645
9/13/15	6135
9/14/15	5643
9/15/15	5468
9/16/15	6253
9/17/15	5569
9/18/15	5947
9/19/15	5209
9/20/15	6465
9/21/15	6291
9/22/15	6860
9/23/15	7394
9/24/15	6196
9/25/15	5920
9/26/15	5941
9/27/15	5924
9/28/15	6167
9/29/15	5743
9/30/15	5931
10/1/15	6615
10/2/15	6222
10/3/15	6229
10/4/15	6806
10/5/15	6415
10/6/15	6682
10/7/15	7345
10/8/15	7128
10/9/15	6901
10/10/15	7242
10/11/15	6320
10/12/15	6610
10/13/15	6930
10/14/15	6988
10/15/15	6815
10/16/15	6960
10/17/15	6632
10/18/15	6653
10/19/15	6642
10/20/15	5931
10/21/15	6426
10/22/15	6773
10/23/15	8243
10/24/15	8369
10/25/15	6202
10/26/15	6846
10/27/15	7196
10/28/15	7572
10/29/15	8399
10/30/15	8091
10/31/15	8280
11/1/15	7447
11/2/15	6772
11/3/15	7485
11/4/15	7085
11/5/15	7602
11/6/15	11623
11/7/15	27789
11/8/15	16017
11/9/15	8023
11/10/15	14341
11/11/15	30097
11/12/15	32046
11/13/15	13272
11/14/15	7588
11/15/15	7208
11/16/15	7612
11/17/15	7349
11/18/15	7396
11/19/15	15938
11/20/15	6461
11/21/15	6865
11/22/15	7202
11/23/15	8333
11/24/15	7151
11/25/15	7194
11/26/15	7316
11/27/15	6722
11/28/15	6993
11/29/15	6884
11/30/15	9011
12/1/15	6831
12/2/15	6508
12/3/15	7023
12/4/15	6985
12/5/15	6890
12/6/15	9390
12/7/15	7225
12/8/15	6971
12/9/15	7057
12/10/15	7633
12/11/15	8423
12/12/15	8378
12/13/15	9021
12/14/15	16283
12/15/15	50315
12/16/15	11898
12/17/15	10521
12/18/15	10620
12/19/15	10834
12/20/15	13531
12/21/15	15767
12/22/15	30098
12/23/15	67559
12/24/15	20653
12/25/15	16221
12/26/15	15802
12/27/15	75640
12/28/15	24216
12/29/15	21199
12/30/15	79674
12/31/15	18013
1/1/16	11954
1/2/16	15008
1/3/16	15332
1/4/16	16138
1/5/16	43217
1/6/16	41427
1/7/16	63131
1/8/16	17365
1/9/16	20590
1/10/16	16582
1/11/16	18974
1/12/16	18006
1/13/16	46656
1/14/16	17538
1/15/16	14931
1/16/16	15443
1/17/16	12703
1/18/16	19028
1/19/16	25590
1/20/16	16293
1/21/16	15232
1/22/16	27795
1/23/16	13632
1/24/16	17552
1/25/16	30291
1/26/16	26770
1/27/16	47182
1/28/16	65818
1/29/16	38672
1/30/16	27920
1/31/16	24433
2/1/16	21523
2/2/16	22813
2/3/16	22133
2/4/16	22285
2/5/16	22858
2/6/16	108336
2/7/16	21193
2/8/16	22129
2/9/16	22018
2/10/16	22927
2/11/16	28021
2/12/16	25688
2/13/16	29136
2/14/16	25178
2/15/16	23288
2/16/16	23005
2/17/16	38012
2/18/16	24638
2/19/16	23367
2/20/16	22876
2/21/16	22073
2/22/16	24305
2/23/16	24899
2/24/16	24403
2/25/16	25695
2/26/16	31606
2/27/16	24389
2/28/16	23247
2/29/16	25080
3/1/16	27009
3/2/16	29039
3/3/16	30217
3/4/16	28453
3/5/16	29666
3/6/16	39133
3/7/16	26572
3/8/16	27374
3/9/16	28055
3/10/16	27959
3/11/16	27437
3/12/16	34711
3/13/16	34399
3/14/16	37304
3/15/16	36381
3/16/16	36482
3/17/16	52112
3/18/16	44639
3/19/16	41385
3/20/16	39304
3/21/16	50554
3/22/16	71724
3/23/16	47724
3/24/16	93971
3/25/16	61837
3/26/16	79905
3/27/16	37493
3/28/16	82103
3/29/16	43248
3/30/16	68943
3/31/16	40572
4/1/16	70941
4/2/16	36376
4/3/16	36989
4/4/16	73246
4/5/16	86737
4/6/16	46301
4/7/16	57454
4/8/16	81347
4/9/16	46930
4/10/16	39625
4/11/16	36983
4/12/16	61376
4/13/16	55472
4/14/16	50498
4/15/16	74119
4/16/16	34754
4/17/16	43939
4/18/16	50169
4/19/16	46264
4/20/16	48227
4/21/16	47997
4/22/16	36282
4/23/16	35359
4/24/16	59322
4/25/16	59995
4/26/16	43287
4/27/16	39176
4/28/16	51752
4/29/16	51211
4/30/16	55406
5/1/16	56058
5/2/16	47001
5/3/16	43557
5/4/16	53375
5/5/16	69544
5/6/16	116187
5/7/16	43396
5/8/16	67140
5/9/16	46739
5/10/16	49534
5/11/16	49661
5/12/16	85785
5/13/16	60289
5/14/16	79160
5/15/16	66755
5/16/16	62807
5/17/16	49396
5/18/16	66937
5/19/16	64657
5/20/16	68274
5/21/16	62263
5/22/16	44819
5/23/16	49527
5/24/16	49714
5/25/16	64426
5/26/16	61075
5/27/16	58151
5/28/16	102424
5/29/16	53982
5/30/16	55463
5/31/16	50146
6/1/16	47212
6/2/16	44884
6/3/16	44680
6/4/16	47081
6/5/16	41623
6/6/16	43244
6/7/16	89640
6/8/16	57177
6/9/16	47256
6/10/16	48245
6/11/16	41168
6/12/16	46330
6/13/16	54240
6/14/16	74237
6/15/16	65058
6/16/16	48726
6/17/16	199410
6/18/16	63976
6/19/16	55175
6/20/16	66182
6/21/16	115533
6/22/16	66736
6/23/16	46914
6/24/16	59811
6/25/16	40673
6/26/16	44588
6/27/16	44864
6/28/16	47654
6/29/16	53317
6/30/16	66628
7/1/16	43290
7/2/16	44314
7/3/16	45316
7/4/16	47287
7/5/16	47646
7/6/16	41797
7/7/16	43799
7/8/16	60330
7/9/16	44266
7/10/16	41785
7/11/16	46082
7/12/16	43489
7/13/16	40471
7/14/16	66064
7/15/16	45053
7/16/16	40861
7/17/16	36536
7/18/16	46386
7/19/16	52755
7/20/16	58819
7/21/16	56869
7/22/16	54373
7/23/16	60020
7/24/16	76123
7/25/16	73246
7/26/16	79742
7/27/16	70956
7/28/16	117061
7/29/16	130406
7/30/16	76377
7/31/16	63389
8/1/16	65791
8/2/16	70147
8/3/16	70576
8/4/16	65848
8/5/16	58023
8/6/16	56321
8/7/16	62640
8/8/16	165289
8/9/16	67583
8/10/16	63450
8/11/16	65625
8/12/16	59359
8/13/16	56853
8/14/16	54606
8/15/16	59425
8/16/16	66588
8/17/16	61553
8/18/16	68575
8/19/16	63328
8/20/16	56425
8/21/16	59833
8/22/16	62788
8/23/16	78270
8/24/16	62200
8/25/16	64844
8/26/16	63505
8/27/16	61004
8/28/16	60025
8/29/16	62073
8/30/16	64524
8/31/16	64112
9/1/16	63686
9/2/16	79246
9/3/16	59318
9/4/16	62972
9/5/16	57029
9/6/16	64521
9/7/16	65225
9/8/16	73355
9/9/16	68710
9/10/16	56588
9/11/16	59107
9/12/16	62679
9/13/16	58241
9/14/16	68735
9/15/16	66847
9/16/16	74089
9/17/16	70648
9/18/16	326057
9/19/16	1682142
9/20/16	76048
9/21/16	64327
9/22/16	308211
9/23/16	137158
9/24/16	132515
9/25/16	65690
9/26/16	7470787
9/27/16	59486
9/28/16	84741
9/29/16	97040
9/30/16	186619
10/1/16	43950444
10/2/16	40861518
10/3/16	10923468
10/4/16	3683182
10/5/16	20804450
10/6/16	966038
10/7/16	656536
10/8/16	10380493
10/9/16	23395748
10/10/16	11012327
10/11/16	2698625
10/12/16	7443048
10/13/16	5337485
10/14/16	3167266
10/15/16	739864
10/16/16	1211057
10/17/16	1107295
10/18/16	938348
10/19/16	50700
10/20/16	57583
10/21/16	82437
10/22/16	54809
10/23/16	49911
10/24/16	69942
10/25/16	63866
10/26/16	61142
10/27/16	60867
10/28/16	58086
10/29/16	53480
10/30/16	50716
10/31/16	59738
11/1/16	64567
11/2/16	56638
11/3/16	55995
11/4/16	42968
11/5/16	48182
11/6/16	45667
11/7/16	55977
11/8/16	59514
11/9/16	65430
11/10/16	55984
11/11/16	58596
11/12/16	55020
11/13/16	62249
11/14/16	59084
11/15/16	61935
11/16/16	58524
11/17/16	55116
11/18/16	57951
11/19/16	52771
11/20/16	56766
11/21/16	58596
11/22/16	165301
11/23/16	2237960
11/24/16	1561091
11/25/16	1742410
11/26/16	2280023
11/27/16	4219217
11/28/16	4387121
11/29/16	3317096
11/30/16	193107
12/1/16	52950
12/2/16	52122
12/3/16	51718
12/4/16	56774
12/5/16	55557
12/6/16	63963
12/7/16	53706
12/8/16	51634
12/9/16	54337
12/10/16	51524
12/11/16	51270
12/12/16	49879
12/13/16	56570
12/14/16	59154
12/15/16	56634
12/16/16	54153
12/17/16	49063
12/18/16	47339
12/19/16	58304
12/20/16	55085
12/21/16	64269
12/22/16	69164
12/23/16	55234
12/24/16	48024
12/25/16	44846
12/26/16	44432
12/27/16	54065
12/28/16	52661
12/29/16	57194
12/30/16	53936
12/31/16	51181
1/1/17	47274
1/2/17	50882
1/3/17	80624
1/4/17	64288
1/5/17	62213
1/6/17	55656
1/7/17	55669
1/8/17	57608
1/9/17	59708
1/10/17	64719
1/11/17	57260
1/12/17	63442
1/13/17	61957
1/14/17	51055
1/15/17	51232
1/16/17	56656
1/17/17	60468
1/18/17	59382
1/19/17	57530
1/20/17	62287
1/21/17	56972
1/22/17	60153
1/23/17	60477
1/24/17	65498
1/25/17	63691
1/26/17	62864
1/27/17	61419
1/28/17	58405
1/29/17	56132
1/30/17	60829
1/31/17	56950
2/1/17	60455
2/2/17	60729
2/3/17	59270
2/4/17	60785
2/5/17	60645
2/6/17	60572
2/7/17	66822
2/8/17	65276
2/9/17	75432
2/10/17	89196
2/11/17	70171
2/12/17	65737
2/13/17	78282
2/14/17	78990
2/15/17	79959
2/16/17	68339
2/17/17	66741
2/18/17	65554
2/19/17	61346
2/20/17	65787
2/21/17	74254
2/22/17	70140
2/23/17	63205
2/24/17	69965
2/25/17	78866
2/26/17	65530
2/27/17	74024
2/28/17	79681
3/1/17	77824
3/2/17	87156
3/3/17	82879
3/4/17	73227
3/5/17	70265
3/6/17	71399
3/7/17	74982
3/8/17	69457
3/9/17	82027
3/10/17	82540
3/11/17	83214
3/12/17	82483
3/13/17	102514
3/14/17	97145
3/15/17	104746
3/16/17	135268
3/17/17	137620
3/18/17	110948
3/19/17	102970
3/20/17	102049
3/21/17	103575
3/22/17	102092
3/23/17	102803
3/24/17	113163
3/25/17	106121
3/26/17	103570
3/27/17	125293
3/28/17	113438
3/29/17	120306
3/30/17	118935
3/31/17	131857
4/1/17	100699
4/2/17	117360
