DATE	#BLOCKS
7/30/15	6911
7/31/15	6863
8/1/15	5293
8/2/15	5358
8/3/15	5280
8/4/15	5368
8/5/15	5235
8/6/15	5116
8/7/15	5189
8/8/15	5256
8/9/15	5123
8/10/15	5255
8/11/15	5280
8/12/15	5124
8/13/15	5286
8/14/15	5809
8/15/15	5382
8/16/15	5132
8/17/15	5347
8/18/15	4948
8/19/15	5192
8/20/15	4024
8/21/15	5088
8/22/15	5271
8/23/15	5013
8/24/15	5184
8/25/15	5097
8/26/15	5003
8/27/15	4708
8/28/15	4653
8/29/15	4329
8/30/15	4155
8/31/15	4122
9/1/15	3938
9/2/15	3577
9/3/15	3383
9/4/15	4443
9/5/15	4921
9/6/15	4978
9/7/15	4834
9/8/15	4923
9/9/15	5035
9/10/15	5003
9/11/15	5141
9/12/15	5026
9/13/15	4971
9/14/15	4851
9/15/15	4842
9/16/15	4956
9/17/15	4808
9/18/15	4889
9/19/15	5078
9/20/15	5305
9/21/15	5075
9/22/15	5051
9/23/15	5165
9/24/15	5021
9/25/15	5126
9/26/15	4930
9/27/15	4773
9/28/15	4738
9/29/15	4640
9/30/15	4757
10/1/15	5210
10/2/15	5143
10/3/15	5077
10/4/15	4886
10/5/15	5009
10/6/15	4806
10/7/15	5004
10/8/15	5152
10/9/15	4905
10/10/15	4896
10/11/15	5073
10/12/15	5148
10/13/15	5108
10/14/15	4934
10/15/15	4926
10/16/15	4883
10/17/15	5056
10/18/15	4945
10/19/15	4975
10/20/15	4990
10/21/15	4990
10/22/15	4835
10/23/15	5263
10/24/15	5171
10/25/15	5096
10/26/15	4908
10/27/15	5220
10/28/15	4967
10/29/15	5158
10/30/15	5232
10/31/15	5129
11/1/15	5158
11/2/15	5024
11/3/15	5085
11/4/15	5125
11/5/15	5103
11/6/15	5142
11/7/15	4922
11/8/15	5021
11/9/15	5024
11/10/15	5053
11/11/15	5028
11/12/15	5079
11/13/15	5119
11/14/15	5127
11/15/15	5195
11/16/15	5039
11/17/15	5163
11/18/15	5075
11/19/15	4977
11/20/15	4721
11/21/15	5035
11/22/15	5049
11/23/15	5089
11/24/15	5001
11/25/15	4940
11/26/15	4940
11/27/15	5174
11/28/15	5008
11/29/15	5050
11/30/15	5080
12/1/15	5078
12/2/15	4824
12/3/15	5205
12/4/15	5008
12/5/15	5006
12/6/15	4913
12/7/15	4971
12/8/15	4911
12/9/15	5208
12/10/15	5144
12/11/15	5062
12/12/15	5076
12/13/15	5280
12/14/15	4999
12/15/15	5070
12/16/15	4982
12/17/15	5060
12/18/15	5020
12/19/15	5038
12/20/15	4947
12/21/15	4976
12/22/15	5129
12/23/15	5112
12/24/15	5018
12/25/15	5080
12/26/15	5004
12/27/15	5018
12/28/15	5081
12/29/15	4981
12/30/15	5028
12/31/15	5040
1/1/16	4885
1/2/16	5095
1/3/16	5134
1/4/16	5096
1/5/16	5126
1/6/16	5090
1/7/16	4981
1/8/16	5176
1/9/16	5099
1/10/16	5093
1/11/16	5107
1/12/16	4930
1/13/16	5002
1/14/16	5090
1/15/16	5084
1/16/16	5046
1/17/16	5036
1/18/16	5072
1/19/16	4972
1/20/16	5038
1/21/16	4963
1/22/16	5007
1/23/16	4928
1/24/16	5168
1/25/16	4881
1/26/16	5152
1/27/16	4983
1/28/16	5059
1/29/16	4981
1/30/16	5017
1/31/16	4872
2/1/16	5015
2/2/16	4955
2/3/16	5199
2/4/16	5062
2/5/16	5046
2/6/16	4987
2/7/16	5087
2/8/16	5071
2/9/16	5055
2/10/16	4961
2/11/16	5019
2/12/16	5033
2/13/16	5093
2/14/16	4990
2/15/16	4975
2/16/16	5025
2/17/16	4857
2/18/16	4999
2/19/16	5033
2/20/16	5051
2/21/16	5055
2/22/16	5103
2/23/16	4969
2/24/16	5029
2/25/16	5128
2/26/16	5055
2/27/16	4992
2/28/16	5029
2/29/16	4820
3/1/16	5052
3/2/16	5086
3/3/16	5014
3/4/16	4994
3/5/16	5138
3/6/16	4907
3/7/16	5026
3/8/16	5017
3/9/16	4989
3/10/16	5196
3/11/16	5065
3/12/16	5023
3/13/16	5186
3/14/16	5108
3/15/16	5979
3/16/16	6025
3/17/16	6082
3/18/16	5962
3/19/16	6082
3/20/16	6027
3/21/16	5994
3/22/16	6071
3/23/16	5974
3/24/16	6101
3/25/16	6066
3/26/16	6095
3/27/16	6046
3/28/16	5999
3/29/16	6010
3/30/16	6047
3/31/16	6021
4/1/16	6081
4/2/16	5936
4/3/16	6035
4/4/16	6086
4/5/16	6033
4/6/16	6004
4/7/16	5953
4/8/16	6102
4/9/16	5933
4/10/16	6065
4/11/16	5937
4/12/16	6015
4/13/16	6015
4/14/16	6021
4/15/16	6059
4/16/16	6019
4/17/16	6015
4/18/16	6055
4/19/16	5969
4/20/16	6050
4/21/16	5990
4/22/16	6031
4/23/16	6051
4/24/16	5981
4/25/16	6104
4/26/16	5952
4/27/16	6062
4/28/16	6030
4/29/16	6030
4/30/16	6058
5/1/16	5942
5/2/16	6080
5/3/16	6054
5/4/16	5980
5/5/16	6037
5/6/16	6022
5/7/16	5988
5/8/16	6051
5/9/16	6044
5/10/16	6012
5/11/16	5914
5/12/16	6099
5/13/16	6064
5/14/16	5958
5/15/16	6015
5/16/16	5961
5/17/16	6071
5/18/16	6063
5/19/16	6011
5/20/16	6037
5/21/16	5981
5/22/16	6084
5/23/16	6013
5/24/16	6010
5/25/16	6029
5/26/16	6019
5/27/16	6045
5/28/16	6019
5/29/16	6001
5/30/16	6007
5/31/16	5936
6/1/16	6039
6/2/16	6072
6/3/16	6029
6/4/16	6016
6/5/16	5963
6/6/16	6108
6/7/16	5990
6/8/16	6091
6/9/16	6092
6/10/16	5902
6/11/16	6114
6/12/16	6065
6/13/16	6084
6/14/16	6035
6/15/16	6007
6/16/16	6015
6/17/16	5849
6/18/16	5889
6/19/16	6222
6/20/16	5949
6/21/16	5999
6/22/16	6139
6/23/16	6003
6/24/16	6042
6/25/16	5998
6/26/16	6052
6/27/16	6052
6/28/16	6067
6/29/16	5991
6/30/16	5985
7/1/16	6127
7/2/16	6003
7/3/16	6045
7/4/16	6067
7/5/16	5949
7/6/16	6088
7/7/16	6036
7/8/16	5996
7/9/16	6126
7/10/16	6046
7/11/16	6029
7/12/16	6006
7/13/16	6086
7/14/16	6001
7/15/16	5988
7/16/16	6081
7/17/16	6029
7/18/16	6109
7/19/16	5970
7/20/16	5946
7/21/16	6154
7/22/16	5957
7/23/16	6093
7/24/16	5937
7/25/16	6030
7/26/16	5809
7/27/16	6175
7/28/16	6081
7/29/16	5979
7/30/16	5981
7/31/16	6029
8/1/16	5961
8/2/16	5894
8/3/16	5984
8/4/16	6192
8/5/16	6065
8/6/16	5978
8/7/16	6077
8/8/16	6059
8/9/16	6130
8/10/16	6054
8/11/16	6068
8/12/16	6014
8/13/16	6032
8/14/16	6034
8/15/16	6090
8/16/16	6054
8/17/16	6009
8/18/16	6100
8/19/16	6014
8/20/16	6055
8/21/16	6084
8/22/16	6078
8/23/16	6015
8/24/16	6053
8/25/16	6094
8/26/16	6006
8/27/16	6076
8/28/16	6035
8/29/16	6014
8/30/16	6026
8/31/16	6073
9/1/16	5989
9/2/16	6088
9/3/16	5949
9/4/16	6023
9/5/16	6076
9/6/16	5993
9/7/16	6118
9/8/16	6016
9/9/16	6074
9/10/16	5999
9/11/16	6093
9/12/16	6063
9/13/16	6003
9/14/16	6091
9/15/16	6031
9/16/16	6065
9/17/16	6044
9/18/16	5598
9/19/16	6409
9/20/16	6167
9/21/16	6062
9/22/16	5746
9/23/16	6226
9/24/16	5877
9/25/16	6267
9/26/16	5843
9/27/16	6053
9/28/16	6106
9/29/16	6126
9/30/16	6008
10/1/16	5780
10/2/16	6068
10/3/16	6204
10/4/16	6077
10/5/16	5817
10/6/16	5953
10/7/16	5887
10/8/16	6200
10/9/16	6049
10/10/16	6041
10/11/16	6050
10/12/16	5910
10/13/16	6114
10/14/16	6079
10/15/16	6027
10/16/16	6055
10/17/16	5959
10/18/16	6119
10/19/16	5774
10/20/16	6298
10/21/16	6097
10/22/16	6041
10/23/16	5993
10/24/16	6065
10/25/16	6028
10/26/16	6096
10/27/16	6018
10/28/16	5943
10/29/16	5668
10/30/16	6059
10/31/16	6092
11/1/16	5839
11/2/16	5952
11/3/16	5950
11/4/16	5904
11/5/16	5996
11/6/16	6054
11/7/16	6315
11/8/16	6159
11/9/16	5924
11/10/16	5966
11/11/16	5992
11/12/16	6086
11/13/16	6203
11/14/16	6067
11/15/16	6006
11/16/16	6045
11/17/16	5868
11/18/16	6289
11/19/16	6150
11/20/16	6179
11/21/16	6073
11/22/16	5922
11/23/16	5837
11/24/16	5914
11/25/16	6111
11/26/16	5938
11/27/16	5945
11/28/16	6042
11/29/16	5988
11/30/16	6061
12/1/16	6057
12/2/16	6075
12/3/16	6160
12/4/16	5983
12/5/16	6004
12/6/16	6089
12/7/16	6073
12/8/16	6125
12/9/16	6050
12/10/16	6075
12/11/16	6098
12/12/16	5999
12/13/16	6070
12/14/16	6080
12/15/16	6001
12/16/16	6075
12/17/16	6116
12/18/16	6096
12/19/16	6032
12/20/16	6069
12/21/16	6070
12/22/16	5956
12/23/16	5954
12/24/16	6006
12/25/16	6127
12/26/16	6066
12/27/16	5998
12/28/16	6056
12/29/16	6082
12/30/16	6063
12/31/16	5993
1/1/17	6111
1/2/17	6058
1/3/17	6035
1/4/17	6141
1/5/17	6091
1/6/17	6009
1/7/17	6108
1/8/17	6074
1/9/17	6082
1/10/17	6030
1/11/17	6047
1/12/17	6056
1/13/17	6106
1/14/17	6067
1/15/17	6085
1/16/17	6052
1/17/17	6002
1/18/17	6065
1/19/17	6158
1/20/17	5963
1/21/17	6046
1/22/17	6065
1/23/17	6048
1/24/17	6037
1/25/17	6010
1/26/17	6081
1/27/17	5985
1/28/17	6063
1/29/17	5960
1/30/17	6094
1/31/17	6018
2/1/17	6009
2/2/17	6047
2/3/17	5990
2/4/17	6078
2/5/17	6077
2/6/17	6050
2/7/17	5998
2/8/17	6067
2/9/17	6029
2/10/17	6040
2/11/17	6038
2/12/17	6059
2/13/17	6070
2/14/17	6023
2/15/17	6089
2/16/17	6052
2/17/17	6012
2/18/17	5999
2/19/17	6019
2/20/17	6015
2/21/17	6052
2/22/17	5968
2/23/17	6019
2/24/17	6011
2/25/17	6039
2/26/17	6089
2/27/17	5988
2/28/17	6107
3/1/17	5958
3/2/17	6061
3/3/17	6006
3/4/17	5985
3/5/17	6073
3/6/17	5977
3/7/17	5978
3/8/17	6016
3/9/17	5928
3/10/17	5953
3/11/17	6002
3/12/17	5919
3/13/17	6040
3/14/17	5961
3/15/17	5986
3/16/17	5990
3/17/17	6046
3/18/17	5991
3/19/17	5950
3/20/17	6066
3/21/17	5957
3/22/17	6008
3/23/17	5914
3/24/17	5913
3/25/17	5962
3/26/17	5981
3/27/17	5951
3/28/17	5900
3/29/17	5988
3/30/17	5910
3/31/17	5971
4/1/17	5926
4/2/17	5846
4/3/17	5979
4/4/17	5932
4/5/17	5986
4/6/17	5880
4/7/17	5946
4/8/17	5936
4/9/17	5797
4/10/17	5758
4/11/17	5849
4/12/17	5779
4/13/17	5798
4/14/17	5908
4/15/17	5721
4/16/17	5820
4/17/17	5861
4/18/17	5861
4/19/17	5718
4/20/17	5859
4/21/17	5878
4/22/17	5792
4/23/17	5864
4/24/17	5721
4/25/17	5897
4/26/17	5637
4/27/17	5642
4/28/17	5697
4/29/17	5626
4/30/17	5648
5/1/17	5624
5/2/17	5619
5/3/17	5649
5/4/17	5649
5/5/17	5675
5/6/17	5678
5/7/17	5718
5/8/17	5640
5/9/17	5672
5/10/17	5648
5/11/17	5702
5/12/17	5688
5/13/17	5591
5/14/17	5402
5/15/17	5401
5/16/17	5457
5/17/17	5325
5/18/17	5462
5/19/17	5424
5/20/17	5489
5/21/17	5437
5/22/17	5468
5/23/17	5419
5/24/17	5427
5/25/17	5465
5/26/17	5492
5/27/17	5439
5/28/17	5453
5/29/17	5579
5/30/17	5581
5/31/17	5412
6/1/17	5276
6/2/17	5087
6/3/17	5206
6/4/17	5160
6/5/17	5249
6/6/17	5208
6/7/17	5239
6/8/17	5209
6/9/17	5214
6/10/17	5332
6/11/17	5246
6/12/17	5237
6/13/17	5272
6/14/17	5293
6/15/17	5305
6/16/17	5336
6/17/17	5279
6/18/17	5347
6/19/17	5334
6/20/17	4967
6/21/17	4898
6/22/17	4944
6/23/17	4890
6/24/17	4939
6/25/17	4926
6/26/17	4965
6/27/17	5001
6/28/17	4961
6/29/17	5027
6/30/17	5036
7/1/17	5009
7/2/17	5034
7/3/17	5052
7/4/17	5078
7/5/17	4985
7/6/17	5046
7/7/17	5084
7/8/17	5087
7/9/17	5094
7/10/17	4594
7/11/17	4520
7/12/17	4509
7/13/17	4512
7/14/17	4502
7/15/17	4603
7/16/17	4575
7/17/17	4459
7/18/17	4551
7/19/17	4637
7/20/17	4632
7/21/17	4543
7/22/17	4649
7/23/17	4660
7/24/17	4582
7/25/17	4686
7/26/17	4650
7/27/17	4634
7/28/17	4647
7/29/17	4683
7/30/17	4704
7/31/17	4535
8/1/17	4087
8/2/17	4044
8/3/17	3976
8/4/17	4040
8/5/17	4034
8/6/17	4032
8/7/17	4094
8/8/17	4093
8/9/17	4113
8/10/17	4029
8/11/17	4105
8/12/17	4113
8/13/17	4129
8/14/17	4133
8/15/17	4132
8/16/17	4166
8/17/17	4144
8/18/17	4136
8/19/17	4211
8/20/17	4156
8/21/17	4233
8/22/17	4185
8/23/17	4216
8/24/17	4184
8/25/17	3554
8/26/17	3499
8/27/17	3514
8/28/17	3446
8/29/17	3541
8/30/17	3531
8/31/17	3473
9/1/17	3521
9/2/17	3541
9/3/17	3539
9/4/17	3527
9/5/17	3559
9/6/17	3510
9/7/17	3547
9/8/17	3592
9/9/17	3561
9/10/17	3574
9/11/17	3551
9/12/17	3603
9/13/17	3536
9/14/17	3599
9/15/17	3616
9/16/17	3609
9/17/17	3630
9/18/17	3557
9/19/17	3628
9/20/17	3600
9/21/17	3645
9/22/17	3001
9/23/17	2884
9/24/17	2938
9/25/17	2836
9/26/17	2890
9/27/17	2904
9/28/17	2856
9/29/17	2829
9/30/17	2840
10/1/17	2862
10/2/17	2842
10/3/17	2862
10/4/17	2886
10/5/17	2946
10/6/17	2848
10/7/17	2848
10/8/17	2879
10/9/17	2882
10/10/17	2915
10/11/17	2915
10/12/17	2899
10/13/17	2891
10/14/17	2887
10/15/17	2925
10/16/17	4554
10/17/17	6050
10/18/17	6221
10/19/17	6241
10/20/17	6237
10/21/17	6229
10/22/17	6280
10/23/17	6254
10/24/17	6248
10/25/17	6176
10/26/17	6157
10/27/17	6229
10/28/17	6240
10/29/17	6194
10/30/17	6072
10/31/17	6275
11/1/17	6142
11/2/17	6144
11/3/17	6208
11/4/17	6196
11/5/17	6299
11/6/17	6199
11/7/17	6211
11/8/17	6236
11/9/17	6195
11/10/17	6300
11/11/17	6267
11/12/17	6245
11/13/17	6225
11/14/17	6122
11/15/17	6237
11/16/17	6154
11/17/17	6235
11/18/17	6215
11/19/17	6266
11/20/17	6176
11/21/17	6174
11/22/17	6242
11/23/17	6190
11/24/17	6234
11/25/17	6201
11/26/17	6169
11/27/17	6086
11/28/17	6094
11/29/17	6108
11/30/17	6151
12/1/17	6127
12/2/17	6053
12/3/17	6029
12/4/17	5671
12/5/17	5588
12/6/17	5473
12/7/17	5798
12/8/17	5803
12/9/17	5813
12/10/17	5781
12/11/17	5749
12/12/17	5715
12/13/17	5659
12/14/17	5694
12/15/17	5800
12/16/17	5775
12/17/17	5781
12/18/17	5781
12/19/17	5604
12/20/17	5571
12/21/17	5570
12/22/17	5652
12/23/17	5947
12/24/17	5981
12/25/17	6032
12/26/17	5992
12/27/17	5966
12/28/17	5889
12/29/17	5786
12/30/17	5773
12/31/17	5907
1/1/18	5926
1/2/18	5750
1/3/18	5540
1/4/18	5454
1/5/18	5341
1/6/18	5416
1/7/18	5528
1/8/18	5408
1/9/18	5377
1/10/18	5415
1/11/18	5430
1/12/18	5419
1/13/18	5394
1/14/18	5625
1/15/18	5424
1/16/18	5522
1/17/18	5572
1/18/18	5569
1/19/18	5685
1/20/18	5873
1/21/18	5810
1/22/18	5883
1/23/18	5898
1/24/18	5961
1/25/18	5910
1/26/18	5910
1/27/18	6004
1/28/18	6017
