DATE	NBLOCKS	STARTBLOCK	ENDBLOCK	NTRACES	NERRORS-NERRORS1-NERRORS2	NSUCCESS		NCREATES-NCREATES1-NCREATES2	NCALLS	NSELFDESTRUCT
7/30/15	6911	1	6911	0	0-0-0	0		0-0-0	0	0
7/31/15	6863	6912	13774	0	0-0-0	0		0-0-0	0	0
8/1/15	5293	13775	19067	0	0-0-0	0		0-0-0	0	0
8/2/15	5358	19068	24425	0	0-0-0	0		0-0-0	0	0
8/3/15	5280	24426	29705	0	0-0-0	0		0-0-0	0	0
8/4/15	5368	29706	35073	0	0-0-0	0		0-0-0	0	0
8/5/15	5235	35074	40308	0	0-0-0	0		0-0-0	0	0
8/6/15	5116	40309	45424	0	0-0-0	0		0-0-0	0	0
8/7/15	5189	45425	50613	2103	15-15-0	2088		34-34-26	2069	0
8/8/15	5256	50614	55869	21165	537-537-0	20628		74-74-71	21085	6
8/9/15	5123	55870	60992	1504	17-17-0	1487		31-31-31	1466	7
8/10/15	5255	60993	66247	2888	10-10-0	2878		38-38-38	2838	12
8/11/15	5280	66248	71527	7034	9-8-1	7025		18-18-18	7015	1
8/12/15	5124	71528	76651	2197	27-27-0	2170		43-43-40	2150	4
8/13/15	5286	76652	81937	3145	9-8-1	3136		36-35-34	3106	3
8/14/15	5809	81938	87746	3230	9-8-1	3221		31-30-26	3196	3
8/15/15	5382	87747	93128	2709	15-15-0	2694		20-20-20	2686	3
8/16/15	5132	93129	98260	2477	2-2-0	2475		18-18-18	2453	6
8/17/15	5347	98261	103607	2582	0-0-0	2582		9-9-9	2570	3
8/18/15	4948	103608	108555	2603	1-1-0	2602		9-9-9	2593	1
8/19/15	5192	108556	113747	4337	31-31-0	4306		22-22-22	4313	2
8/20/15	4024	113748	117771	2374	2-2-0	2372		37-37-37	2327	10
8/21/15	5088	117772	122859	3972	13-13-0	3959		31-31-30	3938	3
8/22/15	5271	122860	128130	3665	5-5-0	3660		17-17-15	3644	4
8/23/15	5013	128131	133143	4226	3-3-0	4223		64-64-64	4158	4
8/24/15	5184	133144	138327	4520	0-0-0	4520		9-9-9	4507	4
8/25/15	5097	138328	143424	4611	17-17-0	4594		38-38-38	4569	4
8/26/15	5003	143425	148427	4270	3-3-0	4267		44-44-44	4219	7
8/27/15	4708	148428	153135	7021	40-40-0	6981		22-22-22	6998	1
8/28/15	4653	153136	157788	5226	1-1-0	5225		36-35-1	5187	3
8/29/15	4329	157789	162117	4314	1-1-0	4313		30-30-30	4274	10
8/30/15	4155	162118	166272	4712	1-1-0	4711		25-25-24	4677	10
8/31/15	4122	166273	170394	5380	2-2-0	5378		31-31-31	5343	6
9/1/15	3938	170395	174332	5260	12-12-0	5248		39-39-38	5214	7
9/2/15	3577	174333	177909	5435	6-6-0	5429		36-35-1	5384	15
9/3/15	3383	177910	181292	4874	11-11-0	4863		39-39-39	4821	14
9/4/15	4443	181293	185735	5678	18-18-0	5660		41-41-41	5633	4
9/5/15	4921	185736	190656	5601	10-10-0	5591		48-48-48	5535	18
9/6/15	4978	190657	195634	5545	5-5-0	5540		32-32-32	5510	3
9/7/15	4834	195635	200468	5769	6-6-0	5763		79-76-3	5686	4
9/8/15	4923	200469	205391	5655	11-11-0	5644		18-18-18	5634	3
9/9/15	5035	205392	210426	5689	5-5-0	5684		27-27-24	5659	3
9/10/15	5003	210427	215429	5471	10-10-0	5461		13-13-13	5455	3
9/11/15	5141	215430	220570	6657	4-4-0	6653		21-21-21	6636	0
9/12/15	5026	220571	225596	5698	14-14-0	5684		41-41-36	5645	12
9/13/15	4971	225597	230567	6197	23-13-0	6174		53-40-3	6135	9
9/14/15	4851	230568	235418	5704	3-2-0	5701		36-30-5	5643	25
9/15/15	4842	235419	240260	5501	3-3-0	5498		21-19-18	5468	12
9/16/15	4956	240261	245216	6289	6-6-0	6283		26-26-23	6253	10
9/17/15	4808	245217	250024	5603	4-3-0	5599		28-25-2	5569	6
9/18/15	4889	250025	254913	6017	20-20-0	5997		69-69-64	5947	1
9/19/15	5078	254914	259991	5271	6-6-0	5265		51-51-51	5209	11
9/20/15	5305	259992	265296	6532	22-22-0	6510		62-61-58	6465	5
9/21/15	5075	265297	270371	6367	2-2-0	6365		61-61-61	6291	15
9/22/15	5051	270372	275422	6913	5-2-3	6908		48-45-3	6860	5
9/23/15	5165	275423	280587	7441	28-28-0	7413		35-35-33	7394	12
9/24/15	5021	280588	285608	6246	6-6-0	6240		48-39-9	6196	2
9/25/15	5126	285609	290734	5977	5-5-0	5972		50-50-50	5920	7
9/26/15	4930	290735	295664	5946	3-3-0	5943		4-4-4	5941	1
9/27/15	4773	295665	300437	5957	13-13-0	5944		28-28-21	5924	5
9/28/15	4738	300438	305175	6195	8-8-0	6187		21-21-21	6167	7
9/29/15	4640	305176	309815	5772	2-1-0	5770		23-23-23	5743	6
9/30/15	4757	309816	314572	5989	4-4-0	5985		36-36-1	5931	18
10/1/15	5210	314573	319782	6638	2-2-0	6636		19-19-19	6615	4
10/2/15	5143	319783	324925	6233	11-11-0	6222		10-10-10	6222	1
10/3/15	5077	324926	330002	6243	0-0-0	6243		11-11-11	6229	3
10/4/15	4886	330003	334888	6814	0-0-0	6814		5-5-5	6806	3
10/5/15	5009	334889	339897	6471	39-39-0	6432		53-53-53	6415	3
10/6/15	4806	339898	344703	6702	3-2-0	6699		18-18-17	6682	2
10/7/15	5004	344704	349707	7372	8-8-0	7364		21-21-19	7345	6
10/8/15	5152	349708	354859	7150	0-0-0	7150		17-14-3	7128	5
10/9/15	4905	354860	359764	6914	2-2-0	6912		12-12-11	6901	1
10/10/15	4896	359765	364660	7252	0-0-0	7252		10-10-10	7242	0
10/11/15	5073	364661	369733	6332	0-0-0	6332		12-12-12	6320	0
10/12/15	5148	369734	374881	6689	22-22-0	6667		66-66-65	6610	13
10/13/15	5108	374882	379989	6990	3-3-0	6987		53-53-53	6930	7
10/14/15	4934	379990	384923	7052	12-12-0	7040		58-58-48	6988	6
10/15/15	4926	384924	389849	6906	27-27-0	6879		75-75-73	6815	16
10/16/15	4883	389850	394732	7011	26-26-0	6985		47-47-39	6960	4
10/17/15	5056	394733	399788	6715	3-3-0	6712		59-59-59	6632	24
-----------------------------------------------------------------------------
10/18/15	4945	399789	404733	6707	19	6688		39	6653	15
10/19/15	4975	404734	409708	6707	8	6699		54	6642	11
10/20/15	4990	409709	414698	5981	3	5978		46	5931	4
10/21/15	4990	414699	419688	6451	8	6443		23	6426	2
10/22/15	4835	419689	424523	6854	19	6835		74	6773	7
10/23/15	5263	424524	429786	8370	50	8320		122	8243	5
10/24/15	5171	429787	434957	8496	23	8473		127	8369	0
10/25/15	5096	434958	440053	6355	17	6338		153	6202	0
10/26/15	4908	440054	444961	6888	38	6850		42	6846	0
10/27/15	5220	444962	450181	7294	38	7256		97	7196	1
10/28/15	4967	450182	455148	7622	6	7616		48	7572	2
10/29/15	5158	455149	460306	8447	103	8344		43	8399	5
10/30/15	5232	460307	465538	8192	74	8118		99	8091	2
10/31/15	5129	465539	470667	8339	75	8264		58	8280	1
11/1/15	5158	470668	475825	7474	22	7452		25	7447	2
11/2/15	5024	475826	480849	6809	20	6789		36	6772	1
11/3/15	5085	480850	485934	7530	7	7523		45	7485	0
11/4/15	5125	485935	491059	7120	4	7116		33	7085	2
11/5/15	5103	491060	496162	7664	10	7654		58	7602	4
11/6/15	5142	496163	501304	11677	9	11668		54	11623	0
11/7/15	4922	501305	506226	27943	21	27922		145	27789	9
11/8/15	5021	506227	511247	16100	27	16073		82	16017	1
11/9/15	5024	511248	516271	8075	3	8072		46	8023	6
11/10/15	5053	516272	521324	14435	9	14426		92	14341	2
11/11/15	5028	521325	526352	30141	0	30141		44	30097	0
11/12/15	5079	526353	531431	32080	167	31913		34	32046	0
11/13/15	5119	531432	536550	13334	5	13329		61	13272	1
11/14/15	5127	536551	541677	7613	6	7607		24	7588	1
11/15/15	5195	541678	546872	7240	7	7233		32	7208	0
11/16/15	5039	546873	551911	7649	9	7640		35	7612	2
11/17/15	5163	551912	557074	7381	0	7381		30	7349	2
11/18/15	5075	557075	562149	7439	10	7429		43	7396	0
11/19/15	4977	562150	567126	15982	4	15978		42	15938	2
11/20/15	4721	567127	571847	6481	1	6480		20	6461	0
11/21/15	5035	571848	576882	6913	4	6909		42	6865	6
11/22/15	5049	576883	581931	7232	0	7232		30	7202	0
11/23/15	5089	581932	587020	8388	0	8388		55	8333	0
11/24/15	5001	587021	592021	7197	3	7194		45	7151	1
11/25/15	4940	592022	596961	7218	1	7217		24	7194	0
11/26/15	4940	596962	601901	7333	0	7333		16	7316	1
11/27/15	5174	601902	607075	6733	0	6733		11	6722	0
11/28/15	5008	607076	612083	7012	27	6985		18	6993	1
11/29/15	5050	612084	617133	6908	4	6904		23	6884	1
11/30/15	5080	617134	622213	9032	29	9003		20	9011	1
12/1/15	5078	622214	627291	6876	12	6864		43	6831	2
12/2/15	4824	627292	632115	6545	8	6537		37	6508	0
12/3/15	5205	632116	637320	7057	25	7032		34	7023	0
12/4/15	5008	637321	642328	7066	23	7043		78	6985	3
12/5/15	5006	642329	647334	6955	14	6941		60	6890	5
12/6/15	4913	647335	652247	9549	23	9526		159	9390	0
12/7/15	4971	652248	657218	7277	3	7274		51	7225	1
12/8/15	4911	657219	662129	7014	10	7004		40	6971	3
12/9/15	5208	662130	667337	7097	3	7094		40	7057	0
12/10/15	5144	667338	672481	7689	34	7655		56	7633	0
12/11/15	5062	672482	677543	8477	14	8463		54	8423	0
12/12/15	5076	677544	682619	8415	5	8410		35	8378	2
12/13/15	5280	682620	687899	9115	28	9087		93	9021	1
12/14/15	4999	687900	692898	16356	54	16302		72	16283	1
12/15/15	5070	692899	697968	50353	740	49613		36	50315	2
12/16/15	4982	697969	702950	11931	10	11921		33	11898	0
12/17/15	5060	702951	708010	10627	14	10613		105	10521	1
12/18/15	5020	708011	713030	10734	15	10719		112	10620	2
12/19/15	5038	713031	718068	10844	115	10729		10	10834	0
12/20/15	4947	718069	723015	13559	849	12710		27	13531	1
12/21/15	4976	723016	727991	15828	4	15824		61	15767	0
12/22/15	5129	727992	733120	30124	5	30119		23	30098	3
12/23/15	5112	733121	738232	67590	12	67578		30	67559	1
12/24/15	5018	738233	743250	20668	2	20666		15	20653	0
12/25/15	5080	743251	748330	16250	7	16243		26	16221	3
12/26/15	5004	748331	753334	15844	4	15840		41	15802	1
12/27/15	5018	753335	758352	75662	4	75658		21	75640	1
12/28/15	5081	758353	763433	24274	50	24224		57	24216	1
12/29/15	4981	763434	768414	21277	13	21264		77	21199	1
12/30/15	5028	768415	773442	79730	96	79634		56	79674	0
12/31/15	5040	773443	778482	18066	0	18066		53	18013	0
1/1/16	4885	778483	783367	11991	2	11989		37	11954	0
1/2/16	5095	783368	788462	15036	0	15036		28	15008	0
1/3/16	5134	788463	793596	15349	0	15349		17	15332	0
1/4/16	5096	793597	798692	16198	9	16189		57	16138	3
1/5/16	5126	798693	803818	43281	17	43264		57	43217	7
1/6/16	5090	803819	808908	41511	23	41488		78	41427	6
1/7/16	4981	808909	813889	63187	27	63160		56	63131	0
1/8/16	5176	813890	819065	17406	3	17403		39	17365	2
1/9/16	5099	819066	824164	20702	19	20683		112	20590	0
1/10/16	5093	824165	829257	16657	0	16657		75	16582	0
1/11/16	5107	829258	834364	19037	5	19032		58	18974	5
1/12/16	4930	834365	839294	18057	3	18054		51	18006	0
1/13/16	5002	839295	844296	46698	3012	43686		41	46656	1
1/14/16	5090	844297	849386	17587	5	17582		47	17538	2
1/15/16	5084	849387	854470	14990	7	14983		58	14931	1
1/16/16	5046	854471	859516	15496	5	15491		53	15443	0
1/17/16	5036	859517	864552	12753	7	12746		50	12703	0
1/18/16	5072	864553	869624	19072	2	19070		44	19028	0
1/19/16	4972	869625	874596	25638	4	25634		47	25590	1
1/20/16	5038	874597	879634	16365	1	16364		71	16293	1
1/21/16	4963	879635	884597	15342	8	15334		109	15232	1
1/22/16	5007	884598	889604	27903	10	27893		106	27795	2
1/23/16	4928	889605	894532	13722	7	13715		89	13632	1
1/24/16	5168	894533	899700	17649	5	17644		94	17552	3
1/25/16	4881	899701	904581	30374	13	30361		83	30291	0
1/26/16	5152	904582	909733	26845	4	26841		73	26770	2
1/27/16	4983	909734	914716	47294	679	46615		109	47182	3
1/28/16	5059	914717	919775	65902	157	65745		83	65818	1
