DATE	#TRACES_SUCCESS
7/30/15	0
7/31/15	0
8/1/15	0
8/2/15	0
8/3/15	0
8/4/15	0
8/5/15	0
8/6/15	0
8/7/15	2088
8/8/15	20628
8/9/15	1487
8/10/15	2878
8/11/15	7025
8/12/15	2170
8/13/15	3136
8/14/15	3221
8/15/15	2694
8/16/15	2475
8/17/15	2582
8/18/15	2602
8/19/15	4306
8/20/15	2372
8/21/15	3959
8/22/15	3660
8/23/15	4223
8/24/15	4520
8/25/15	4594
8/26/15	4267
8/27/15	6981
8/28/15	5225
8/29/15	4313
8/30/15	4711
8/31/15	5378
9/1/15	5248
9/2/15	5429
9/3/15	4863
9/4/15	5660
9/5/15	5591
9/6/15	5540
9/7/15	5763
9/8/15	5644
9/9/15	5684
9/10/15	5461
9/11/15	6653
9/12/15	5684
9/13/15	6174
9/14/15	5701
9/15/15	5498
9/16/15	6283
9/17/15	5599
9/18/15	5997
9/19/15	5265
9/20/15	6510
9/21/15	6365
9/22/15	6908
9/23/15	7413
9/24/15	6240
9/25/15	5972
9/26/15	5943
9/27/15	5944
9/28/15	6187
9/29/15	5770
9/30/15	5985
10/1/15	6636
10/2/15	6222
10/3/15	6243
10/4/15	6814
10/5/15	6432
10/6/15	6699
10/7/15	7364
10/8/15	7150
10/9/15	6912
10/10/15	7252
10/11/15	6332
10/12/15	6667
10/13/15	6987
10/14/15	7040
10/15/15	6879
10/16/15	6985
10/17/15	6712
10/18/15	6688
10/19/15	6699
10/20/15	5978
10/21/15	6443
10/22/15	6835
10/23/15	8320
10/24/15	8473
10/25/15	6338
10/26/15	6850
10/27/15	7256
10/28/15	7616
10/29/15	8344
10/30/15	8118
10/31/15	8264
11/1/15	7452
11/2/15	6789
11/3/15	7523
11/4/15	7116
11/5/15	7654
11/6/15	11668
11/7/15	27922
11/8/15	16073
11/9/15	8072
11/10/15	14426
11/11/15	30141
11/12/15	31913
11/13/15	13329
11/14/15	7607
11/15/15	7233
11/16/15	7640
11/17/15	7381
11/18/15	7429
11/19/15	15978
11/20/15	6480
11/21/15	6909
11/22/15	7232
11/23/15	8388
11/24/15	7194
11/25/15	7217
11/26/15	7333
11/27/15	6733
11/28/15	6985
11/29/15	6904
11/30/15	9003
12/1/15	6864
12/2/15	6537
12/3/15	7032
12/4/15	7043
12/5/15	6941
12/6/15	9526
12/7/15	7274
12/8/15	7004
12/9/15	7094
12/10/15	7655
12/11/15	8463
12/12/15	8410
12/13/15	9087
12/14/15	16302
12/15/15	49613
12/16/15	11921
12/17/15	10613
12/18/15	10719
12/19/15	10729
12/20/15	12710
12/21/15	15824
12/22/15	30119
12/23/15	67578
12/24/15	20666
12/25/15	16243
12/26/15	15840
12/27/15	75658
12/28/15	24224
12/29/15	21264
12/30/15	79634
12/31/15	18066
1/1/16	11989
1/2/16	15036
1/3/16	15349
1/4/16	16189
1/5/16	43264
1/6/16	41488
1/7/16	63160
1/8/16	17403
1/9/16	20683
1/10/16	16657
1/11/16	19032
1/12/16	18054
1/13/16	43686
1/14/16	17582
1/15/16	14983
1/16/16	15491
1/17/16	12746
1/18/16	19070
1/19/16	25634
1/20/16	16364
1/21/16	15334
1/22/16	27893
1/23/16	13715
1/24/16	17644
1/25/16	30361
1/26/16	26841
1/27/16	46615
1/28/16	65745
1/29/16	38578
1/30/16	27979
1/31/16	24500
2/1/16	21574
2/2/16	22838
2/3/16	22173
2/4/16	22375
2/5/16	22961
2/6/16	108399
2/7/16	21232
2/8/16	22226
2/9/16	22075
2/10/16	22970
2/11/16	28368
2/12/16	25769
2/13/16	29201
2/14/16	25214
2/15/16	23322
2/16/16	23027
2/17/16	38043
2/18/16	24680
2/19/16	23954
2/20/16	22869
2/21/16	22183
2/22/16	24357
2/23/16	24616
2/24/16	23761
2/25/16	25769
2/26/16	32257
2/27/16	24414
2/28/16	23330
2/29/16	25256
3/1/16	27079
3/2/16	29088
3/3/16	30265
3/4/16	28562
3/5/16	29798
3/6/16	39218
3/7/16	26645
3/8/16	27510
3/9/16	28222
3/10/16	27997
3/11/16	27492
3/12/16	34694
3/13/16	34477
3/14/16	37446
3/15/16	36476
3/16/16	36566
3/17/16	52167
3/18/16	44706
3/19/16	41416
3/20/16	39426
3/21/16	50709
3/22/16	71797
3/23/16	47919
3/24/16	94162
3/25/16	61898
3/26/16	79963
3/27/16	37536
3/28/16	82170
3/29/16	43357
3/30/16	69296
3/31/16	41412
4/1/16	70986
4/2/16	36545
4/3/16	37090
4/4/16	72970
4/5/16	86791
4/6/16	46075
4/7/16	57510
4/8/16	81417
4/9/16	46945
4/10/16	39671
4/11/16	37051
4/12/16	61428
4/13/16	55091
4/14/16	50538
4/15/16	74150
4/16/16	34785
4/17/16	43958
4/18/16	50182
4/19/16	46298
4/20/16	48304
4/21/16	48980
4/22/16	36317
4/23/16	35421
4/24/16	59374
4/25/16	60057
4/26/16	43108
4/27/16	38642
4/28/16	50907
4/29/16	49970
4/30/16	53788
5/1/16	55897
5/2/16	46586
5/3/16	43449
5/4/16	53346
5/5/16	66704
5/6/16	114608
5/7/16	43270
5/8/16	67051
5/9/16	46590
5/10/16	49312
5/11/16	49627
5/12/16	85504
5/13/16	60053
5/14/16	78676
5/15/16	66557
5/16/16	62808
5/17/16	49379
5/18/16	66771
5/19/16	64129
5/20/16	68008
5/21/16	63414
5/22/16	44571
5/23/16	49181
5/24/16	49337
5/25/16	63580
5/26/16	60879
5/27/16	57781
5/28/16	103156
5/29/16	52686
5/30/16	54815
5/31/16	49746
6/1/16	47040
6/2/16	44854
6/3/16	44360
6/4/16	46918
6/5/16	41360
6/6/16	43420
6/7/16	89389
6/8/16	56993
6/9/16	47445
6/10/16	48597
6/11/16	41881
6/12/16	46920
6/13/16	56138
6/14/16	74333
6/15/16	64421
6/16/16	51092
6/17/16	205524
6/18/16	73494
6/19/16	57997
6/20/16	68996
6/21/16	114185
6/22/16	68672
6/23/16	48015
6/24/16	61361
6/25/16	41285
6/26/16	45395
6/27/16	45617
6/28/16	48601
6/29/16	54224
6/30/16	66994
7/1/16	44526
7/2/16	44753
7/3/16	46288
7/4/16	47934
7/5/16	48522
7/6/16	42513
7/7/16	44423
7/8/16	61079
7/9/16	45839
7/10/16	42703
7/11/16	46368
7/12/16	44818
7/13/16	41015
7/14/16	66808
7/15/16	46294
7/16/16	41396
7/17/16	36786
7/18/16	46695
7/19/16	53528
7/20/16	61080
7/21/16	57433
7/22/16	55577
7/23/16	60820
7/24/16	75925
7/25/16	73673
7/26/16	80139
7/27/16	72092
7/28/16	115064
7/29/16	130520
7/30/16	76412
7/31/16	63420
8/1/16	65112
8/2/16	70227
8/3/16	70370
8/4/16	65949
8/5/16	58142
8/6/16	56370
8/7/16	62712
8/8/16	165626
8/9/16	67793
8/10/16	64020
8/11/16	65891
8/12/16	59727
8/13/16	57001
8/14/16	54585
8/15/16	59401
8/16/16	66581
8/17/16	61594
8/18/16	68383
8/19/16	63192
8/20/16	56344
8/21/16	59963
8/22/16	62762
8/23/16	78728
8/24/16	62246
8/25/16	64776
8/26/16	63320
8/27/16	60867
8/28/16	59835
8/29/16	61884
8/30/16	64257
8/31/16	63917
9/1/16	63642
9/2/16	78721
9/3/16	59242
9/4/16	63043
9/5/16	57123
9/6/16	64348
9/7/16	65051
9/8/16	73170
9/9/16	68307
9/10/16	56705
9/11/16	58905
9/12/16	63257
9/13/16	58131
9/14/16	68756
9/15/16	66596
9/16/16	73459
9/17/16	69882
9/18/16	59386
9/19/16	118418
9/20/16	76064
9/21/16	64437
9/22/16	181680
9/23/16	45587
9/24/16	50840
9/25/16	59680
9/26/16	7469785
9/27/16	57907
9/28/16	61816
9/29/16	63127
9/30/16	53045
10/1/16	238214
10/2/16	392739
10/3/16	9010960
10/4/16	3316673
10/5/16	9006373
10/6/16	789807
10/7/16	401055
10/8/16	280616
10/9/16	204439
10/10/16	192612
10/11/16	4768541
10/12/16	14855009
10/13/16	10652890
10/14/16	6293741
10/15/16	1432040
10/16/16	2379506
10/17/16	2168072
10/18/16	1788796
10/19/16	42469
10/20/16	55007
10/21/16	82295
10/22/16	54972
10/23/16	49844
10/24/16	69883
10/25/16	64684
10/26/16	61375
10/27/16	60508
10/28/16	58389
10/29/16	53393
10/30/16	50720
10/31/16	59701
11/1/16	64624
11/2/16	56586
11/3/16	55890
11/4/16	42878
11/5/16	48150
11/6/16	45626
11/7/16	55957
11/8/16	59507
11/9/16	65299
11/10/16	55835
11/11/16	57632
11/12/16	54563
11/13/16	61784
11/14/16	58808
11/15/16	61437
11/16/16	58228
11/17/16	54593
11/18/16	57433
11/19/16	52230
11/20/16	56257
11/21/16	58251
11/22/16	164411
11/23/16	2237565
11/24/16	1561444
11/25/16	1746860
11/26/16	2281460
11/27/16	4220242
11/28/16	4386881
11/29/16	3316458
11/30/16	192417
12/1/16	52879
12/2/16	52557
12/3/16	53257
12/4/16	58477
12/5/16	57762
12/6/16	63471
12/7/16	53674
12/8/16	50990
12/9/16	53748
12/10/16	52015
12/11/16	50794
12/12/16	49764
12/13/16	56525
12/14/16	58377
12/15/16	55820
12/16/16	53369
12/17/16	48991
12/18/16	46575
12/19/16	58252
12/20/16	54844
12/21/16	63386
12/22/16	68312
12/23/16	54309
12/24/16	47185
12/25/16	43916
12/26/16	44134
12/27/16	53266
12/28/16	51716
12/29/16	56357
12/30/16	53043
12/31/16	51198
1/1/17	47331
1/2/17	50952
1/3/17	80152
1/4/17	64494
1/5/17	62331
1/6/17	55925
1/7/17	55791
1/8/17	57533
1/9/17	59646
1/10/17	64532
1/11/17	56302
1/12/17	62726
1/13/17	61563
1/14/17	50516
1/15/17	50196
1/16/17	55336
1/17/17	59416
1/18/17	58478
1/19/17	57442
1/20/17	62352
1/21/17	55814
1/22/17	58866
1/23/17	59519
1/24/17	64283
1/25/17	62830
1/26/17	63190
1/27/17	61507
1/28/17	58739
1/29/17	56064
1/30/17	61072
1/31/17	56754
2/1/17	60450
2/2/17	60522
2/3/17	58711
2/4/17	60475
2/5/17	60340
2/6/17	60010
2/7/17	66492
2/8/17	65752
2/9/17	75410
2/10/17	89082
2/11/17	70290
2/12/17	66108
2/13/17	78140
2/14/17	79032
2/15/17	79665
2/16/17	68372
2/17/17	66821
2/18/17	66408
2/19/17	61480
2/20/17	65895
2/21/17	75018
2/22/17	70490
2/23/17	63394
2/24/17	70029
2/25/17	78857
2/26/17	65580
2/27/17	73988
2/28/17	79525
3/1/17	77200
3/2/17	87185
3/3/17	83236
3/4/17	73129
3/5/17	70570
3/6/17	71307
3/7/17	74903
3/8/17	69315
3/9/17	81985
3/10/17	83406
3/11/17	83129
3/12/17	82438
3/13/17	102583
3/14/17	97837
3/15/17	105565
3/16/17	136415
3/17/17	137709
3/18/17	111048
3/19/17	103033
3/20/17	102164
3/21/17	103729
3/22/17	102526
3/23/17	102972
3/24/17	113935
3/25/17	106133
3/26/17	103593
3/27/17	127547
3/28/17	112986
3/29/17	120164
3/30/17	119175
3/31/17	132162
4/1/17	100913
4/2/17	117113
