group          	api                 	name                                	outputs                	inputs                                                  	func                                                                                                                                                                      	file
web3           	Web3APIImpl         	clientVersion                       	string                 	none                                                    	ClientVersion() (string, error)                                                                                                                                           	./web3_api.go
web3           	Web3APIImpl         	sha3                                	hexutil.Bytes          	hexutil.Bytes                                           	Sha3(input hexutil.Bytes) hexutil.Bytes                                                                                                                                   	./web3_api.go
net            	NetAPIImpl          	listening                           	bool                   	none                                                    	Listening() (bool, error)                                                                                                                                                 	./net_api.go
net            	NetAPIImpl          	version                             	string                 	none                                                    	Version() (string, error)                                                                                                                                                 	./net_api.go
net            	NetAPIImpl          	peerCount                           	hexutil.Uint           	none                                                    	PeerCount() (hexutil.Uint, error)                                                                                                                                         	./net_api.go
eth.blocks     	APIImpl             	getBlockByNumber                    	map[string]interface{} 	rpc.BlockNumber, bool                                   	GetBlockByNumber(number rpc.BlockNumber, fullTx bool) (map[string]interface{}, error)                                                                                     	./eth_block.go)
eth.blocks     	APIImpl             	getBlockByHash                      	map[string]interface{} 	common.Hash, bool                                       	GetBlockByHash(hash common.Hash, fullTx bool) (map[string]interface{}, error)                                                                                             	./eth_block.go
eth.blocks     	APIImpl             	getBlockTransactionCountByNumber    	*hexutil.Uint          	common.BlockNumber                                      	GetBlockTransactionCountByNumber(blockNr rpc.BlockNumber) (*hexutil.Uint, error)                                                                                          	./eth_block.go
eth.blocks     	APIImpl             	getBlockTransactionCountByHash      	*hexutil.Uint          	common.Hash                                             	GetBlockTransactionCountByHash(blockHash common.Hash) (*hexutil.Uint, error)                                                                                              	./eth_block.go
eth.txs        	APIImpl             	getTransactionByHash                	*RPCTransaction        	common.Hash                                             	GetTransactionByHash(hash common.Hash) (*RPCTransaction, error)                                                                                                           	./eth_txs.go
eth.txs        	APIImpl             	getTransactionByBlockHashAndIndex   	*RPCTransaction        	common.Hash, hexutil.Uint64                             	GetTransactionByBlockHashAndIndex(blockHash common.Hash, txIndex hexutil.Uint64) (*RPCTransaction, error)                                                                 	./eth_txs.go
eth.txs        	APIImpl             	getTransactionByBlockNumberAndIndex 	*RPCTransaction        	rpc.BlockNumber, hexutil.Uint64                         	GetTransactionByBlockNumberAndIndex(blockNr rpc.BlockNumber, txIndex hexutil.Uint) (*RPCTransaction, error)                                                               	./eth_txs.go
eth.txs        	APIImpl             	getTransactionReceipt               	*RPCTransaction        	common.Hash, hexutil.Uint64                             	GetTransactionReceipt(hash common.Hash) (map[string]interface{}, error)                                                                                                   	./eth_receipts.go
eth.uncles     	APIImpl             	getUncleByBlockNumberAndIndex       	map[string]interface{} 	rpc.BlockNumber, hexutil.Uint                           	GetUncleByBlockNumberAndIndex(number rpc.BlockNumber, index hexutil.Uint) (map[string]interface{}, error)                                                                 	./eth_uncles.go
eth.uncles     	APIImpl             	getUncleByBlockHashAndIndex         	map[string]interface{} 	common.Hash, hexutil.Uint                               	GetUncleByBlockHashAndIndex(hash common.Hash, index hexutil.Uint) (map[string]interface{}, error)                                                                         	./eth_uncles.go
eth.uncles     	APIImpl             	getUncleCountByBlockNumber          	rpc.BlockNumber        	rpc.BlockNumber                                         	GetUncleCountByBlockNumber(number rpc.BlockNumber) (*hexutil.Uint, error)                                                                                                 	./eth_uncles.go
eth.uncles     	APIImpl             	getUncleCountByBlockHash            	common.Hash            	rpc.BlockNumber                                         	GetUncleCountByBlockHash(hash common.Hash) (*hexutil.Uint, error)                                                                                                         	./eth_uncles.go
eth.filters    	APIImpl             	newPendingTransactionFilter         	                       	                                                        	                                                                                                                                                                          	MISSING
eth.filters    	APIImpl             	newBlockFilter                      	                       	                                                        	                                                                                                                                                                          	MISSING
eth.filters    	APIImpl             	newFilter                           	                       	                                                        	                                                                                                                                                                          	MISSING
eth.filters    	APIImpl             	uninstallFilter                     	                       	                                                        	                                                                                                                                                                          	MISSING
eth.filters    	APIImpl             	getFilterChanges                    	                       	                                                        	                                                                                                                                                                          	MISSING
eth.filters    	APIImpl             	getLogs                             	[]*types.Log           	filters.FilterCriteria                                  	GetLogs(crit filters.FilterCriteria) ([]*types.Log, error)                                                                                                                	./commands/eth_receipts.go
